2001,73,28,28,0,0,45,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20010101 TO 20011231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2001.json,"Type 1 NMEs belong on fda_decisions_master.csv (28 matched, 0 flagged unmatched). 45 non-NME originals published in fda_original_non_nme_decisions.csv."
2002,92,23,23,0,0,69,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20020101 TO 20021231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2002.json,"Type 1 NMEs belong on fda_decisions_master.csv (23 matched, 0 flagged unmatched). 69 non-NME originals published in fda_original_non_nme_decisions.csv."
2003,82,24,24,0,0,58,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20030101 TO 20031231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2003.json,"Type 1 NMEs belong on fda_decisions_master.csv (24 matched, 0 flagged unmatched). 58 non-NME originals published in fda_original_non_nme_decisions.csv."
2004,120,36,36,0,1,83,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20040101 TO 20041231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2004.json,"Type 1 NMEs belong on fda_decisions_master.csv (36 matched, 0 flagged unmatched). 83 non-NME originals published in fda_original_non_nme_decisions.csv."
2005,83,20,20,0,0,63,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20050101 TO 20051231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2005.json,"Type 1 NMEs belong on fda_decisions_master.csv (20 matched, 0 flagged unmatched). 63 non-NME originals published in fda_original_non_nme_decisions.csv."
2006,103,22,22,0,0,81,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20060101 TO 20061231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2006.json,"Type 1 NMEs belong on fda_decisions_master.csv (22 matched, 0 flagged unmatched). 81 non-NME originals published in fda_original_non_nme_decisions.csv."
2007,78,18,18,0,0,60,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20070101 TO 20071231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2007.json,"Type 1 NMEs belong on fda_decisions_master.csv (18 matched, 0 flagged unmatched). 60 non-NME originals published in fda_original_non_nme_decisions.csv."
2008,87,25,24,1,0,62,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20080101 TO 20081231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2008.json,"Type 1 NMEs belong on fda_decisions_master.csv (24 matched, 1 flagged unmatched). 62 non-NME originals published in fda_original_non_nme_decisions.csv."
2009,90,26,26,0,0,64,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20090101 TO 20091231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2009.json,"Type 1 NMEs belong on fda_decisions_master.csv (26 matched, 0 flagged unmatched). 64 non-NME originals published in fda_original_non_nme_decisions.csv."
2010,85,21,21,0,0,64,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20100101 TO 20101231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2010.json,"Type 1 NMEs belong on fda_decisions_master.csv (21 matched, 0 flagged unmatched). 64 non-NME originals published in fda_original_non_nme_decisions.csv."
2011,84,29,29,0,2,53,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20110101 TO 20111231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2011.json,"Type 1 NMEs belong on fda_decisions_master.csv (29 matched, 0 flagged unmatched). 53 non-NME originals published in fda_original_non_nme_decisions.csv."
2012,89,38,38,0,1,50,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20120101 TO 20121231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2012.json,"Type 1 NMEs belong on fda_decisions_master.csv (38 matched, 0 flagged unmatched). 50 non-NME originals published in fda_original_non_nme_decisions.csv."
2013,152,27,27,0,0,125,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20130101 TO 20131231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2013.json,"Type 1 NMEs belong on fda_decisions_master.csv (27 matched, 0 flagged unmatched). 125 non-NME originals published in fda_original_non_nme_decisions.csv."
2014,111,41,41,0,4,66,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20140101 TO 20141231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2014.json,"Type 1 NMEs belong on fda_decisions_master.csv (41 matched, 0 flagged unmatched). 66 non-NME originals published in fda_original_non_nme_decisions.csv."
2015,117,44,44,0,1,72,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20150101 TO 20151231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2015.json,"Type 1 NMEs belong on fda_decisions_master.csv (44 matched, 0 flagged unmatched). 72 non-NME originals published in fda_original_non_nme_decisions.csv."
2016,100,22,22,0,0,78,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20160101 TO 20161231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2016.json,"Type 1 NMEs belong on fda_decisions_master.csv (22 matched, 0 flagged unmatched). 78 non-NME originals published in fda_original_non_nme_decisions.csv."
2017,145,47,47,0,0,98,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20170101 TO 20171231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2017.json,"Type 1 NMEs belong on fda_decisions_master.csv (47 matched, 0 flagged unmatched). 98 non-NME originals published in fda_original_non_nme_decisions.csv."
2018,152,59,59,0,1,92,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20180101 TO 20181231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2018.json,"Type 1 NMEs belong on fda_decisions_master.csv (59 matched, 0 flagged unmatched). 92 non-NME originals published in fda_original_non_nme_decisions.csv."
2019,131,49,49,0,0,82,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20190101 TO 20191231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2019.json,"Type 1 NMEs belong on fda_decisions_master.csv (49 matched, 0 flagged unmatched). 82 non-NME originals published in fda_original_non_nme_decisions.csv."
2020,131,54,52,2,2,75,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20200101 TO 20201231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2020.json,"Type 1 NMEs belong on fda_decisions_master.csv (52 matched, 2 flagged unmatched). 75 non-NME originals published in fda_original_non_nme_decisions.csv."
2021,120,49,49,0,1,70,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20210101 TO 20211231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2021.json,"Type 1 NMEs belong on fda_decisions_master.csv (49 matched, 0 flagged unmatched). 70 non-NME originals published in fda_original_non_nme_decisions.csv."
2022,126,38,38,0,0,88,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20220101 TO 20221231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2022.json,"Type 1 NMEs belong on fda_decisions_master.csv (38 matched, 0 flagged unmatched). 88 non-NME originals published in fda_original_non_nme_decisions.csv."
2023,136,55,55,0,0,81,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20230101 TO 20231231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2023.json,"Type 1 NMEs belong on fda_decisions_master.csv (55 matched, 0 flagged unmatched). 81 non-NME originals published in fda_original_non_nme_decisions.csv."
2024,135,52,51,1,0,83,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20240101 TO 20241231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2024.json,"Type 1 NMEs belong on fda_decisions_master.csv (51 matched, 1 flagged unmatched). 83 non-NME originals published in fda_original_non_nme_decisions.csv."
2025,155,47,46,1,0,108,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20250101 TO 20251231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2025.json,"Type 1 NMEs belong on fda_decisions_master.csv (46 matched, 1 flagged unmatched). 108 non-NME originals published in fda_original_non_nme_decisions.csv."
2026,87,40,40,0,0,47,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG"" AND submissions.submission_status:""AP"" AND submissions.submission_status_date:[20260101 TO 20261231]",openFDA Drugs@FDA ORIG/AP (NDA+BLA only; ANDA excluded at extract),Complete,data/raw/openfda_orig_decisions_2011_2026/decisions_2026.json,"Type 1 NMEs belong on fda_decisions_master.csv (40 matched, 0 flagged unmatched). 47 non-NME originals published in fda_original_non_nme_decisions.csv."
