year,openfda_orig_ap_count,v27_selected_count,type1_count,type1_4_count,type2_count,type3_count,type4_count,type5_count,priority_count,standard_count,unknown_priority_count,official_source_url,payload_file,verification_status,notes
2017,145,37,44,3,3,26,12,43,45,95,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20170101+TO+20171231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2017.json,Verified - payload counts match committed files,"Year 2017: openFDA ORIG/AP 145 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2018,152,37,54,5,4,26,9,38,59,87,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20180101+TO+20181231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2018.json,Verified - payload counts match committed files,"Year 2018: openFDA ORIG/AP 152 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2019,131,37,47,2,6,25,5,29,47,80,1,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20190101+TO+20191231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2019.json,Verified - payload counts match committed files,"Year 2019: openFDA ORIG/AP 131 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2020,131,37,52,2,4,22,6,23,42,85,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20200101+TO+20201231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2020.json,Verified - payload counts match committed files,"Year 2020: openFDA ORIG/AP 131 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2021,120,37,45,4,8,17,6,31,52,66,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20210101+TO+20211231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2021.json,Verified - payload counts match committed files,"Year 2021: openFDA ORIG/AP 120 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2022,126,37,36,2,7,20,1,40,40,82,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20220101+TO+20221231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2022.json,Verified - payload counts match committed files,"Year 2022: openFDA ORIG/AP 126 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2023,136,37,52,3,4,26,6,33,48,87,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20230101+TO+20231231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2023.json,Verified - payload counts match committed files,"Year 2023: openFDA ORIG/AP 136 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2024,135,37,49,3,9,35,1,17,38,93,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20240101+TO+20241231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2024.json,Verified - payload counts match committed files,"Year 2024: openFDA ORIG/AP 135 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2025,155,37,47,0,7,36,4,26,40,111,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20250101+TO+20251231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2025.json,Verified - payload counts match committed files,"Year 2025: openFDA ORIG/AP 155 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
2026,87,37,37,3,2,7,4,20,26,57,0,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""+AND+submissions.submission_status:""AP""+AND+submissions.submission_status_date:[20260101+TO+20261231]&limit=1000",data/raw/openfda_orig_decisions_2011_2026/decisions_2026.json,Verified - payload counts match committed files,"Year 2026: openFDA ORIG/AP 87 total, V27 selected 37 for 1000-new expansion. Type breakdown from payload verbatim. Official query URL provided for manual re-verification."
