nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes
NCT06754085,Study of 18F-Florastamin PET/CT Imaging in Patients With Suspected Recurrence of Prostate Cancer,"HTA Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Recruiting,2026-01-01,ESTIMATED,Prostate Cancer,Florastamin[18F] Injection,The Positive Predictive Value of 18F-Florastamin PET/CT in patients with suspected recurrence of prostate cancer on a patient-level.,https://clinicaltrials.gov/study/NCT06754085,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 9 months
NCT06755554,Investigation of Impact of Indocyanine Green on Volume of Lymphadenectomy in Resectable Gastric Cancer,Ukrainian Society of Clinical Oncology,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01-01,ESTIMATED,Gastric Cancer Stage II,Endoscopic injection of Indocyanine green,Investigation of the average number of lymph nodes removed during lymph node dissection using indocyanine green,https://clinicaltrials.gov/study/NCT06755554,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 30 days after surgery
NCT06780280,Walking With Overground Robotic Exoskeletons to Improve Arrousal in Individuals With Disorders of Consciousness,Craig Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Not Yet Recruiting,2026-01-01,ESTIMATED,Traumatic Brain Injuries,,Adverse Events and feasibility,https://clinicaltrials.gov/study/NCT06780280,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: four weeks
NCT06846086,Cardioprotective Effects of Melatonin in Patients With Cardiomyopathy,Tanta University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Recruiting,2026-01-01,ESTIMATED,Cardiomyopathies,Melatonin 10 MG; Placebo,Blood Pressure Measurement,https://clinicaltrials.gov/study/NCT06846086,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: baseline , up to 3 month"
NCT06911086,SH-LPS System in Preoperative Planning for Liver Resection,Zhejiang Cancer Hospital,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Not Yet Recruiting,2026-01-01,ESTIMATED,Liver Tumor; Surgery,,Opertation duration,https://clinicaltrials.gov/study/NCT06911086,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Until the end of the surgey
NCT07350668,Opioid-Free vs Opioid-Based Anesthesia for Nasal Surgeries,Benha University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-01-01,ACTUAL,Postoperative Pain,dexmedetomidine and lignocaine infusion; Fentanyl infusion,Change From Baseline in Postoperative Pain Intensity,https://clinicaltrials.gov/study/NCT07350668,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: OTHER | primary endpoint time frame: 30 minutes, 60 minutes, 90 minutes, 2 hours, 4 hours, 6 hours, 12 hours, and 24 hours postoperatively."
NCT07378410,Role of Intra-Operative Aspiration in Distended GB in LC,Aswan University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-01-01,ACTUAL,Acute Calculous Cholecystitis,,Difficulty of the operation,https://clinicaltrials.gov/study/NCT07378410,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 30 days
NCT05753774,Effect of Fecal Microbiota Transplantation (FMT) in Pediatric Functional Gastrointestinal Disorders,Biao Zou,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2026-01-05,ACTUAL,Functional Gastrointestinal Disorders,Conventional drugs,The composite response,https://clinicaltrials.gov/study/NCT05753774,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: at weeks 4 and 8
NCT06079359,Phase 3 Study of ALXN1850 in Treatment-Naïve Pediatric Participants With HPP,"Alexion Pharmaceuticals, Inc.",INDUSTRY,"Alexion Pharmaceuticals, Inc.",ALXN,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2026-01-06,ACTUAL,Hypophosphatasia,ALXN1850; Placebo,Radiographic Global Impression of Change (RGI-C) Score at the end of the Randomized Evaluation Period (Day 169),https://clinicaltrials.gov/study/NCT06079359,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Day 169
NCT03926624,Trial of DFP-10917 vs Non-Intensive or Intensive Reinduction for AML Patients in 2nd/3rd/4th Salvage,"Delta-Fly Pharma, Inc.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Terminated,2026-01-07,ACTUAL,"Leukemia, Myeloid, Acute",DFP-10917; Cytarabine; Azacitidine; Decitabine,Complete remission (CR) rate,https://clinicaltrials.gov/study/NCT03926624,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 3 years
NCT03672630,Comparison of Two- Versus Three-antibiotic Therapy for Pulmonary Mycobacterium Avium Complex Disease,Kevin Winthrop,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2026-01-08,ACTUAL,Mycobacterium Avium Complex,Azithromycin; Ethambutol; Rifampin,Acid-fast bacilli (AFB) culture negativity,https://clinicaltrials.gov/study/NCT03672630,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 12 months post randomization
NCT05697770,SODium BICarbonate for Metabolic Acidosis in the ICU,Australian and New Zealand Intensive Care Research Centre,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Active Not Recruiting,2026-01-08,ACTUAL,Metabolic Acidosis,Sodium bicarbonate; 5% Dextrose,MAKE30 score,https://clinicaltrials.gov/study/NCT05697770,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 30 days or at hospital discharge (whichever occurs first)
NCT05945615,Oxymetazoline Drops for Acquired Blepharoptosis From Synkinesis,Milton S. Hershey Medical Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-01-08,ACTUAL,Blepharoptosis,Oxymetazoline 0.1% (Pf) Oph Soln Ud,Difference from baseline to end of study in Sunnybrook Grading Score,https://clinicaltrials.gov/study/NCT05945615,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 6 months
NCT06588283,Ixekizumab Concomitantly Administered With Tirzepatide in Adults With Moderate-to-Severe Plaque Psoriasis and Obesity or Overweight,Eli Lilly and Company,INDUSTRY,Eli Lilly and Company,LLY,NYSE,US-LISTED,Phase 3,Completed,2026-01-08,ACTUAL,Psoriasis,Ixekizumab; Tirzepatide,Percentage of Participants Who Simultaneously Achieved Psoriasis Area and Severity Index (PASI) 100 and At Least 10% Weight Reduction,https://clinicaltrials.gov/study/NCT06588283,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline to Week 36
NCT05083182,A Study of Ustekinumab or Guselkumab in Pediatric Participants With Active Juvenile Psoriatic Arthritis,"Janssen Research & Development, LLC",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-01-12,ACTUAL,"Arthritis, Juvenile",Ustekinumab; Guselkumab,Cohort 1: Steady-state Trough Serum Concentration of Ustekinumab at Week 28 by Baseline Age Groups,https://clinicaltrials.gov/study/NCT05083182,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Week 28
NCT04867837,Study of OCTAPLEX in Patients With Acute Major Bleeding on DOAC Therapy With Factor Xa Inhibitor,Octapharma,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Terminated,2026-01-13,ACTUAL,Acute Major Bleeding,Octaplex,Hemostatic efficacy,https://clinicaltrials.gov/study/NCT04867837,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Within 24 hours after the start of initial management
NCT05329090,Evaluation of Glucocorticoids Plus Rituximab in Patients With Newly-Diagnosed or Relapsing IgA Vasculitis,Hopital Foch,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2026-01-13,ACTUAL,IgA Vasculitis,Rituximab Injection; placebo,Rituximab efficacy,https://clinicaltrials.gov/study/NCT05329090,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: OTHER | primary endpoint time frame: 180 days
NCT06382142,A Study Comparing BL-B01D1 With Chemotherapy of Physician's Choice in Patients With Unresectable Locally Advanced or Metastatic Triple-Negative Breast Cancer(PANKU-Breast02),"Sichuan Baili Pharmaceutical Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Active Not Recruiting,2026-01-13,ACTUAL,Triple-Negative Breast Cancer,BL-B01D1; Eribulin; Vinorelbine; Gemcitabine,Progression-free survival (PFS),https://clinicaltrials.gov/study/NCT06382142,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to approximately 24 months
NCT02684292,Study of Pembrolizumab (MK-3475) vs. Brentuximab Vedotin in Participants With Relapsed or Refractory Classical Hodgkin Lymphoma (MK-3475-204/KEYNOTE-204),Merck Sharp & Dohme LLC,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-01-14,ACTUAL,Hodgkin Lymphoma,,Progression-free Survival (PFS),https://clinicaltrials.gov/study/NCT02684292,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to approximately 40 months
NCT05559359,A Study of Lebrikizumab (LY3650150) in Participants 6 Months to <18 Years of Age With Moderate-to-Severe Atopic Dermatitis,Eli Lilly and Company,INDUSTRY,Eli Lilly and Company,LLY,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2026-01-14,ACTUAL,Atopic Dermatitis,Lebrikizumab; Placebo; Topical Corticosteroid (TCS),Percentage of Participants with an Investigator Global Assessment (IGA) score 0 or 1 and a Reduction ≥2 points from Baseline,https://clinicaltrials.gov/study/NCT05559359,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,lead sponsor verified row-by-row earlier in this repository,lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline to Week 16
NCT06377072,Efficacy and Safety of Shenqi Sherong Pill in Participants With Cervical Spondylotic Myelopathy,Shanghai Hutchison Pharmaceuticals Limited,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-01-14,ACTUAL,Cervical Spondylotic Myelopathy,Shenqi Sherong Pill; Placebo,Change in Modified Japanese Orthopaedic Association (mJOA) score,https://clinicaltrials.gov/study/NCT06377072,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 42±2 days
NCT05299554,Long-term Safety Study of Chronocort in the Treatment of Participants With Congenital Adrenal Hyperplasia,Immedica Pharma AB,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2026-01-15,ACTUAL,Congenital Adrenal Hyperplasia,Chronocort,Signs and symptoms of over-treatment [Safety and Tolerability] throughout the study.,https://clinicaltrials.gov/study/NCT05299554,Verified - ClinicalTrials.gov API v2 capture 2026-09-17,no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: Up to 32 months
