company_name,ticker,drug_brand,drug_generic,decision_type,decision_date,indication,review_pathway,source_url_1,source_url_2,verification_status,notes,us_investable_class,classification_basis,exchange,decision_id
Paratek Pharmaceuticals (openFDA applicant of record: PARATEK PHARMS),NO_US_TICKER,Nuzyra,omadacycline,Approval,2018-10-02,To treat community-acquired bacterial pneumonia and acute bacterial skin and skin structure infections,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=209816,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22nuzyra%22&count=sponsor_name,Verified - FLAGGED (no US-investable equity verified in this pass),FDA 2018 novel-drug-approvals table row 43 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 209816; openFDA applicant term queried 2026-09-12. Paratek's former Nasdaq listing (PRTK) was not re-verified in this pass.,NOT US-INVESTABLE (UNVERIFIED),derived 2026-09-12 from verified exchange/ticker fields; issuer could not be tied to a listed security without guessing: 'No US-listed equity verified in this pass',No US-listed equity verified in this pass,D327
Applicant not machine-verifiable (openFDA has no record for 'tegsedi' or 'inotersen'),NO_TICKER,Tegsedi,inotersen,Approval,2018-10-05,To treat polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211172,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22tegsedi%22&count=sponsor_name,Verified - FLAGGED (applicant of record not machine-verifiable today),"FDA 2018 novel-drug-approvals table row 45 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 211172; openFDA applicant term queried 2026-09-12. Approval verified by FDA's 2018 table row 45 (NDA 211172). Inotersen is commonly attributed to Ionis Pharmaceuticals (NASDAQ:IONS, row D040), but openFDA returned no record on 2026-09-12, so no company or ticker is asserted.",NOT US-INVESTABLE (UNVERIFIED),derived 2026-09-12 from verified exchange/ticker fields; issuer could not be tied to a listed security without guessing: 'N/A - applicant not machine-verifiable; no listed equity verified in this pass',N/A - applicant not machine-verifiable; no listed equity verified in this pass,D325
"Chiesi Farmaceutici (Chiesi USA, Inc.)",NO_TICKER,Revcovi,elapegademase-lvlr,Approval,2018-10-05,To treat Adenosine Deaminase-Severe Combined Immunodeficiency (ADA-SCID),,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761092,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22revcovi%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 44 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 761092; openFDA applicant term queried 2026-09-12. Private per this dataset's Chiesi rows (D151).,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A')",N/A,D326
Pfizer Inc.,PFE,Talzenna,talazoparib,Approval,2018-10-16,To treat locally advanced or metastatic breast cancer patients with a germline BRCA mutation.,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211651,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22talzenna%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 46 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 211651; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from D037.,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D324
"Genentech, Inc. (Roche group)",RHHBY,Xofluza,baloxavir marboxil,Approval,2018-10-24,To treat acute uncomplicated influenza in patients who have been symptomatic for no more than 48 hours.,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210854,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22xofluza%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 47 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210854; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from row D021.,US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'OTC ADR; primary SIX:ROG',OTC ADR; primary SIX:ROG,D323
Pfizer Inc.,PFE,Lorbrena,lorlatinib,Approval,2018-11-02,To treat patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210868,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22lorbrena%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 48 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210868; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from D037.,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D322
Mylan Ireland Ltd (openFDA applicant of record),NO_US_TICKER,Yupelri,revefenacin,Approval,2018-11-09,To treat patients with chronic obstructive pulmonary disease (COPD),,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210598,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22yupelri%22&count=sponsor_name,Verified - FLAGGED (no US-investable equity verified in this pass),FDA 2018 novel-drug-approvals table row 49 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210598; openFDA applicant term queried 2026-09-12. The applicant of record is an Irish Mylan group entity; the group's US listing was not re-verified in this pass.,NOT US-INVESTABLE (UNVERIFIED),derived 2026-09-12 from verified exchange/ticker fields; issuer could not be tied to a listed security without guessing: 'No US-listed equity verified in this pass',No US-listed equity verified in this pass,D321
Applicant not machine-verifiable (openFDA has no record for 'aemcolo'),NO_TICKER,Aemcolo,rifamycin,Approval,2018-11-16,To treat travelers' diarrhea,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210910,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22aemcolo%22&count=sponsor_name,Verified - FLAGGED (applicant of record not machine-verifiable today),"FDA 2018 novel-drug-approvals table row 50 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210910; openFDA applicant term queried 2026-09-12. Approval verified by FDA's 2018 table row 50 (NDA 210910); the applicant could not be resolved from openFDA on 2026-09-12, so none is asserted.",NOT US-INVESTABLE (UNVERIFIED),derived 2026-09-12 from verified exchange/ticker fields; issuer could not be tied to a listed security without guessing: 'N/A - applicant not machine-verifiable; no listed equity verified in this pass',N/A - applicant not machine-verifiable; no listed equity verified in this pass,D320
Novimmune S.A.,NO_TICKER,Gamifant,emapalumab-lzsg,Approval,2018-11-20,To treat primary hemophagocytic lymphohistiocytosis (HLH),,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761107,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22gamifant%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 51 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 761107; openFDA applicant term queried 2026-09-12. FDA's page prints the ingredient twice ('emapalumab-lzsgemapalumab-lzsg'); normalised to emapalumab-lzsg.,PRIVATE / NO EQUITY,"derived 2026-09-12 from verified exchange/ticker fields; no listed equity in the verified fields (ticker='NO_TICKER', exchange='N/A - privately held; no listed equity')",N/A - privately held; no listed equity,D319
Pfizer Inc.,PFE,Daurismo,glasdegib,Approval,2018-11-21,To treat newly-diagnosed acute myeloid leukemia (AML) in adult patients,,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210656,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22daurismo%22&count=sponsor_name,Verified,FDA 2018 novel-drug-approvals table row 52 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210656; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from row D037.,US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NYSE',NYSE,D318
"Loxo Oncology, Inc.",LOXO,Vitrakvi,larotrectinib,Approval,2018-11-26,To treat patients whose cancers have a specific genetic feature (biomarker),,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210861,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2018/210861Orig1s000_211710Orig1s000OtherR.pdf,Verified - FDA approval letter resolves decision-date sponsor,"FDA 2018 novel-drug-approvals table row 53 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 210861; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from row D080 (Bayer AG). Larotrectinib was developed by Loxo Oncology; openFDA's holder today is Bayer, and the 2018 applicant was not re-read from the approval letter. Decision-date sponsor resolved from FDA original approval letter: Loxo Oncology, Inc.. Current-holder/openFDA discrepancy is retained as historical ownership context; price attribution must use LOXO (or remain blank if no verified historical series).",US-LISTED,derived 2026-09-12 from verified exchange/ticker fields; US primary listing per exchange field: 'NASDAQ',NASDAQ,D317
Astellas Pharma Inc.,ALPMY,Xospata,gilteritinib,Approval,2018-11-28,To treat patients who have relapsed or refractory acute myeloid leukemia (AML),,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=211349,https://api.fda.gov/drug/drugsfda.json?search=openfda.brand_name:%22xospata%22&count=sponsor_name,Verified,"FDA 2018 novel-drug-approvals table row 55 (archived capture https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018); Drugs@FDA application 211349; openFDA applicant term queried 2026-09-12. Ticker/exchange re-used from row D250 (same issuer, already verified).",US-LISTED (ADR),derived 2026-09-12 from verified exchange/ticker fields; US depositary receipt / OTC line per exchange field: 'OTC ADR; primary TSE:4503',OTC ADR; primary TSE:4503,D315
