nct_id,brief_title,lead_sponsor,sponsor_class,resolved_company,ticker,exchange,investability_class,phases,study_status,primary_completion_date,primary_completion_date_type,conditions,drug_interventions,primary_outcome_measure,source_url,verification_status,sponsor_resolution_basis,notes,window_source
NCT05209256,Alflutinib Versus Alflutinib Plus Chemotherapy for NSCLC,The First Affiliated Hospital of Henan University of Science and Technology,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01,ESTIMATED,NSCLC,Chemotherapy; Alflutinib plus chemotherapy,PFS,https://clinicaltrials.gov/study/NCT05209256,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 16 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05786378,Assessment of The Efficacy of Intratympanic Platelet Rich Plasma for Treatment of Sensorineural Hearing Loss.,Assiut University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01,ESTIMATED,"Hearing Loss, Sudden",local anesthesia in external auditory canal,Changes in Pure Tone Averages,https://clinicaltrials.gov/study/NCT05786378,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 6 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT02814916,"Dalbavancin for the Treatment of Acute Bacterial Skin and Skin Structure Infections in Children, Known or Suspected to be Caused by Susceptible Gram-positive Organisms, Including MRSA",AbbVie,INDUSTRY,AbbVie Inc.,ABBV,NYSE,US-LISTED,Phase 3,Completed,2024-01-01,ACTUAL,Methicillin-Resistant Staphylococcus Aureus,Dalbavancin; Vancomycin; Oxacillin; Flucloxacillin,Shift From Baseline in Distortion Product Otoacoustic Emission at TOC Visit,https://clinicaltrials.gov/study/NCT02814916,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Forest Laboratories acquired by Actavis/Allergan 2014; Allergan acquired by AbbVie 2020,"lead sponsor class: INDUSTRY | primary endpoint time frame: Baseline, Day 28 (± 2 days)",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03380468,Adjuvant Chemotherapy for High Risk Stage I Lung Adenocarcinoma,Fudan University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01-01,ESTIMATED,Lung Neoplasms,cisplatin plus pemetrexed,Recurrence free survival (RFS),https://clinicaltrials.gov/study/NCT03380468,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: up to 5 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03757949,Nutrition Therapy in Improving Immune System in Patients With Bladder Cancer That Can Be Removed by Surgery,SWOG Cancer Research Network,NETWORK,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Active Not Recruiting,2024-01-01,ACTUAL,Bladder Carcinoma,,Post-operative Complications (30 Days),https://clinicaltrials.gov/study/NCT03757949,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: NETWORK (academic/government/network sponsor),lead sponsor class: NETWORK | primary endpoint time frame: Up to 30 days post surgery,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04351594,Biofreeze and the Effect on Knee Osteoarthritis,Memorial University of Newfoundland,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2024-01-01,ACTUAL,Knee Osteoarthritis,Biofreeze 4 % Topical Gel,"Efficacy comparison of (Biofreeze) Menthol 4%, Menthol 0% as measured by the Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC), version 3.0",https://clinicaltrials.gov/study/NCT04351594,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 4 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04393584,FOLFIRINOX vs FLOT Chemotherapy for Resectable Gastric or Esophagogastric Junction Adenocarcinoma,Blokhin's Russian Cancer Research Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01-01,ESTIMATED,Stomach Neoplasms,Irinotecan; 5-FU; Leucovorin; Oxaliplatin,median overall survival,https://clinicaltrials.gov/study/NCT04393584,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: 2 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05158608,Comparison of PT-Cy at a Dose of 25 mg/kg/Day and PT-Cy at a Dose of 50 mg/kg/Day in GVHD Prophylaxis,"National Research Center for Hematology, Russia",NETWORK,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2024-01-01,ESTIMATED,Graft Versus Host Disease,Post-transplantation Cyclophosphamide at dose 25 mg/kg/day; Post-transplantation Cyclophosphamide at dose 50 mg/kg/day,"Incidence of acute graft-versus-host disease, grades II-IV",https://clinicaltrials.gov/study/NCT05158608,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: NETWORK (academic/government/network sponsor),lead sponsor class: NETWORK | primary endpoint time frame: 180 days,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05503108,"Fasting Mimicking Diet Program to ImpRovE ChemoTherapy in Hormone Receptor Postive (HR+), HER2- Breast Cancer",Leiden University Medical Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Suspended,2024-01-01,ESTIMATED,Fasting Mimicking Diet,,Pathological response rate (pCR). Both percentage of pCR and 90-100% tumor loss according to Miller & Payne,https://clinicaltrials.gov/study/NCT05503108,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 4.5 years,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05967130,Treatment Chronic UTI Post Kidney Transplant,Shahid Beheshti University of Medical Sciences,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2024-01-01,ACTUAL,Urinary Tract Infections,,Urine culture,https://clinicaltrials.gov/study/NCT05967130,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 1 week after administration,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05990049,Hyaluronic Acid and Free Gingival Graft Healing,University of Zagreb,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2024-01-01,ESTIMATED,Hyaluronic Acid,Hyadent BG,Keratinized tissue gain,https://clinicaltrials.gov/study/NCT05990049,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: baseline to 1 month postoperatively,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT06171776,Evaluation of Conservative Management of Teeth With Deep Cavitated Carious Lesions,Cairo University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Unknown,2024-01-01,ESTIMATED,Deep Caries,RetroMTA; TheraCal; Fuji IX,postoperative pain (binary),https://clinicaltrials.gov/study/NCT06171776,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: one week to 24 months,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT06341998,Clinical Study of Chemotherapy in the Treatment of Recurrent/Refractory Yolk Sac Tumor in Children,Shandong First Medical University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 2 / Phase 3,Completed,2024-01-01,ACTUAL,Germ Cell Tumor,sirolimus combined with chemotherapy in the treatment of recurrent/refractory yolk sac tumor in children,"ORR: Objective Response Rate Allocation 'Non-Randomized' implies that this is a multi-arm study, but only one arm has been specified. Objective Response Rate",https://clinicaltrials.gov/study/NCT06341998,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | Phase 2/3 combined study | primary endpoint time frame: Each treatment cycle spans 3 to 4 weeks, 1-4 cycles, last at lest 3 to 16 weeks.",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT06486870,Comparison Between Two Ovulation Induction Therapies and LOD on Clinical Outcomes in CC-Resistant PCOS Women,Cairo University,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01-01,ACTUAL,PCOS (Polycystic Ovary Syndrome) of Bilateral Ovaries,Gonadotropin; Letrozole,pregnancy rate,https://clinicaltrials.gov/study/NCT06486870,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 6 month,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT06903260,Robot-assisted Partial Nephrectomy With and Without Mixed Reality (REALITATEM Study),Hospital Moinhos de Vento,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01-01,ACTUAL,Kidney Cancer,,ischemia time,https://clinicaltrials.gov/study/NCT06903260,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),"lead sponsor class: OTHER | primary endpoint time frame: ""Perioperative/Periprocedural""",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03706365,A Study of Abiraterone Acetate Plus Prednisone With or Without Abemaciclib (LY2835219) in Participants With Prostate Cancer,Eli Lilly and Company,INDUSTRY,Eli Lilly and Company,LLY,NYSE,US-LISTED,Phase 2 / Phase 3,Active Not Recruiting,2024-01-02,ACTUAL,Prostate Cancer,Abemaciclib; Placebo; Abiraterone acetate; Prednisone,Radiographic Progression Free Survival (rPFS),https://clinicaltrials.gov/study/NCT03706365,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),SEC company_tickers.json exact title match,lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: From Date of Randomization to Radiographic Disease Progression or Death from Any Cause (Up to 60 Months),clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03770663,Cyclophosphamide and Azathioprine vs Tacrolimus in Antisynthetase Syndrome-related Interstitial Lung Disease,Assistance Publique - Hôpitaux de Paris,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Unknown,2024-01-02,ESTIMATED,Antisynthetase Syndrome (ASS),Cyclophosphamide and azathioprine; Tacrolimus,Progression free survival,https://clinicaltrials.gov/study/NCT03770663,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: From baseline to 12 months,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04627025,Trial to Evaluate Efficacy and Safety of Apraglutide in SBS-IF,VectivBio AG,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-01-02,ACTUAL,Short Bowel Syndrome,apraglutide,Relative change from baseline in actual weekly PS volume at Week 24.,https://clinicaltrials.gov/study/NCT04627025,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: At week 24 of treatment,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04075292,Study of Acalabrutinib Versus Chlorambucil Plus Rituximab in Adult Subjects With Previously Untreated Chronic Lymphocytic Leukemia,AstraZeneca,INDUSTRY,AstraZeneca PLC,AZN,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2024-01-03,ACTUAL,Untreated Chronic Lymphocytic Leukemia,Acalabrutinib; Rituximab; Chlorambucil,Progression Free Survival (PFS) Assessed by BICR,https://clinicaltrials.gov/study/NCT04075292,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),SEC company_tickers.json exact title match (ADR),"lead sponsor class: INDUSTRY | primary endpoint time frame: Response evaluations performed every 12 weeks from Cycle 4 Day 1 to Cycle 25, then every 24 weeks until PD or death, up to DCO date of 03 January 2024 (a maximum of approximately 47.5 months)",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04503668,Olanzapine for the Prevention of Chemotherapy Induced Nausea and Vomiting in Gynecologic Oncology Patients,University of Michigan Rogel Cancer Center,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Terminated,2024-01-03,ACTUAL,Gynecologic Cancer,Ondansetron; Dexamethasone; Neurokinin-1 Receptor Antagonist (NK1-RA); Olanzapine,Rate of Complete Response in the Overall Time Period (0 - 120 Hours Post-chemotherapy),https://clinicaltrials.gov/study/NCT04503668,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: 120 hours post initiating chemotherapy during cycle 1,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04974749,A Study of REPLAGAL® in Treatment-naive Chinese Participants With Fabry Disease,Takeda,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-01-03,ACTUAL,Fabry Disease,,Number of Participants With Serious Treatment-emergent Adverse Events (TEAEs),https://clinicaltrials.gov/study/NCT04974749,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: From start of study drug administration up to 14 days after end of treatment (EOT) [up to Week 54],clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05388669,A Study of Lazertinib With Subcutaneous Amivantamab Compared With Intravenous Amivantamab in Participants With Epidermal Growth Factor Receptor (EGFR)-Mutated Advanced or Metastatic Non-small Cell Lung Cancer,"Janssen Research & Development, LLC",INDUSTRY,Johnson & Johnson,JNJ,NYSE,US-LISTED,Phase 3,Active Not Recruiting,2024-01-03,ACTUAL,Advanced or Metastatic Non-small Cell Lung Cancer,Lazertinib; Amivantamab Subcutaneous and Co-Formulated with Recombinant Human Hyaluronidase (SC CF); Amivantamab Intravenous,For All Regions Other Than the European Union (EU) and Others Accepting Cycle 2 Day 1: Observed Serum Concentration (Ctrough) of Amivantamab at Steady State,https://clinicaltrials.gov/study/NCT05388669,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),Janssen R&D subsidiary of Johnson & Johnson (NYSE:JNJ),lead sponsor class: INDUSTRY | primary endpoint time frame: Pre-dose on Cycle 4 Day 1 (each cycle of 28 days),clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT04732221,A Study of the Efficacy and Safety of Frespaciguat (MK-5475) in Participants With Pulmonary Arterial Hypertension (INSIGNIA-PAH: Phase 2/3 Study of an Inhaled sGC Stimulator in PAH) (MK-5475-007),Merck Sharp & Dohme LLC,INDUSTRY,"Merck & Co., Inc.",MRK,NYSE,US-LISTED,Phase 2 / Phase 3,Completed,2024-01-04,ACTUAL,Pulmonary Arterial Hypertension,Frespaciguat; Placebo to Frespaciguat,Phase 2 Cohort: Mean Percent Change From Baseline in Pulmonary Vascular Resistance (PVR) at 12 Weeks,https://clinicaltrials.gov/study/NCT04732221,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),"Operating/R&D subsidiary of Merck & Co., Inc. (NYSE:MRK)",lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: At baseline and 12 weeks,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05075408,To Evaluate the Efficacy and Safety of Nemolizumab for 12 Weeks in Participants With Chronic Kidney Disease With Associated Moderate to Severe Pruritus,Galderma R&D,INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 2 / Phase 3,Completed,2024-01-04,ACTUAL,Chronic Kidney Disease Associated Moderate to Severe Pruritus,Nemolizumab; Nemolizumab; Placebo,Percentage of Responders With an Improvement of Worst Itch Numeric Rating Scale (WI NRS) Greater Than and Equal to (>=) 4 From Baseline at Week 12,https://clinicaltrials.gov/study/NCT05075408,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,"lead sponsor class: INDUSTRY | Phase 2/3 combined study | primary endpoint time frame: Baseline, Week 12",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05147662,"A Study to Learn How Safe the Study Treatment BAY94-9027 is and How it Affects the Body in Previously Treated Children Aged 7 to Less Than 12 Years With Severe Hemophilia A, a Genetic Bleeding Disorder That is Caused by the Lack of a Protein Called Clotting Factor 8 (FVIII) in the Blood",Bayer,INDUSTRY,Bayer AG,BAYRY,OTCQX,US-LISTED,Phase 3,Completed,2024-01-04,ACTUAL,Treatment of Bleeding,,Adverse Events of Special Interest (AESI) Hypersensitivity and Loss of Efficacy Associated With the First 4 Exposure Days (EDs) Leading to Discontinuation,https://clinicaltrials.gov/study/NCT05147662,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),US operating unit of Bayer AG (OTCQX:BAYRY / XETRA:BAYN),lead sponsor class: INDUSTRY | primary endpoint time frame: Individual first 4 exposure days,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT05788497,Efficacy and Safety of Hemorrane Plus Versus Hemorrane and Versus Placebo in Patients With Uncomplicated Haemorrhoids,"Faes Farma, S.A.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Terminated,2024-01-04,ACTUAL,Haemorrhoids Without Complication,Hemorrane plus; Hemorrane; Placebo,"Percentage of responders at T156h +30 min (day 7 hour 12 + 30min) compared to T0 (day 1 hour 0), for Hemorrane Plus and placebo; as well as the percentage of responders within 30 minutes after the application of Hemorrane Plus and Hemorrane®.",https://clinicaltrials.gov/study/NCT05788497,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 7 days 12 hours 30 min,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT06287606,A Phase 3 Clinical Trials for Bowel Preparation for Colonoscopy,"Taejoon Pharmaceutical Co., Ltd.",INDUSTRY,,,,UNRESOLVED SPONSOR,Phase 3,Completed,2024-01-04,ACTUAL,Bowel Preparation,CTP0302-A; CTP0302-B; Conventional OST,Ratio of subjects With successful Bowel Cleansing,https://clinicaltrials.gov/study/NCT06287606,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),no repository-verified row and no exact SEC registrant match (legal suffixes removed); blank beats guessed,lead sponsor class: INDUSTRY | primary endpoint time frame: 1 day of scheduled colonoscopy,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03521154,A Global Study to Assess the Effects of Osimertinib Following Chemoradiation in Patients With Stage III Unresectable Non-small Cell Lung Cancer (LAURA),AstraZeneca,INDUSTRY,AstraZeneca PLC,AZN,NASDAQ,US-LISTED,Phase 3,Active Not Recruiting,2024-01-05,ACTUAL,Non Small Cell Lung Cancer (Stage III),Osimertinib 80mg/40mg; Placebo Osimertinib 80mg/40mg,Progression-free Survival (PFS) by Blinded Independent Central Review (BICR),https://clinicaltrials.gov/study/NCT03521154,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),SEC company_tickers.json exact title match (ADR),"lead sponsor class: INDUSTRY | primary endpoint time frame: Every 8 weeks for first 48 weeks, then every 12 weeks until BICR-confirmed radiological disease progression. Assessed up to date of DCO (05Jan24) to a maximum of approximately 63 months",clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
NCT03753776,Phase III Trial Evaluating Radium Bromatum Homeopathic Treatment Efficacy on Radiodermatitis Prevention and Treatment for Breast Cancer Women,Centre Hospitalier Universitaire de Saint Etienne,OTHER,,,,NOT A COMPANY (academic/government/network sponsor),Phase 3,Completed,2024-01-05,ACTUAL,Breast Cancer,Placebo pills of Radium bromatum; Radium bromatum pills; Radium bromatum/Apis mellifica/Belladonna placebo pills; Radium bromatum/Apis mellifica/Belladonna pills,Percentage diminution of grade 2 or higher radiodermatitis in Radium bromatum group,https://clinicaltrials.gov/study/NCT03753776,Verified - ClinicalTrials.gov API v2 capture 2026-09 (expanded),lead sponsor class: OTHER (academic/government/network sponsor),lead sponsor class: OTHER | primary endpoint time frame: Week 6,clinicaltrials_phase3_2024_2025_windows/studies_2024H1.json
