direction,approval_year,brand,generic,applicant,application,approval_date,compilation_review,compilation_accelerated,reconciliation_status,matched_via,master_decision_id,master_flag,openfda_crosscheck,compilation_source
compilation→master,1985,Vasotec,enalapril maleate,Merck Sharp & Dohme,NDA18998,1985-12-24,Priority,N/A,MATCHED,appl NDA18998,D1048,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Versed,midazolam hydrochloride,Hoffmann-La Roche,NDA18654,1985-12-20,Standard,N/A,MATCHED,appl NDA18654,D1045,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Virazole,ribavirin,Viratek,NDA18859,1985-12-31,Priority,N/A,MATCHED,appl NDA18859,D1059,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,Wellbutrin,bupropion hydrochloride,Burroughs Wellcome,NDA18644,1985-12-30,Priority,N/A,MATCHED,appl NDA18644,D1057,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1985,[drug marketed without a proprietary name],indium In 111 oxyquinoline,Amersham,NDA19044,1985-12-24,Priority,N/A,MATCHED,appl NDA19044,D1049,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Alfenta,alfentanil hydrochloride,Janssen,NDA19353,1986-12-29,Standard,N/A,MATCHED,appl NDA19353,D1075,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Atrovent,ipratropium bromide,Boehringer Ingelheim Pharmaceuticals,NDA19085,1986-12-29,Priority,N/A,MATCHED,appl NDA19085,D1076,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Azactam,aztreonam,Squibb,NDA50580,1986-12-31,Priority,N/A,MATCHED,appl NDA50580,D1079,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Brevibloc,esmolol hydrochloride,DuPont,NDA19386,1986-12-31,Priority,N/A,MATCHED,appl NDA19386,D1080,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Buspar,buspirone hydrochloride,Bristol-Myers,NDA18731,1986-09-29,Priority,N/A,MATCHED,appl NDA18731,D1065,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Cibacalcin,calcitonin (human),Ciba-Geigy,NDA18470,1986-10-31,Priority,N/A,MATCHED,appl NDA18470,D1069,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Cyklokapron,tranexamic acid,KabiVitrum,NDA19280;NDA19281,1986-12-30,Standard,N/A,MATCHED,appl NDA19280,D1077,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Enkaid,encainide hydrochloride,Bristol-Myers,NDA18981,1986-12-24,Priority,N/A,MATCHED,appl NDA18981,D1074,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Exirel,pirbuterol acetate,Pfizer,NDA19009,1986-12-30,Standard,N/A,MATCHED,appl NDA19009,D1078,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Intron-A,interferon alfa-2b,Schering,BLA103132,1986-06-04,Priority,N/A,MATCHED,appl BLA103132,D1062,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Lamprene,clofazimine,Ciba-Geigy,NDA19500,1986-12-15,Priority,N/A,MATCHED,appl NDA19500,D1073,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Nix,permethrin,Burroughs Wellcome,NDA19435,1986-03-31,Priority,N/A,MATCHED,appl NDA19435,D1061,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Noroxin,norfloxacin,Merck Sharp & Dohme,NDA19384,1986-10-31,Priority,N/A,MATCHED,appl NDA19384,D1070,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Ocufen,flurbiprofen sodium,Allergan,NDA19404,1986-12-31,Priority,N/A,MATCHED,appl NDA19404,D1081,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Orthoclone OKT3,muromonab-CD3,Ortho Pharms,BLA103135,1986-06-19,Standard,N/A,MATCHED,appl BLA103135,D1064,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Orudis,ketoprofen,Wyeth,NDA18754,1986-01-09,Standard,N/A,MATCHED,appl NDA18754,D1060,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Pepcid,famotidine,Merck Sharp & Dohme,NDA19462,1986-10-15,Standard,N/A,MATCHED,appl NDA19462,D1067,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Provocholine,methacholine chloride,Hoffmann-La Roche,NDA19193,1986-10-31,Priority,N/A,MATCHED,appl NDA19193,D1071,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Roferon-A,interferon alfa-2a,Hoffmann-La Roche,BLA103145,1986-06-04,Priority,N/A,MATCHED,appl BLA103145,D1063,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Technescan Hida,technetium Tc-99m lidofenin,Merck Sharp & Dohme,NDA18489,1986-10-31,Standard,N/A,MATCHED,appl NDA18489,D1072,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Tegison,etretinate,Hoffmann-La Roche,NDA19369,1986-09-30,Priority,N/A,MATCHED,appl NDA19369,D1066,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Tenex,guanfacine hydrochloride,Robins,NDA19032,1986-10-27,Standard,N/A,MATCHED,appl NDA19032,D1068,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1986,Unasyn,"sulbactam sodium, ampicillin sodium",Pfizer,NDA50608,1986-12-31,Standard,N/A,MATCHED,appl NDA50608,D1082,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Activase,alteplase,Genentech,BLA103172,1987-11-13,Priority,N/A,MATCHED,appl BLA103172,D1089,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Bactroban,mupirocin,Beecham,NDA50591,1987-12-31,Standard,N/A,MATCHED,appl NDA50591,D1099,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Cefmax,cefmenoxime hydrochloride,TAP Pharmaceuticals,NDA50571,1987-12-30,Standard,N/A,MATCHED,appl NDA50571,D1097,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Choletec,technetium Tc-99m mebrofenin,Squibb,NDA18963,1987-01-21,Standard,N/A,MATCHED,appl NDA18963,D1083,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Cipro,ciprofloxacin hydrochloride,Miles,NDA19537,1987-10-22,Priority,N/A,MATCHED,appl NDA19537,D1088,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Corotrope,milrinone lactate,Sterling-Winthrop,NDA19436,1987-12-31,Standard,N/A,MATCHED,appl NDA19436,D1100,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Deursil,ursodiol,Gipharmex,NDA19594,1987-12-31,Priority,N/A,MATCHED,appl NDA19594,D1101,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Elocon,mometasone furoate,Schering,NDA19543,1987-04-30,Standard,N/A,MATCHED,appl NDA19543,D1085,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Hytrin,terazosin hydrochloride,Abbott Laboratories,NDA19057,1987-08-07,Standard,N/A,MATCHED,appl NDA19057,D1086,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Iopidine,apraclonidine hydrochloride,Alcon,NDA19779,1987-12-31,Standard,N/A,MATCHED,appl NDA19779,D1102,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Levatol,penbutolol sulfate,Eli Lilly,NDA18976,1987-12-30,Standard,N/A,MATCHED,appl NDA18976,D1098,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Mevacor,lovastatin,Merck Sharp & Dohme,NDA19643,1987-08-31,Priority,N/A,MATCHED,appl NDA19643,D1087,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Novantrone,mitoxantrone hydrochloride,Lederle,NDA19297,1987-12-23,Standard,N/A,MATCHED,appl NDA19297,D1090,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Parathar,teriparatide acetate,Rorer,NDA19498,1987-12-23,Priority,N/A,MATCHED,appl NDA19498,D1091,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Prinivil,lisinopril,Merck Sharp & Dohme,NDA19558,1987-12-29,Standard,N/A,MATCHED,appl NDA19558,D1095,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Prozac,fluoxetine hydrochloride,Eli Lilly,NDA18936,1987-12-29,Priority,N/A,MATCHED,appl NDA18936,D1096,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Retrovir,zidovudine,Burroughs Wellcome,NDA19655,1987-03-19,Priority,N/A,MATCHED,appl NDA19655,D1084,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Rimadyl,carprofen,Hoffmann-La Roche,NDA18550,1987-12-31,Standard,N/A,MATCHED,appl NDA18550,D1103,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Rowasa,mesalamine,Reid-Rowell,NDA19618,1987-12-24,Priority,N/A,MATCHED,appl NDA19618,D1093,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Spectamine,iofetamine hydrochloride  I 123,Medi-Physics,NDA19432,1987-12-24,Standard,N/A,MATCHED,appl NDA19432,D1094,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Terazol 7,terconazole,Ortho,NDA19579,1987-12-31,Standard,N/A,MATCHED,appl NDA19579,D1104,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1987,Ucephan,"sodium phenylacetate, sodium benzoate",Kendall McGaw,NDA19530,1987-12-23,Priority,N/A,MATCHED,appl NDA19530,D1092,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Axid,nizatidine,Eli Lilly,NDA19508,1988-04-12,Standard,N/A,MATCHED,appl NDA19508,D1106,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Cardene,nicardipine hydrochloride,Syntex,NDA19488,1988-12-21,Standard,N/A,MATCHED,appl NDA19488,D1112,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Cartrol,carteolol hydrochloride,Abbott Laboratories,NDA19204,1988-12-28,Standard,N/A,MATCHED,appl NDA19204,D1115,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Ceradon,cefotiam hydrochloride,Takeda,NDA50601,1988-12-30,Standard,N/A,MATCHED,appl NDA50601,D1118,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Ceretec,technetium Tc-99m exametazime,Amersham,NDA19829,1988-12-30,Priority,N/A,MATCHED,appl NDA19829,D1119,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Cytotec,misoprostol,Searle,NDA19268,1988-12-27,Priority,N/A,MATCHED,appl NDA19268,D1114,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Ethamolin,ethanolamine oleate,Glaxo,NDA19357,1988-12-22,Priority,N/A,MATCHED,appl NDA19357,D1113,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Hismanal,astemizole,Janssen,NDA19402,1988-12-29,Standard,N/A,MATCHED,appl NDA19402,D1117,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Ifex,ifosfamide,Bristol-Myers,NDA19763,1988-12-30,Priority,N/A,MATCHED,appl NDA19763,D1120,COMPILATION_ONLY,MISMATCH_DATE,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Magnevist,gadopentetate dimeglumine,Berlex,NDA19596,1988-06-02,Priority,N/A,MATCHED,appl NDA19596,D1107,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Mesnex,mesna,Asta,NDA19884,1988-12-30,Priority,N/A,MATCHED,appl NDA19884,D1121,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Naftin,naftifine hydrochloride,Herbert Labs,NDA19599,1988-02-29,Standard,N/A,MATCHED,appl NDA19599,D1105,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Nimotop,nimodipine,Miles,NDA18869,1988-12-28,Priority,N/A,MATCHED,appl NDA18869,D1116,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Optiray,ioversol,Mallinckrodt,NDA19710,1988-12-30,Standard,N/A,MATCHED,appl NDA19710,D1122,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Oxistat,oxiconazole nitrate,Glaxo,NDA19828,1988-12-30,Standard,N/A,MATCHED,appl NDA19828,D1123,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Permax,pergolide mesylate,Eli Lilly,NDA19385,1988-12-30,Priority,N/A,MATCHED,appl NDA19385,D1124,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Photoplex,"avobenzone, padimate-O",Herbert Labs,NDA19459,1988-09-30,Standard,N/A,MATCHED,appl NDA19459,D1110,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Sandostatin,octreotide acetate,Sandoz,NDA19667,1988-10-21,Priority,N/A,MATCHED,appl NDA19667,D1111,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Thiola,tiopronin,Mission Pharmacal,NDA19569,1988-08-11,Priority,N/A,MATCHED,appl NDA19569,D1109,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1988,Voltaren,diclofenac sodium,Ciba,NDA19201,1988-07-28,Standard,N/A,MATCHED,appl NDA19201,D1108,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Adenocard,adenosine,Medco,NDA19937,1989-10-30,Priority,N/A,MATCHED,appl NDA19937,D1137,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Alferon N,interferon alfa-n3,Interferon Sciences,BLA103158,1989-10-10,Standard,N/A,MATCHED,appl BLA103158,D1136,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Anafranil,clomipramine hydrochloride,Ciba-Geigy,NDA19906,1989-12-29,Priority,N/A,MATCHED,appl NDA19906,D1145,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Betamet,metipranolol hydrochloride,Bausch & Lomb,NDA19907,1989-12-29,Standard,N/A,MATCHED,appl NDA19907,D1146,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Cardiogen-82,rubidium Rb 82 chloride,Bristol-Myers Squibb,NDA19414,1989-12-29,Standard,N/A,MATCHED,appl NDA19414,D1147,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Cefpiramide,cefpiramide sodium,Wyeth-Ayerst,NDA50633,1989-01-31,Standard,N/A,MATCHED,appl NDA50633,D1126,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Clozaril,clozapine,Sandoz,NDA19758,1989-09-26,Priority,N/A,MATCHED,appl NDA19758,D1134,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Cytovene,ganciclovir sodium,Syntex,NDA19661,1989-06-23,Priority,N/A,MATCHED,appl NDA19661,D1132,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Dalgan,dezocine,Wyeth-Ayerst,NDA19082,1989-12-29,Standard,N/A,MATCHED,appl NDA19082,D1148,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Decabid,indecainide hydrochloride,Eli Lilly,NDA19693,1989-12-29,Standard,N/A,MATCHED,appl NDA19693,D1149,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Diprivan,propofol,ICI,NDA19627,1989-10-02,Standard,N/A,MATCHED,appl NDA19627,D1135,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Eldepryl,selegiline hydrochloride,Somerset,NDA19334,1989-06-05,Priority,N/A,MATCHED,appl NDA19334,D1131,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Eminase,anistreplase,Beecham,BLA103273,1989-11-27,Standard,N/A,MATCHED,appl BLA103273,D1138,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Epogen,epoetin alfa,Amgen,BLA103234,1989-06-01,Standard,N/A,MATCHED,appl BLA103234,D1130,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Eulexin,flutamide,Schering,NDA18554,1989-01-27,Priority,N/A,MATCHED,appl NDA18554,D1125,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Lariam,mefloquine hydrochloride,Department of the Army,NDA19578,1989-05-02,Priority,N/A,MATCHED,appl NDA19578,D1129,COMPILATION_ONLY,MATCH_VIA_GENERIC,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Losec,omeprazole,Merck Sharp & Dohme,NDA19810,1989-09-14,Priority,N/A,MATCHED,appl NDA19810,D1133,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Oculinum,botulinum toxin type A,Allergan,BLA103000,1989-12-09,Standard,N/A,MATCHED,appl BLA103000,D1142,COMPILATION_ONLY,MISMATCH_DATE,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Ortho Cyclen,"norgestimate, ethinyl estradiol",RW Johnson,NDA19653,1989-12-29,Standard,N/A,MATCHED,appl NDA19653,D1150,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Osmovist,iotrolan,Berlex,NDA19580,1989-12-07,Standard,N/A,MATCHED,appl NDA19580,D1141,COMPILATION_ONLY,NOT_IN_OPENFDA,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Paraplatin,carboplatin,Bristol-Myers,NDA19880,1989-03-03,Priority,N/A,MATCHED,appl NDA19880,D1127,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Pindac,pinacidil,Eli Lilly,NDA19456,1989-12-28,Standard,N/A,MATCHED,appl NDA19456,D1144,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Rythmol,propafenone hydrochloride,Knoll,NDA19151,1989-11-27,Standard,N/A,MATCHED,appl NDA19151,D1139,COMPILATION_ONLY,MATCH_DATE_ONLY,https://www.fda.gov/media/177921/download?attachment
compilation→master,1989,Suprax,cefixime,Lederle,NDA50621;NDA50622,1989-04-28,Standard,N/A,MATCHED,appl NDA50621,D1128,COMPILATION_ONLY,MATCH,https://www.fda.gov/media/177921/download?attachment
