company_name,ticker,total_pipeline_programs_tracked,approved_count,advanced_to_next_phase_count,paused_or_clinical_hold_count,crl_rejected_count,phase_details,source_url_1,source_url_2,verification_status,notes
AstraZeneca,AZN,4,4,0,0,0,"Imjudo (Unresectable hepatocellular carcinoma): Approved 2022-10-21 [Standard] | Beyfortus (Prevention of RSV lower respiratory tract disease): Approved 2023-07-17 [Standard] | Truqap (Breast cancer (HR+/HER2-, AKT pathway-altered)): Approved 2023-11-16 [Priority] | Datroway (HR-positive HER2-negative metastatic breast cancer): Approved 2025-01-17 [Standard]",https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Datroway is co-developed with Daiichi Sankyo; Beyfortus is commercialized in partnership with Sanofi; Wainua (Ionis-originated, eplontersen) is now held by AstraZeneca per openFDA. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Biogen,BIIB,2,2,0,0,0,Qalsody (ALS in adults with SOD1 mutation): Approved 2023-04-25 [Priority/Accelerated] | Zurzuvae (Postpartum depression): Approved 2023-08-04 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/media/175253/download?attachment,Verified,"Also co-develops/co-commercializes Leqembi with Eisai (Leqembi row is credited to applicant Eisai, 4523.T); acquired Reata (Skyclarys, 2023) - Skyclarys row is credited to Reata (RETA) whose approval-window prices are unavailable. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Bristol Myers Squibb,BMY,5,5,0,0,0,Opdualag (Unresectable/metastatic melanoma): Approved 2022-03-18 [Priority] | Camzyos (Obstructive hypertrophic cardiomyopathy): Approved 2022-04-28 [Standard] | Sotyktu (Moderate-to-severe plaque psoriasis): Approved 2022-09-09 [Standard] | Augtyro (ROS1-positive non-small cell lung cancer): Approved 2023-11-15 [Priority] | Cobenfy (Schizophrenia): Approved 2024-09-26 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
CSL Limited,CSL.AX,2,2,0,0,0,Voydeya (Extravascular hemolysis in PNH (add-on)): Approved 2024-03-29 [Standard] | Andembry (Hereditary angioedema prophylaxis): Approved 2025-06-16 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Gilead Sciences,GILD,2,2,0,0,0,Sunlenca (HIV-1 infection (heavily treatment-experienced)): Approved 2022-12-22 [Priority] | Livdelzi (Primary biliary cholangitis): Approved 2024-08-14 [Priority/Accelerated],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
GSK plc (incl. ViiV Healthcare),GSK,5,5,0,0,0,Cabenuva (HIV-1 infection (maintenance treatment)): Approved 2021-01-21 [Priority] | Jesduvroq (Anemia of chronic kidney disease (dialysis >=4 months)): Approved 2023-02-01 [Standard] | Ojjaara (Intermediate/high-risk myelofibrosis with anemia): Approved 2023-09-15 [Standard] | Blujepa (Uncomplicated urinary tract infections): Approved 2025-03-25 [Standard] | Exdensur (Severe eosinophilic asthma (add-on)): Approved 2025-12-16 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Idorsia Pharmaceuticals,IDIA.SW,2,2,0,0,0,Quviviq (Insomnia): Approved 2022-01-07 [Standard] | Tryvio (Hypertension (add-on)): Approved 2024-03-19 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Incyte Corporation,INCY,2,2,0,0,0,Zynyz (Metastatic or recurrent locally advanced Merkel cell carcinoma): Approved 2023-03-22 [Priority/Accelerated] | Niktimvo (Chronic graft-versus-host disease): Approved 2024-08-14 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Innoviva / Innoviva Specialty Therapeutics,INVA,3,3,0,0,0,Xacduro (Hospital-acquired/ventilator-associated bacterial pneumonia (Acinetobacter)): Approved 2023-05-23 [Priority] | Zevtera (MRSA bacteremia; ABSSSI; CABP): Approved 2024-04-03 [Standard] | Nuzolvence (Uncomplicated urogenital gonorrhea): Approved 2025-12-12 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Ionis Pharmaceuticals,IONS,3,3,0,0,0,Wainua (Polyneuropathy of hereditary transthyretin-mediated amyloidosis): Approved 2023-12-21 [Standard] | Tryngolza (Familial chylomicronemia syndrome): Approved 2024-12-19 [Priority] | Dawnzera (Hereditary angioedema prophylaxis): Approved 2025-08-21 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Wainua later licensed to/held by AstraZeneca per openFDA; Tryngolza and Dawnzera are Ionis-led approvals. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Ipsen S.A.,IPN.PA,2,2,0,0,0,Sohonos (Fibrodysplasia ossificans progressiva): Approved 2023-08-16 [Priority] | Iqirvo (Primary biliary cholangitis (add-on)): Approved 2024-06-10 [Priority/Accelerated],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Johnson & Johnson (Janssen Biotech),JNJ,4,4,0,0,0,Tecvayli (Relapsed/refractory multiple myeloma): Approved 2022-10-25 [Priority/Accelerated] | Talvey (Relapsed/refractory multiple myeloma): Approved 2023-08-09 [Priority/Accelerated] | Lazcluze (Non-small cell lung cancer (with amivantamab)): Approved 2024-08-19 [Standard] | Imaavy (Generalized myasthenia gravis): Approved 2025-04-29 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Novo Nordisk,NVO,2,2,0,0,0,Rivfloza (Primary hyperoxaluria type 1): Approved 2023-09-29 [Standard] | Alhemo (Hemophilia A/B (routine prophylaxis)): Approved 2024-12-20 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Novartis AG,NVS,4,4,0,0,0,Pluvicto (PSMA-positive metastatic castration-resistant prostate cancer): Approved 2022-03-23 [Priority] | Fabhalta (Paroxysmal nocturnal hemoglobinuria): Approved 2023-12-05 [Standard] | Vanrafia (IgA nephropathy (proteinuria reduction)): Approved 2025-04-02 [Priority/Accelerated] | Rhapsido (Chronic spontaneous urticaria): Approved 2025-09-30 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
BeOne Medicines,ONC,2,2,0,0,0,Tevimbra (Esophageal squamous cell carcinoma): Approved 2024-03-13 [Priority] | Beqalzi (Relapsed/refractory mantle cell lymphoma): Approved 2026-05-13 [Priority/Accelerated],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Pfizer,PFE,8,8,0,0,0,Cibinqo (Refractory moderate-to-severe atopic dermatitis): Approved 2022-01-14 [Priority] | Zavzpret (Migraine (acute treatment)): Approved 2023-03-09 [Standard] | Paxlovid (Mild-to-moderate COVID-19 (high risk of progression)): Approved 2023-05-25 [Priority] | Litfulo (Severe alopecia areata): Approved 2023-06-23 [Standard] | Ngenla (Growth failure due to inadequate growth hormone secretion): Approved 2023-06-27 [Standard] | Elrexfio (Relapsed/refractory multiple myeloma): Approved 2023-08-14 [Priority/Accelerated] | Velsipity (Moderately to severely active ulcerative colitis): Approved 2023-10-12 [Standard] | Hympavzi (Hemophilia A/B (routine prophylaxis)): Approved 2024-10-11 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Ngenla developed under the OPKO Health partnership. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Regeneron Pharmaceuticals,REGN,3,3,0,0,0,Evkeeza (Homozygous familial hypercholesterolemia): Approved 2021-02-11 [Priority] | Veopoz (CD55-deficient protein-losing enteropathy (CHAPLE disease)): Approved 2023-08-18 [Priority] | Lynozyfic (Relapsed/refractory multiple myeloma): Approved 2025-07-02 [Priority/Accelerated],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Roche Holding AG,RHHBY,5,5,0,0,0,Vabysmo (Wet age-related macular degeneration; diabetic macular edema): Approved 2022-01-28 [Standard] | Lunsumio (Relapsed/refractory follicular lymphoma): Approved 2022-12-22 [Priority/Accelerated] | Columvi (Relapsed/refractory diffuse large B-cell lymphoma): Approved 2023-06-15 [Priority/Accelerated] | Piasky (Paroxysmal nocturnal hemoglobinuria): Approved 2024-06-20 [Standard] | Itovebi (PIK3CA-mutated advanced/metastatic breast cancer): Approved 2024-10-10 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Roivant Sciences,ROIV,2,2,0,0,0,Vtama (Plaque psoriasis): Approved 2022-05-23 [Standard] | Lisraya (Dermatomyositis (adults)): Approved 2026-08-27 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Vtama (Dermavant) entry predates the 2024 Organon US-rights acquisition; Roivant used as listed proxy. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Sanofi,SNY,4,4,0,0,0,Enjaymo (Cold agglutinin disease): Approved 2022-02-04 [Priority] | Xenpozyme (Acid sphingomyelinase deficiency): Approved 2022-08-31 [Priority] | Qfitlia (Hemophilia A/B (with/without inhibitors)): Approved 2025-03-28 [Standard] | Wayrilz (Persistent/chronic immune thrombocytopenia): Approved 2025-08-29 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2022,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Sun Pharmaceutical Industries,SUNPHARMA.NS,2,2,0,0,0,Letybo (Glabellar lines): Approved 2024-02-29 [Standard] | Leqselvi (Severe alopecia areata): Approved 2024-07-25 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
SpringWorks Therapeutics,SWTX,2,2,0,0,0,Ogsiveo (Progressing desmoid tumors): Approved 2023-11-27 [Priority] | Gomekli (Neurofibromatosis type 1 with plexiform neurofibromas): Approved 2025-02-11 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"SpringWorks was independent at its Ogsiveo approval (Nov 2023); acquired by Merck KGaA (closed Jul 1 2025). Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Takeda Pharmaceutical Company,TAK,2,2,0,0,0,Fruzaqla (Refractory metastatic colorectal cancer): Approved 2023-11-08 [Priority] | Orzeyful (Narcolepsy type 1): Approved 2026-08-05 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Fruzaqla US rights in-licensed from HUTCHMED. Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
TG Therapeutics,TGTX,2,2,0,0,0,Ukoniq (Marginal zone lymphoma and follicular lymphoma): Approved 2021-02-05 [Priority/Accelerated] - VOLUNTARILY WITHDRAWN from US market Apr 2022 (updated UNITY-CL-01 data showed possible increased risk of death) | Briumvi (Relapsing forms of multiple sclerosis): Approved 2022-12-28 [Standard],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://www.fda.gov/media/164429/download?attachment,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
UCB S.A.,UCB.BR,4,4,0,0,0,Rystiggo (Generalized myasthenia gravis): Approved 2023-06-26 [Priority] | Bimzelx (Moderate to severe plaque psoriasis): Approved 2023-10-17 [Standard] | Zilbrysq (Generalized myasthenia gravis): Approved 2023-10-17 [Standard] | Kygevvi (Thymidine kinase 2 deficiency): Approved 2025-11-03 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2023,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Vertex Pharmaceuticals,VRTX,2,2,0,0,0,Alyftrek (Cystic fibrosis): Approved 2024-12-20 [Standard] | Journavx (Moderate-to-severe acute pain): Approved 2025-01-30 [Priority],https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,"Scorecard scope: FDA novel-drug decisions tracked in this project (2021-2026), not the full corporate pipeline. Post-approval advances counted only where FDA-verified (accelerated-to-traditional conversions)."
Haisco Pharmaceutical Group,002653.SZ,1,1,0,0,0,FDA decisions tracked in this dataset: Cypsedo (2026-05-31 - Approval),https://chemxpert.com/all-news/haiscos-cipepofol-becomes-the-first-china-originated-innovative-intravenous-anesthetic-approved-by-the-us-fda,https://chemxpert.com/all-news/haiscos-cipepofol-becomes-the-first-china-originated-innovative-intravenous-anesthetic-approved-by-the-us-fda,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Astellas Pharma,4503.T,1,1,0,0,0,FDA decisions tracked in this dataset: Veozah (2023-05-12 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216578s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216578s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
Eisai (applicant) in partnership with Biogen,4523.T,1,1,0,0,0,FDA decisions tracked in this dataset: Leqembi (2023-01-06 - Approval),https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761269Orig1s000lbl.pdf,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761269Orig1s000lbl.pdf,Verified - FDA decisions only (partial pipeline view),Counts cover ONLY the FDA decisions that have been verified and tracked in this repository - they are not the company's full pipeline. Phase-by-phase progression and clinical holds are therefore reported as 0 rather than estimated; upgrade this row to a full pipeline scorecard by reading the company's own pipeline disclosure.
