capture_id,capture_date,system,subject,url,finding_summary,project_table_affected,project_row_ids,project_effect,verbatim_evidence_ref
V19-C11,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA050509 CYCLAPEN-W tablets - verbatim TYPE 3 ORIG block (irregularity side),https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050509%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19790913+TO+19790913%5D&limit=1,"total=1, single chunk: ORIG-1/AP/19790913, STANDARD, TYPE 3 - New Dosage Form; sponsor WYETH AYERST; CYCLAPEN-W (CYCLACILLIN) TABLET 250MG/500MG. Proves the class/date inversion is in the published FDA data (tablet NDA typed 'new dosage form' one day BEFORE the suspension NDA typed NME for the same first-marketed ingredient), not an extraction error. Cyclacillin counts as ONE NME ingredient via NDA050508.",pre1980_fda_decisions.csv,"PRE1980-1979-07 (sibling NDA050509, Type 3, not a decision row)",irregularity verified live as genuine FDA-data condition; counted once,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V19-C12,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),BLA021846 KINLYTIC - verbatim UNKNOWN/UNKNOWN ORIG block (uncounted candidate),https://api.fda.gov/drug/drugsfda.json?search=application_number:%22BLA021846%22+AND+submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19780116+TO+19780116%5D&limit=1,"total=1, single chunk: ORIG-1/AP/19780116 with review_priority UNKNOWN and submission_class_code UNKNOWN (no class description field published). Application BLA021846 (docs note: 'This Former NDA Was Deemed To Be a BLA on March 23, 2020'); sponsor MICROBIX BIOSYSTEMS; KINLYTIC (UROKINASE) INJECTABLE 5,000/250,000/9,000 IU/VIAL, Discontinued. Urokinase is first-in-payloads (1965-1979 screen), so this is a genuine NME-candidate that the project does NOT count without an application-level NME source. Queued for the 1989 CDER statistical typescript.",pre1980_fda_decisions.csv,(no decision row; audit-level candidate for 1978),candidate verified live; explicitly NOT counted pending application-level source,data/raw/source_captures_2026_09_19/live_primary_captures_v19_2026_09_19.json
V21-C01,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1976 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19760101+TO+19761231%5D&limit=1,"meta.results.total = 619, equal to the committed 1976 payload's manifest n_raw_records (619); the extraction keeps 80 of those as true ORIG/AP-in-1976 decisions. The first returned record demonstrates why raw total >> decisions: NDA013934's ORIG-1/AP is dated 19640406 (TYPE 5) and the record matches the 1976 query through a different submission element (SUPPL-8, 19760429).",pre1980_fda_decisions.csv,PRE1980-1976-* (population-level),confirms the committed 1976 payload population live and documents the nested-field cross-element match condition behind the 619 vs 80 difference,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C02,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1965 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19650101+TO+19651231%5D&limit=1,"meta.results.total = 52, equal to the committed 1965 payload's manifest n_raw_records (52); 32 of those are true ORIG/AP-in-1965 decisions. First record NDA006530 (AVC, sulfanilamide, PHARMOBEDIENT) publishes ORIG-1/AP/19650605 with submission_class_code UNKNOWN and no review_priority - the same FDA source gap the audit counts as blank/UNKNOWN.",pre1980_fda_decisions.csv,PRE1980-1965-* (population-level),confirms the committed 1965 payload population live,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C03,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),1970 ORIG/AP year population re-query,https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:%22ORIG%22+AND+submissions.submission_status:%22AP%22+AND+submissions.submission_status_date:%5B19700101+TO+19701231%5D&limit=1,"meta.results.total = 74, equal to the committed 1970 payload's manifest n_raw_records (74); 38 are true ORIG/AP-in-1970 decisions. First record ANDA085863 (THEOPHYLLINE elixir, PRECISION DOSE) has ORIG-1/AP dated 19790316 and matches the 1970 query through SUPPL-1 (19701121) - second live instance of the cross-element match condition.",pre1980_fda_decisions.csv,PRE1980-1970-* (population-level),confirms the committed 1970 payload population live,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C04,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),"NDA019853 Cuprimine (penicillamine) - 1970 numbering anomaly, verbatim ORIG block",https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA019853%22&limit=1000,"meta.results.total = 1. The record carries exactly one ORIG submission: ORIG-1 / AP / 19701204 / STANDARD / TYPE 1 - New Molecular Entity, sponsor VALEANT PHARMS INTL, brand CUPRIMINE, generic PENICILLAMINE. Supplements run 1987-2004, so the application has existed under this number since well before those dates. The application number 019853 is out of sequence for a 1970 approval (1970-era numbers in the same payload block run 0167xx-0169xx): flagged as an FDA-data numbering anomaly, the date is NOT adjusted.",pre1980_fda_decisions.csv,PRE1980-1970-10 (NDA 019853),confirms the payload date/class/priority live and records the out-of-sequence application-number anomaly on the row,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C05,2026-09-19,FDA Drugs@FDA application-history page (accessdata.fda.gov),NDA019853 Cuprimine - second-surface confirmation of the 1970 original approval,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019853,"The Drugs@FDA website page for NDA 019853 (Company: VALEANT PHARMS INTL) publishes one Original Approval row dated 12/04/1970, ORIG-1, Approval, Type 1 - New Molecular Entity, STANDARD. Two independent FDA surfaces therefore agree on the 1970-12-04 Type 1 date; only the application number is anomalous.",pre1980_fda_decisions.csv,PRE1980-1970-10 (NDA 019853),"second-surface confirmation; the numbering anomaly is flagged, the date is published as FDA carries it",data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C06,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),Amikacin (Amikin) NDA050495 - gap-candidate probe for the 1976 shortfall,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050495%22&limit=1,"meta.results.total = 1: the application IS in openFDA (sponsor APOTHECON, two AMIKIN amikacin sulfate injectable products, both Discontinued, both reference drugs) but the record has NO submissions array at all. An application with no submissions can never satisfy submissions.submission_type:ORIG AND submissions.submission_status:AP, which is exactly why amikacin is absent from every committed 1965-1979 ORIG/AP payload despite NCATS Inxight recording it as first approved in 1976.",pre1980_fda_decisions.csv,GAP-1976-01 (data/missing_nme_candidates.csv),"names the 1976 gap candidate and proves the invisibility mechanism; the row is NOT added to the decision table because FDA publishes no approval date, class or priority for it",data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C07,2026-09-19,FDA Drugs@FDA application-history page (accessdata.fda.gov),Amikacin (Amikin) NDA050495 - website page has no approval-history section,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050495,"The Drugs@FDA website page for NDA 050495 (Company: APOTHECON) renders only the products table (two AMIKIN amikacin sulfate injectable rows) and then ends with 'Back to Top'. There is no 'Approval Date(s) and History, Letters, Labels, Reviews for NDA 050495' section at all - the same absence the API shows, on a second FDA surface.",pre1980_fda_decisions.csv,GAP-1976-01 (data/missing_nme_candidates.csv),second-surface confirmation that no approval history is published for the candidate,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C08,2026-09-19,"FDA History - Summary of NDA Approvals & Receipts, 1938 to the present (fda.gov)","Official 1965-1979 NME / NDA-approval counts re-read live, plus the NME definition",https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,"The official table was re-read live and every 1965-1979 pair equals data/fda_official_year_series.csv: 1965 53/18, 1966 40/10, 1967 189/16, 1968 59/14, 1969 38/5, 1970 51/15, 1971 26/12, 1972 57/10, 1973 50/14, 1974 85/21, 1975 71/20, 1976 72/22, 1977 63/25, 1978 86/17, 1979 94/14 (NDAs approved / new molecular entities). The page also states the NME definition verbatim, which is why a contemporaneous NME statistic and an application-level TYPE 1 enumeration can legitimately differ.",pre1980_fda_decisions.csv,pre1980_year_audit.csv (all 15 year rows); pre1980_era_analysis.csv (official_fda_nme_count),re-verifies the official denominators behind every verdict in the pre-1980 block and pins the NME definition used in the methodology,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C09,2026-09-19,FDA Drugs@FDA application-history page (accessdata.fda.gov),NDA012715 Gantanol-DS (sulfamethoxazole) - 1965 Type 1 row,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012715,"One Original Approval row: 08/25/1965, ORIG-1, Approval, Type 1 - New Molecular Entity, STANDARD (Company: ROCHE). Products: GANTANOL 500MG tablet and GANTANOL-DS 1GM tablet, both oral, both Discontinued.",pre1980_fda_decisions.csv,PRE1980-1965-07 (NDA 012715),live confirmation of the 1965 Type 1 row and of the ingredient that triggers the adjudicated class/date inversion,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C10,2026-09-19,FDA Drugs@FDA application-history page (accessdata.fda.gov),NDA013664 Gantanol suspension - the earlier same-ingredient Type 5 sibling,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=013664,"One Original Approval row: 07/01/1965, ORIG-1, Approval, Type 5 - New Formulation or New Manufacturer, STANDARD (Company: ROCHE), single product GANTANOL sulfamethoxazole 500MG/5ML oral suspension. This is 55 days BEFORE the Type 1 tablet approval, so the sulfamethoxazole first-appearance hit on NDA012715 is a genuine FDA-data class/date inversion, not a transcription error; the molecule counts once via the Type 1 row.",pre1980_fda_decisions.csv,PRE1980-1965-07 (NDA 012715),adjudicates the 1965 sulfamethoxazole first-appearance exception with a second FDA surface,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
V21-C11,2026-09-19,openFDA Drugs@FDA API (api.fda.gov),NDA017690 Imodium - same-day Type 5 twin of the 1976 Type 1 row,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017690%22&limit=1,"meta.results.total = 1. NDA017690 (holder J AND J CONSUMER INC) publishes ORIG-1/AP/19761228/STANDARD/TYPE 5 with the IDENTICAL product string as the Type 1 row NDA017694 (IMODIUM, LOPERAMIDE HYDROCHLORIDE 2MG, CAPSULE, ORAL, Discontinued) - two applications, one product, one date. FDA's 2016 labeling letter for SUPPL-5 is filed as '017690Orig1s005,017694Orig1s052ltr.pdf', covering both applications, which confirms they are a linked pair. Loperamide therefore counts once, via the Type 1 row.",pre1980_fda_decisions.csv,PRE1980-1976-21 (NDA 017694),adjudicates the 1976 loperamide first-appearance exception as a documented duplicate-product condition,data/raw/source_captures_2026_09_19/live_primary_captures_v21_2026_09_19.json
