company_name,ticker,exchange,us_investable_class,phase3_trials_tracked_2026_2027,phase3_active_or_recruiting,phase3_completed,phase3_paused_or_terminated,deep_dive_pipeline_programs,advanced_to_next_phase_count,paused_or_clinical_hold_count,clinical_progression_rate_pct,novel_nme_approvals,original_non_nme_approvals,label_expansions_approved,crl_rejections_tracked,total_fda_decisions_tracked,fda_approval_rate_pct,composite_clinical_score_0_100,success_grade,source_url_1,source_url_2,verification_status,notes
The Medicines Company (acquired by Chiesi Farmaceutici 2019),MDCO,NASDAQ (delisted 2020),US-LISTED,0,0,0,0,5,0,0,,5,0,0,0,5,100.0,75.0,B,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 5 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"Neurocrine Biosciences, Inc.",NBIX,NASDAQ,US-LISTED,1,1,0,0,3,0,0,,3,2,2,0,3,100.0,74.6,B,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 2 label expansion(s)"
"Rhythm Pharmaceuticals, Inc.",RYTM,NASDAQ,US-LISTED,1,1,0,0,1,0,0,,1,0,3,0,1,100.0,74.4,B,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 3 label expansion(s)"
Ligand Pharmaceuticals / Pelthos Therapeutics,LGND,NASDAQ,US-LISTED,0,0,0,0,4,0,0,,4,1,0,0,4,100.0,73.6,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217424s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s)"
Celgene Corporation (acquired by Bristol Myers Squibb 2019),CELG,NASDAQ (delisted 2019),US-LISTED,0,0,0,0,4,0,0,,4,0,0,0,4,100.0,73.4,B,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
GE Healthcare (General Electric),GE,NYSE,US-LISTED,0,0,0,0,4,0,0,,4,1,0,0,4,100.0,73.4,B,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm370175.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s)"
Bristol Myers Squibb Company (via Celgene),BMY,NYSE,US-LISTED,8,6,2,0,42,19,4,82.6,24,20,212,1,25,96.0,73.1,B,https://www.bms.com/researchers-and-partners/in-the-pipeline.html,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,Verified - Deep-Dive Pipeline & FDA Record,"8 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (6 active, 2 completed) | Pipeline progression: 19 advanced, 4 paused/on hold | FDA outcomes: 24 novel approval(s), 1 CRL(s) [approval rate 96.0%] | 20 original non-NME approval(s) | 212 label expansion(s)"
Bayer AG (with Orion),BAYRY,OTC ADR; primary XETRA:BAYN,US-LISTED (ADR),3,2,0,1,16,0,0,,16,30,93,1,17,94.1,72.9,B,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://clinicaltrials.gov/study/NCT05196035,Verified - Phase 3 Registry + FDA Outcomes,"3 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (2 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 16 novel approval(s), 1 CRL(s) [approval rate 94.1%] | 30 original non-NME approval(s) | 93 label expansion(s)"
"Alnylam Pharmaceuticals, Inc.",ALNY,NASDAQ,US-LISTED,0,0,0,0,18,6,1,85.7,4,0,3,0,4,100.0,72.9,B,https://www.sec.gov/Archives/edgar/data/1178670/000162828026028601/alny2026q1earningsrelease.htm,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=210922,Verified - Deep-Dive Pipeline & FDA Record,"Pipeline progression: 6 advanced, 1 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 3 label expansion(s)"
"Tesaro, Inc. (acquired by GSK 2018)",TSRO,NASDAQ (delisted 2019),US-LISTED,1,1,0,0,2,0,0,,2,0,0,0,2,100.0,72.0,B,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Acadia Pharmaceuticals,ACAD,NASDAQ,US-LISTED,0,0,0,0,2,0,0,,2,2,7,0,2,100.0,72.0,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217026s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 7 label expansion(s)"
Advanced Accelerator Applications (AAA; acquired by Novartis 2018),AAAP,NASDAQ (delisted 2018),US-LISTED,0,0,0,0,2,0,0,,2,0,4,0,2,100.0,72.0,B,https://web.archive.org/web/20230528041251/https://cacmap.fda.gov/drugs/new-drugs-fda-cders-new-molecular-entities-and-new-therapeutic-biological-products/novel-drug-approvals-2018,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 4 label expansion(s)"
Agios Pharmaceuticals,AGIO,NASDAQ,US-LISTED,0,0,0,0,2,0,0,,2,0,1,0,2,100.0,72.0,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216196s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 label expansion(s)"
"Blueprint Medicines Corporation (acquired by Sanofi, 2025)",BPMC,"formerly NASDAQ:BPMC, delisted 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,1,3,0,2,100.0,72.0,B,http://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=213721,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s) | 3 label expansion(s)"
Chiesi Farmaceutici (applicant; private) with Protalix BioTherapeutics (developer),PLX,NYSE American (Protalix proxy),US-LISTED,0,0,0,0,2,0,0,,2,0,0,0,2,100.0,72.0,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761161s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Mylan (Viatris 2020; Theravance Biopharma developer),MYL,NYSE,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,0,0,0,2,100.0,72.0,B,https://www.fda.gov/media/133911/download,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
"SpringWorks Therapeutics (at approval; later acquired by Merck KGaA, closed Jul 2025)",SWTX,"formerly NASDAQ:SWTX, delisted Jul 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,2,0,0,,2,1,0,0,2,100.0,72.0,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219379Orig1s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 2 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s)"
Incyte Corporation,INCY,NASDAQ,US-LISTED,3,3,0,0,30,8,2,80.0,4,2,15,0,4,100.0,71.6,B,https://investor.incyte.com/news-releases/news-release-details/incyte-reports-first-quarter-2026-financial-results-and-provides,https://web.archive.org/web/20190207172014/http://wayback.archive-it.org/7993/20170112022004/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm285489.htm,Verified - Deep-Dive Pipeline & FDA Record,"3 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (3 active, 0 completed) | Pipeline progression: 8 advanced, 2 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 2 original non-NME approval(s) | 15 label expansion(s)"
Merck & Co.,MRK,NYSE,US-LISTED,18,15,2,1,36,16,2,88.9,27,25,266,1,28,96.4,70.7,B,https://www.merck.com/research/pipeline/,https://www.merck.com/research/pipeline/,Verified - Deep-Dive Pipeline & FDA Record,"18 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (15 active, 2 completed) | Pipeline progression: 16 advanced, 2 paused/on hold | FDA outcomes: 27 novel approval(s), 1 CRL(s) [approval rate 96.4%] | 25 original non-NME approval(s) | 266 label expansion(s)"
UCB,UCB.BR,Euronext Brussels; no US ticker,NON-US LISTING ONLY,6,3,3,0,4,0,0,,4,0,0,0,4,100.0,69.6,B,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://clinicaltrials.gov/study/NCT04225871,Verified - Phase 3 Registry + FDA Outcomes,"6 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (3 active, 3 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Ipsen S.A.,IPN.PA,Euronext Paris; no US ticker,NON-US LISTING ONLY,0,0,0,0,3,0,0,,3,0,0,0,3,100.0,69.5,B,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218860s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Schering-Plough (acquired by Merck 2009),SGP,,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,3,0,0,,3,0,0,0,3,100.0,69.5,B,https://web.archive.org/web/20090709174614/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081673.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Biogen Inc.,BIIB,NASDAQ,US-LISTED,7,5,1,1,20,7,4,63.6,8,2,22,1,9,88.9,68.9,B,https://www.biogen.com/pipeline,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,Verified - Deep-Dive Pipeline & FDA Record,"7 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (5 active, 1 completed) | Pipeline progression: 7 advanced, 4 paused/on hold | FDA outcomes: 8 novel approval(s), 1 CRL(s) [approval rate 88.9%] | 2 original non-NME approval(s) | 22 label expansion(s)"
TAP Pharmaceutical Products (Takeda/Abbott JV),4502,TSE,NON-US LISTING ONLY,0,0,0,0,5,0,0,,5,0,0,0,5,100.0,66.9,B,https://web.archive.org/web/20140327204457/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm381263.htm,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 5 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Astellas Pharma Inc.,ALPMY,OTC ADR; primary TSE:4503,US-LISTED (ADR),0,0,0,0,4,0,0,,4,5,44,0,4,100.0,66.7,B,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 4 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 5 original non-NME approval(s) | 44 label expansion(s)"
"Gilead Sciences, Inc.",GILD,NASDAQ,US-LISTED,3,1,1,1,32,12,3,80.0,16,17,118,2,18,88.9,66.0,B,https://www.gilead.com/science-and-medicine/pipeline,https://web.archive.org/web/20090709174616/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081684.htm,Verified - Deep-Dive Pipeline & FDA Record,"3 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 1 completed) | Pipeline progression: 12 advanced, 3 paused/on hold | FDA outcomes: 16 novel approval(s), 2 CRL(s) [approval rate 88.9%] | 17 original non-NME approval(s) | 118 label expansion(s)"
"BridgeBio Pharma, Inc.",BBIO,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,0,0,1,100.0,65.0,C,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Ascendis Pharma A/S,ASND,NASDAQ,US-LISTED,1,1,0,0,3,0,0,,3,0,1,0,3,100.0,64.9,C,https://www.contemporarypediatrics.com/view/fda-issues-historic-approval-for-navepegritide-in-achondroplasia,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 3 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 label expansion(s)"
Zevra Therapeutics,ZVRA,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,1,0,0,1,100.0,64.6,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/214927s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s)"
"Exelixis, Inc.",EXEL,NASDAQ,US-LISTED,1,1,0,0,1,0,0,,1,1,8,0,1,100.0,64.5,C,https://web.archive.org/web/20161022052126/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336117.htm,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 original non-NME approval(s) | 8 label expansion(s)"
Guerbet SA,GBT.PA,Euronext Paris; no US ticker,NON-US LISTING ONLY,1,1,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/216986s000lbl.pdf,https://open.fda.gov,Verified - Phase 3 Registry + FDA Outcomes,"1 Phase 3 study(ies) completing 2026-2027 in CT.gov registry (1 active, 0 completed) | Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Acorda Therapeutics (acquired by Merck 2024),ACOR,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Allos Therapeutics (acquired by Spectrum 2012),ALTH,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20160514110748if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/UCM091096.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Astellas Pharma (current holder) / IVERIC bio (applicant at approval),ISEE,"formerly NASDAQ:ISEE, delisted Jul 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217225s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Aurinia Pharmaceuticals,AUPH,NASDAQ,US-LISTED,0,0,0,0,1,0,0,,1,0,1,0,1,100.0,64.5,C,https://www.fda.gov/drugs,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%] | 1 label expansion(s)"
Auxilium Pharmaceuticals (acquired by Endo 2015),AUXL,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
Biogen (current holder) / Reata Pharmaceuticals (applicant at approval),RETA,"formerly NASDAQ:RETA, delisted Sep 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),0,0,0,0,1,0,0,,1,0,0,0,1,100.0,64.5,C,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216718Orig1s000lbl.pdf,https://open.fda.gov,Verified - FDA Regulatory Record,"Pipeline progression: 0 advanced, 0 paused/on hold | FDA outcomes: 1 novel approval(s), 0 CRL(s) [approval rate 100.0%]"
