year,official_source_url,source_type,coverage_status,notes
2011,https://web.archive.org/web/20120119181217/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm285554.htm,FDA Drug Innovation NME Approvals 2011 (Wayback capture of ucm285554),Imported - 30 of 30 rows in master (19 pre-existing + 11 gap),"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2012,https://web.archive.org/web/20130217050942/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm336115.htm,FDA Drug Innovation NME Approvals 2012 (Wayback capture of ucm336115),Imported - 39 of 39 rows in master (17 pre-existing + 22 gap),"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2013,https://web.archive.org/web/20140327204457/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm381263.htm,FDA Drug Innovation NME Approvals 2013 (Wayback capture of ucm381263),Imported - 27 of 27 rows in master (16 pre-existing + 11 gap; FDA removed Simponi Aria from its own list),"Imported into master this pass (build_backfill_2000_2019.py, 2026-09-12); verbatim staging in data/staging/; per-row source links in master."
2014,https://web.archive.org/web/20150123034253/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm429247.htm,FDA Novel Drug Approvals 2014 (Wayback capture of ucm429247),Complete - 41 of 41 official-table rows in master (Ofev added 2026-09-17; Contrave D634 retained but flagged NOT_ON_FDA_NME_TABLE and excluded from the count),"Verified 2026-09-12 against official counts (2015 Novel Drugs Summary decade table). IRREGULARITY found 2026-09-17: master had counted Contrave (NDA 200063, 2014-09-10, openFDA Type 4 - New Combination) toward the 41 although it is not on FDA's 2014 NME table or in the CDER Compilation, and was missing table row #33 Ofev (nintedanib, NDA 205832, 10/15/2014, Type 1). Ofev added (D1027); D634 relabelled, kept for transparency."
2015,"https://web.archive.org/web/20160402080553/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm474696.htm (summary, names list) + https://web.archive.org/web/20160402080553/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm430302.htm (table)","FDA Novel Drugs Summary 2015 (ucm474696) + Novel Drug Approvals 2015 table (ucm430302), Wayback",Imported - 45 of 45 rows in master (41 pre-existing + 4 gap: Kanuma/Xuriden/Cholbam/Avycaz),Decade table in ucm474696 independently confirms official counts 2006-2015.
2016,https://web.archive.org/web/20190207172630/https://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm483775.htm,FDA Novel Drug Approvals 2016 (Internet Archive capture of FDA.gov table),Complete - 22 of 22 rows in master,Verified 2026-09-12 against official counts. IRREGULARITY FLAG retained: FDA 2016 table prints Defitelio approval date as 3/30/3016 (typo); recorded as 2016-03-30.
2017,https://goldwaterinstitute.org/wp-content/uploads/2018/11/2017-New-Drug-Therapy-Approvals.pdf,FDA 2017 New Drug Therapy Approvals report (mirror) + openFDA drugsfda,Imported - 46 of 46 rows in master (44 pre-existing + benznidazole NDA209570 + Xepi NDA208945),Both new rows verified via openFDA ORIG-1 records 2026-09-12 (benznidazole 2017-08-29 P/O; Xepi 2017-12-11 S).
2018,https://web.archive.org/web/20230528041251/https://cacmap.fda.gov/drugs/new-drugs-fda-cders-new-molecular-entities-and-new-therapeutic-biological-products/novel-drug-approvals-2018,"FDA Novel Drug Approvals for 2018 (cacmap.fda.gov legacy page, Wayback capture)",Imported - 59 of 59 rows in master (47 pre-existing + 12 gap),FDA table prints Firdapse date as 11/28/2028 (typo) and Epidioloex for Epidiolex - flagged in staging.
2019,https://www.fda.gov/media/133911/download,FDA New Drug Therapy Approvals 2019 report,Imported - 48 of 48 rows in master (47 pre-existing + Zulresso NDA211371),"Zulresso verified via openFDA ORIG-1 20190319 Type 1 NME Priority. Zolgensma correctly excluded (CBER-licensed, not in CDER 48)."
2020,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (53 of 53 NMEs),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2021,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (50 of 50 NMEs),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2022,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (37 rows),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2023,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (55 rows),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2024,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (50 of 50 NMEs),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2025,https://www.fda.gov/drugs/development-approval-process-drugs/novel-drug-approvals-fda,FDA Novel Drug Approvals landing page,Published in master list (46 of 46 NMEs),Use Drugs@FDA application records and FDA approval letters for line-by-line reconstruction; no row is inferred from the landing page.
2026,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,"FDA Novel Drug Approvals for 2026 (live official table, verified 2026-09-12)","Complete - 40 of 40 rows in master (matches live FDA table 2026-09-17, ""Showing 1 to 40 of 40"")","Verified line-by-line vs live FDA table 2026-09-12. Two date corrections applied: Zycubo 2026-01-12 (was letter date 01-13; openFDA ORIG-1 NDA211241 submission_status_date=20260112) and Adquey 2026-02-12 (was 02-13; NDA219474). Zycubo sponsor corrected to Sentynl Therapeutics (Zydus Lifesciences, NSE:ZYDUSLIFE); Fortress Biotech/Cyprium (FBIO) transferred the asset Dec-2023 and retain only royalties/PRV - flagged. 2026 remains a partial year (YTD through 9/11). 2026-09-17 update: row #40 Pixclara (floretyrosine F 18, NDA 218592, Telix, 9/11/2026) added as D1028; Cypsedo (D099) decision_date corrected 05-31 -> 05-29 per the FDA table and openFDA NDA220482 ORIG-1 AP 20260529."
