row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1980AUDIT-1965-11,1965,NDA006530,NDA,1965-06-05,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),PHARMOBEDIENT,AVC,SULFANILAMIDE 15% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CREAM; VAGINAL,2,Discontinued,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=006530,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA006530%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-12,1965,NDA016059,NDA,1965-06-10,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),ZYLA LIFE SCIENCES,Indocin,INDOMETHACIN 25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE; ORAL,2,Discontinued,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-05,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016059,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016059%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-13,1965,NDA014217,NDA,1965-06-14,TYPE 2,Type 2 - New Active Ingredient,STANDARD,FALSE,Type 2 - New Active Ingredient,PAMLAB LLC,MAOLATE,CHLORPHENESIN CARBAMATE 400MG,TABLET; ORAL,1,Discontinued,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014217,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014217%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-14,1965,NDA010210,NDA,1965-06-23,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,Type 4 - New Combination,SCHERING,METIMYD,PREDNISOLONE ACETATE 0.5%; SULFACETAMIDE SODIUM 10%,SUSPENSION/DROPS; OPHTHALMIC,2,Discontinued,2 ingredients first seen earlier (earliest 1955-05-22 on NDA010255),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=010210,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA010210%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-15,1965,NDA014879,NDA,1965-06-23,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),HIKMA,Dopram,DOXAPRAM HYDROCHLORIDE 20MG/ML,INJECTABLE; INJECTION,1,Prescription,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-06,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014879,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014879%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-16,1965,NDA016030,NDA,1965-06-25,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,BAYER,MEASURIN,ASPIRIN 650MG,"TABLET, EXTENDED RELEASE; ORAL",2,Discontinued,ASPIRIN first 1950-04-12 on NDA007337,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016030,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016030%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-17,1965,NDA013664,NDA,1965-07-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,ROCHE,GANTANOL,SULFAMETHOXAZOLE 500MG/5ML,SUSPENSION; ORAL,1,Discontinued,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=013664,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013664%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-18,1965,NDA061015,NDA,1965-07-08,,,,FALSE,NOT PUBLISHED (blank class),CASPER PHARMA LLC,TERRAMYCIN W/ POLYMYXIN B SULFATE,"OXYTETRACYCLINE HYDROCHLORIDE EQ 5MG BASE/GM; POLYMYXIN B SULFATE 10,000 UNITS/GM",OINTMENT; OPHTHALMIC,1,Discontinued,2 ingredients first seen earlier (earliest 1964-09-08 on NDA050286),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=061015,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA061015%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-19,1965,NDA016001,NDA,1965-08-17,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,SOLVAY,AQUATAG,BENZTHIAZIDE 50MG,TABLET; ORAL,2,Discontinued,BENZTHIAZIDE first 1960-10-14 on NDA012489,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016001,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016001%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-20,1965,NDA014715,NDA,1965-08-23,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,Type 4 - New Combination,NEW RIVER,TRIAVIL 4-25,AMITRIPTYLINE HYDROCHLORIDE 25MG; PERPHENAZINE 4MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,5,Discontinued,2 ingredients first seen earlier (earliest 1961-04-07 on NDA012703),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014715,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014715%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-21,1965,NDA012715,NDA,1965-08-25,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),ROCHE,Gantanol-DS,SULFAMETHOXAZOLE 1GM,TABLET; ORAL,2,Discontinued,SULFAMETHOXAZOLE first 1965-07-01 on NDA013664,adjudicated earlier appearance (combination component or same-ingredient sibling application); see the decision row notes,PRE1980-1965-07,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012715,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012715%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-22,1965,NDA016080,NDA,1965-10-08,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,B BRAUN,MANNITOL 5% W/ DEXTROSE 5% IN SODIUM CHLORIDE 0.12%,MANNITOL 5GM/100ML,INJECTABLE; INJECTION,7,Discontinued,MANNITOL first 1964-06-08 on NDA013684,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016080,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016080%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-23,1965,NDA050199,NDA,1965-10-11,,,,FALSE,NOT PUBLISHED (blank class),WYETH AYERST,UNIPEN,NAFCILLIN SODIUM EQ 250MG BASE/5ML,FOR SOLUTION; ORAL,1,Discontinued,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050199,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050199%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-24,1965,NDA050313,NDA,1965-10-13,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),APOTHECON,FUNGIZONE,AMPHOTERICIN B 3%,OINTMENT; TOPICAL,1,Discontinued,first-in-payloads (1939-1979 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050313,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050313%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-25,1965,NDA012806,NDA,1965-10-18,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),INA PHARMS,Cordran,FLURANDRENOLIDE 0.05%,OINTMENT; TOPICAL,4,Discontinued,FLURANDRENOLIDE first 1963-03-19 on NDA013790,adjudicated earlier appearance (combination component or same-ingredient sibling application); see the decision row notes,PRE1980-1965-08,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012806,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012806%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-26,1965,NDA014763,NDA,1965-11-18,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),ASTRAZENECA,Citanest Plain,PRILOCAINE HYDROCHLORIDE 4% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,INJECTABLE; INJECTION,5,Discontinued,EPINEPHRINE BITARTRATE first 1956-03-09 on NDA010374,adjudicated earlier appearance (combination component or same-ingredient sibling application); see the decision row notes,PRE1980-1965-09,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=014763,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA014763%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-27,1965,NDA021382,NDA,1965-11-18,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),DENTSPLY PHARM,CITANEST PLAIN DENTAL,PRILOCAINE HYDROCHLORIDE 4%,INJECTABLE; INJECTION,1,Discontinued,PRILOCAINE HYDROCHLORIDE first 1965-11-18 on NDA014763,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021382,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA021382%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-28,1965,NDA021383,NDA,1965-11-18,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),DENTSPLY PHARM,CITANEST FORTE DENTAL,EPINEPHRINE BITARTRATE 0.005MG/ML; PRILOCAINE HYDROCHLORIDE 4%,INJECTABLE; INJECTION,1,Prescription,2 ingredients first seen earlier (earliest 1956-03-09 on NDA010374),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021383,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA021383%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-29,1965,NDA012665,NDA,1965-11-25,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),LILLY,Velban,VINBLASTINE SULFATE 10MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,INJECTABLE; INJECTION,1,Discontinued,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-10,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=012665,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA012665%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-30,1965,NDA016042,NDA,1965-12-02,TYPE 4,Type 4 - New Combination,STANDARD,FALSE,Type 4 - New Combination,GLAXOSMITHKLINE LLC,DYAZIDE,HYDROCHLOROTHIAZIDE 25MG; TRIAMTERENE 50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CAPSULE; ORAL,2,Discontinued,2 ingredients first seen earlier (earliest 1959-02-12 on NDA011793),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),NOT_PROBED_NON_NME_ROW,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=016042,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA016042%22,Payload-verified; no per-row live probe issued for non-NME rows (cross-checked against the full Drugs@FDA database instead),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1965-31,1965,NDA013025,NDA,1965-12-16,TYPE 1/4,Type 1 - New Molecular Entity and Type 4 - New Combination,PRIORITY,TRUE,NME + new combination (Type 1/4),HOSPIRA,THAM,TROMETHAMINE 18GM/500ML (3.6GM/100ML),SOLUTION; INJECTION,2,Prescription,first-in-payloads (1939-1979 universe),first appearance in the 1939-1979 payload universe,PRE1980-1965-11,MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=013025,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA013025%22,Verified (live probe match),"Row of the complete 1965-1976 original-application audit (v21): every ORIG/AP row of the committed SHA-verified payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
