company_name,ticker,exchange,us_investable_class,total_drugs_in_profile,approved_drugs,phase3_programs,phase2_programs,phase1_programs,preclinical_programs,paused_or_hold,advanced_to_next_phase,clinical_progression_rate_pct,fda_approval_rate_pct,total_fda_decisions_tracked,novel_nme_approvals,original_non_nme_approvals,label_expansions,crl_rejections,composite_score_0_100,success_grade,success_rate_pct,source_url_1,source_url_2,verification_status,notes
"Rhythm Pharmaceuticals, Inc.",RYTM,NASDAQ,US-LISTED,1,1,1,,,,0,0,,100.0,1,1,0,3,0,74.4,B,100.0,https://web.archive.org/web/20240517161353/https:/www.fda.gov/drugs/novel-drug-approvals-fda/new-drug-therapy-approvals-2020,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 1 FDA decisions tracked, 1 approvals. Pipeline: 1 total, N/A approved, 1 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Insmed Incorporated,INSM,NASDAQ,US-LISTED,2,3,2,,,,0,0,,100.0,2,2,1,1,0,74.1,B,100.0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/217673s000lbl.pdf,https://clinicaltrials.gov/study/NCT05649748,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 3 FDA decisions tracked, 3 approvals. Pipeline: 2 total, N/A approved, 2 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Aurinia Pharmaceuticals,AUPH,NASDAQ,US-LISTED,1,1,0,,,,0,0,,100.0,1,1,0,1,0,73.6,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 1 FDA decisions tracked, 1 approvals. Pipeline: 1 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
BioMarin Pharmaceutical Inc.,BMRN,NASDAQ,US-LISTED,22,8,0,,,2,4,5,55.6,100.0,7,7,1,14,0,72.9,B,36.36363636363637,https://www.biomarin.com/news/press-releases/biomarin-holds-investor-day-provides-new-corporate-strategy-and-introduces-2027-financial-guidance-2-2/,https://web.archive.org/web/20090709174606/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081676.htm,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 8 FDA decisions tracked, 8 approvals. Pipeline: 22 total, 8 approved, 0 Phase3, 4 paused/hold, 5 advanced. Success rate 36.36363636363637%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Merck & Co.,MRK,NYSE,US-LISTED,36,22,18,,,0,2,16,88.9,97.9,48,47,58,266,1,72.8,B,61.111111111111114,https://www.merck.com/research/pipeline/,https://www.merck.com/research/pipeline/,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 105 FDA decisions tracked, 105 approvals. Pipeline: 36 total, 22 approved, 18 Phase3, 2 paused/hold, 16 advanced. Success rate 61.111111111111114%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Celgene Corporation (acquired by Bristol Myers Squibb 2019),CELG,NASDAQ (delisted 2019),FORMERLY US-LISTED (DELISTED/ACQUIRED),4,5,0,,,,0,0,,100.0,5,5,0,0,0,72.7,B,100.0,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 4 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
"SpringWorks Therapeutics (at approval; later acquired by Merck KGaA, closed Jul 2025)",SWTX,"formerly NASDAQ:SWTX, delisted Jul 2025",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,3,0,,,,0,0,,100.0,2,2,1,0,0,72.0,B,100.0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219379Orig1s000lbl.pdf,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 3 FDA decisions tracked, 3 approvals. Pipeline: 2 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Advanced Accelerator Applications (AAA; acquired by Novartis 2018),AAAP,NASDAQ (delisted 2018),US-LISTED,2,2,0,,,,0,0,,100.0,2,2,0,4,0,72.0,B,100.0,https://web.archive.org/web/20230528041251/https://cacmap.fda.gov/drugs/new-drugs-fda-cders-new-molecular-entities-and-new-therapeutic-biological-products/novel-drug-approvals-2018,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: 2 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
QLT Inc. (delisted 2012),QLTI,NASDAQ,FORMERLY US-LISTED (DELISTED/ACQUIRED),1,2,0,,,,0,0,,100.0,2,2,0,0,0,72.0,B,100.0,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: 1 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Diatide Inc. (acquired by Schering AG,DITI,"formerly NASDAQ:DITI, acquired by Schering Berlin/Berlex Nov-1999",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,,,,,,,100.0,2,2,0,0,0,72.0,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Genentech,GNE,"formerly NYSE:GNE (special common, 1994-Jun-1999); re-IPO as NYSE:DNA Jul-1999; Roche full buyout Mar-2009",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,,,,,,,100.0,2,2,0,0,0,72.0,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Immunex,IMNX,"formerly NASDAQ:IMNX, delisted Jul-2002 into Amgen",FORMERLY US-LISTED (DELISTED/ACQUIRED),2,2,0,,,,,,,100.0,2,2,0,0,0,72.0,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
The Medicines Company (acquired by Chiesi Farmaceutici 2019),MDCO,NASDAQ (delisted 2020),US-LISTED,5,5,0,,,,0,0,,100.0,5,5,0,0,0,70.4,B,100.0,https://web.archive.org/web/20240430031316/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2017,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 5 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Serono (acquired by Merck KGaA 2007),MKGAF,,NON-US LISTING ONLY,2,5,0,,,,0,0,,100.0,5,5,0,0,0,70.4,B,100.0,https://web.archive.org/web/20090709174612/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081677.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 2 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Forest Laboratories (Actavis/Allergan lineage),FRX,"formerly NYSE:FRX, delisted Jul-2014 into Actavis",FORMERLY US-LISTED (DELISTED/ACQUIRED),3,5,0,,,,0,0,,100.0,5,5,0,0,0,70.4,B,100.0,"https://web.archive.org/web/20160402080553/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm474696.htm (summary, names list) + https://web.archive.org/web/20160402080553/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/DrugInnovation/ucm430302.htm (table)",https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 3 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Eisai Co. (Japan),4523,TSE,NON-US LISTING ONLY,4,5,0,,,,0,0,,100.0,5,5,0,0,0,70.4,B,100.0,https://web.archive.org/web/20110614054533if_/http://www.fda.gov/downloads/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/UCM242677.pdf,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 4 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Novartis AG,NVS,NYSE (ADR),US-LISTED (ADR),48,32,17,,,0,3,24,88.9,97.6,41,40,70,224,1,70.2,B,66.66666666666666,https://www.novartis.com/research-development/novartis-pipeline,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 110 FDA decisions tracked, 110 approvals. Pipeline: 48 total, 32 approved, 17 Phase3, 3 paused/hold, 24 advanced. Success rate 66.66666666666666%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
"Neurocrine Biosciences, Inc.",NBIX,NASDAQ,US-LISTED,3,5,1,,,,0,0,,100.0,3,3,2,2,0,70.0,B,100.0,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 3 total, N/A approved, 1 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
SIGA Technologies Inc.,SIGA,NASDAQ,US-LISTED,1,2,0,,,,0,0,,100.0,1,1,1,2,0,70.0,B,100.0,https://web.archive.org/web/20240420232222/https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2018,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: 1 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
UCB,UCB.BR,Euronext Brussels; no US ticker,NON-US LISTING ONLY,4,4,6,,,,0,0,,100.0,4,4,0,0,0,69.6,B,100.0,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://clinicaltrials.gov/study/NCT04225871,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: 4 total, N/A approved, 6 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
G.D. Searle,MTC,"formerly NYSE:MTC (Monsanto Company, Searle's parent); merged into Pharmacia Corp Apr-2000; Pfizer 2003",FORMERLY US-LISTED (DELISTED/ACQUIRED),4,4,0,,,,,,,100.0,4,4,0,0,0,69.6,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Parke-Davis,WLA,"NYSE at decision date - Warner-Lambert Co. principal market (FY1997 10-K Item 5, filed 1998-03-24: 'The principal market on which the Company's stock is traded is the New York Stock Exchange, but the stock is also listed and traded on the following domestic and international stock exchanges: Chicago, Pacific, London and Zurich.'); symbol WLA per Warner-Lambert DEFA14A 1999-12-22 (acc 0000950172-99-001807): 'Warner-Lambert Company (NYSE: WLA) announced today...'; no symbol stated in the FY1997/FY1998 10-Ks or 1998/1999 proxies (negative finding, re-confirmed 2026-09-18)",FORMERLY US-LISTED (DELISTED/ACQUIRED),4,4,0,,,,,,,100.0,4,4,0,0,0,69.6,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Astellas Pharma Inc.,ALPMY,OTC ADR; primary TSE:4503,US-LISTED (ADR),4,14,0,,,,0,0,,100.0,4,4,10,44,0,69.5,B,100.0,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2024,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 14 FDA decisions tracked, 14 approvals. Pipeline: 4 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Seagen Inc. (acquired by Pfizer),SGEN,"formerly NASDAQ:SGEN, delisted Dec 2023",FORMERLY US-LISTED (DELISTED/ACQUIRED),3,4,0,,,,0,0,,100.0,3,3,1,8,0,69.5,B,100.0,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2021,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 4 FDA decisions tracked, 4 approvals. Pipeline: 3 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Ipsen S.A.,IPN.PA,Euronext Paris; no US ticker,NON-US LISTING ONLY,3,3,0,,,,0,0,,100.0,3,3,0,0,0,69.5,B,100.0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/218860s000lbl.pdf,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 3 FDA decisions tracked, 3 approvals. Pipeline: 3 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Centocor,CNTO,"formerly NASDAQ:CNTO, delisted Oct-1999 into Johnson & Johnson",FORMERLY US-LISTED (DELISTED/ACQUIRED),3,3,0,,,,,,,100.0,3,3,0,0,0,69.5,B,100.0,https://www.fda.gov/drugs,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 3 FDA decisions tracked, 3 approvals. Pipeline: N/A total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Halozyme Therapeutics,HALO,NASDAQ,US-LISTED,1,2,0,,,,0,0,,100.0,1,1,1,0,0,69.4,B,100.0,https://web.archive.org/web/20090709174606/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081676.htm,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 2 FDA decisions tracked, 2 approvals. Pipeline: 1 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Ligand Pharmaceuticals / Pelthos Therapeutics,LGND,NASDAQ,US-LISTED,4,5,0,,,,0,0,,100.0,4,4,1,0,0,68.8,B,100.0,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/217424s000lbl.pdf,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 5 FDA decisions tracked, 5 approvals. Pipeline: 4 total, N/A approved, 0 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
Ascendis Pharma A/S,ASND,NASDAQ,US-LISTED,3,3,1,,,,0,0,,100.0,3,3,0,1,0,67.7,B,100.0,https://www.contemporarypediatrics.com/view/fda-issues-historic-approval-for-navepegritide-in-achondroplasia,https://open.fda.gov,"Verified - derived from committed FDA decision tables, no estimation","Detailed scorecard: 3 FDA decisions tracked, 3 approvals. Pipeline: 3 total, N/A approved, 1 Phase3, 0 paused/hold, 0 advanced. Success rate 100.0%. Derived from data/fda_decisions_master.csv, pipeline_tracker.csv, company_clinical_trial_scorecard.csv - blank beats guessed where pipeline not deep-dived."
