letter_year,cohort_maturity,published_crl_letters,fda_field_approved_letters,fda_field_approved_pct,letters_with_later_original_action_observed,observed_later_original_action_pct,observed_original_pct_wilson_lower_95,letters_with_any_later_action_observed,observed_any_action_pct,median_days_to_first_later_original_action,conflict_rows,coverage_note
2015,ALL_LETTERS_IN_YEAR,9,9,100.0,9,100.0,70.1,9,100.0,1187,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2016,ALL_LETTERS_IN_YEAR,20,20,100.0,20,100.0,83.9,20,100.0,1120,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2017,ALL_LETTERS_IN_YEAR,25,25,100.0,25,100.0,86.7,25,100.0,662,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2018,ALL_LETTERS_IN_YEAR,33,33,100.0,32,97.0,84.7,32,97.0,638,1,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2019,ALL_LETTERS_IN_YEAR,38,37,97.4,36,94.7,82.7,36,94.7,499,1,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2020,ALL_LETTERS_IN_YEAR,35,35,100.0,35,100.0,90.1,35,100.0,524,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2021,ALL_LETTERS_IN_YEAR,48,48,100.0,47,97.9,89.1,47,97.9,513,1,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2022,ALL_LETTERS_IN_YEAR,25,25,100.0,24,96.0,80.5,24,96.0,415,1,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2023,ALL_LETTERS_IN_YEAR,30,29,96.7,26,86.7,70.3,27,90.0,343,3,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2024,ALL_LETTERS_IN_YEAR,69,14,20.3,24,34.8,24.6,26,37.7,379,16,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2025,ALL_LETTERS_IN_YEAR,59,0,0.0,16,27.1,17.4,17,28.8,240,16,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
2026,ALL_LETTERS_IN_YEAR,33,0,0.0,0,0.0,0.0,0,0.0,,0,"Denominator = CRL letters FDA itself publishes in the openFDA CRL transparency dataset for this year (FDA's published subset, not a census). Headline numerator = letters whose application number shows a later ORIGINAL approval action (submission_type ORIG, status AP) in the committed payloads - the closest public analogue of a successful resubmission. The 'any action' column also counts approved supplements on the same application, which need not relate to the letter, and is therefore an upper bound."
ALL,ALL_PUBLISHED_LETTERS_2002_2026,458,309,67.5,327,71.4,67.1,331,72.3,523,40,"All published letters 2002-2026. FDA's CRL dataset is its published subset, not a census of every CRL FDA issued, and it is the denominator here. The observed figure is a lower bound on conversion: payload coverage is partial and one letter publishes no application number, so it cannot be matched at all. This all-years figure is diluted by recent letters whose resubmissions are still in review; see the ALL_MATURE_2Y and ALL_MATURE_3Y rows for the maturity-restricted cohorts."
ALL_MATURE_2Y,LETTER_DATE_ON_OR_BEFORE_2024-08-13 (at least 2y before dataset last_updated),342,302,88.3,301,88.0,84.1,303,88.6,579,19,"FDA's CRL dataset is its published subset, not a census of every CRL FDA issued, and it is the denominator here. Maturity cohort, not a calendar year: letters dated on or before 2024-08-13, i.e. at least 2 years before the CRL dataset's own last_updated date (2026-08-13). Letters younger than that still have resubmissions in review, so their observed rate is a lower bound by construction and must not be read as a failure rate."
ALL_MATURE_3Y,LETTER_DATE_ON_OR_BEFORE_2023-08-14 (at least 3y before dataset last_updated),290,289,99.7,282,97.2,94.7,282,97.2,606,7,"FDA's CRL dataset is its published subset, not a census of every CRL FDA issued, and it is the denominator here. Maturity cohort, not a calendar year: letters dated on or before 2023-08-14, i.e. at least 3 years before the CRL dataset's own last_updated date (2026-08-13). Letters younger than that still have resubmissions in review, so their observed rate is a lower bound by construction and must not be read as a failure rate."
