row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1980AUDIT-1977-11,1977,NDA017799,NDA,1977-04-12,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,OTSUKA ICU MEDCL,DEXTROSE 5% AND SODIUM CHLORIDE 0.3% IN PLASTIC CONTAINER,DEXTROSE 5GM/100ML; SODIUM CHLORIDE 300MG/100ML,INJECTABLE; INJECTION,1,Prescription,2 ingredients first seen earlier (earliest 1970-12-08 on NDA016689),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017799,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017799%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-12,1977,NDA017830,NDA,1977-04-25,TYPE 3,Type 3 - New Dosage Form,PRIORITY,FALSE,Type 3 - New Dosage Form,ATON,LODOSYN,CARBIDOPA 25MG,TABLET; ORAL,1,Prescription,CARBIDOPA first 1975-05-02 on NDA017555,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017830,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017830%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-13,1977,NDA017823,NDA,1977-05-04,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SUN PHARM INDS INC,HALOG,HALCINONIDE 0.1%,SOLUTION; TOPICAL,1,Prescription,HALCINONIDE first 1974-11-27 on NDA017556,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017823,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017823%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-14,1977,NDA017956,NDA,1977-05-25,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,3M,TEPANIL TEN-TAB,DIETHYLPROPION HYDROCHLORIDE 75MG,"TABLET, EXTENDED RELEASE; ORAL",1,Discontinued,DIETHYLPROPION HYDROCHLORIDE first 1975-03-20 on NDA017668,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017956,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017956%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-15,1977,NDA017710,NDA,1977-06-09,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,DISTA,NALFON,FENOPROFEN CALCIUM EQ 600MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,1,Discontinued,FENOPROFEN CALCIUM first 1976-03-16 on NDA017604,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017710,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017710%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-16,1977,NDA017818,NDA,1977-06-15,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,WESTWOOD SQUIBB,HALOG,HALCINONIDE 0.025%,CREAM; TOPICAL,1,Discontinued,HALCINONIDE first 1974-11-27 on NDA017556,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017818,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017818%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-17,1977,NDA017824,NDA,1977-06-15,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SUN PHARM INDS INC,HALOG,HALCINONIDE 0.1%,OINTMENT; TOPICAL,1,Discontinued,HALCINONIDE first 1974-11-27 on NDA017556,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017824,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017824%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-18,1977,NDA017919,NDA,1977-06-23,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,JANSSEN PHARMS,ORTHO-NOVUM 1/35-28,ETHINYL ESTRADIOL 0.035MG; NORETHINDRONE 1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL-28,1,Discontinued,2 ingredients first seen earlier (earliest 1968-04-16 on NDA016672),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017919,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017919%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-19,1977,NDA017446,NDA,1977-08-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,SANOFI AVENTIS US,PHISO-SCRUB,HEXACHLOROPHENE 3%,SPONGE; TOPICAL,1,Discontinued,HEXACHLOROPHENE first 1974-09-18 on NDA017411,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017446,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017446%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-20,1977,NDA018012,NDA,1977-08-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,SPECGX LLC,PAMELOR,NORTRIPTYLINE HYDROCHLORIDE EQ 10MG BASE/5ML,SOLUTION; ORAL,1,Discontinued,first-in-payloads,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018012,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018012%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-21,1977,NDA018013,NDA,1977-08-01,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,SPECGX LLC,PAMELOR,NORTRIPTYLINE HYDROCHLORIDE EQ 75MG BASE,CAPSULE; ORAL,4,Discontinued,NORTRIPTYLINE HYDROCHLORIDE first 1977-08-01 on NDA018012,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=018013,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA018013%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-22,1977,NDA017920,NDA,1977-08-16,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),GLAXOSMITHKLINE,Tagamet,CIMETIDINE 400MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,4,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-07,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017920,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017920%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-23,1977,NDA017924,NDA,1977-08-16,TYPE 2,Type 2 - New Active Ingredient,PRIORITY,FALSE,Type 2 - New Active Ingredient,GLAXOSMITHKLINE,TAGAMET,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,SOLUTION; ORAL,1,Discontinued,first-in-payloads,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017924,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017924%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-24,1977,NDA017939,NDA,1977-08-16,TYPE 3,Type 3 - New Dosage Form,PRIORITY,FALSE,Type 3 - New Dosage Form,GLAXOSMITHKLINE,TAGAMET,CIMETIDINE HYDROCHLORIDE EQ 300MG BASE/2ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,INJECTABLE; INJECTION,1,Discontinued,CIMETIDINE HYDROCHLORIDE first 1977-08-16 on NDA017924,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017939,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017939%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-25,1977,NDA017765,NDA,1977-08-22,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),LEGACY,Cloderm,CLOCORTOLONE PIVALATE 0.1%,CREAM; TOPICAL,1,Prescription,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-08,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017765,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017765%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-26,1977,NDA017810,NDA,1977-08-23,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),PFIZER,Prostin E2,DINOPROSTONE 20MG,SUPPOSITORY; VAGINAL,1,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-09,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017810,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017810%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-27,1977,NDA017821,NDA,1977-08-26,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),JANSSEN RES AND DEV,Flexeril,CYCLOBENZAPRINE HYDROCHLORIDE 5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,2,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-10,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017821,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017821%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-28,1977,NDA017447,NDA,1977-09-01,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),PFIZER,Norpace,DISOPYRAMIDE PHOSPHATE EQ 100MG BASE,CAPSULE; ORAL,2,Prescription,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-11,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017447,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017447%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-29,1977,NDA017831,NDA,1977-09-01,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),APIL,Didronel,ETIDRONATE DISODIUM 400MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,2,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-12,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017831,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017831%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-30,1977,NDA017364,NDA,1977-09-07,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,MEDPOINTE PHARM HLC,AQUATENSEN,METHYCLOTHIAZIDE 5MG,TABLET; ORAL,1,Discontinued,first-in-payloads,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017364,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017364%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-31,1977,NDA017741,NDA,1977-09-14,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),PFIZER,Florone,DIFLORASONE DIACETATE 0.05% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,CREAM; TOPICAL,1,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-13,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017741,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017741%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-32,1977,NDA050493,NDA,1977-09-21,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SHIRE,TOPICYCLINE,TETRACYCLINE HYDROCHLORIDE 2.2MG/ML,FOR SOLUTION; TOPICAL,1,Discontinued,first-in-payloads,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050493,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA050493%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-33,1977,NDA017794,NDA,1977-09-30,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),BAUSCH,Ativan,LORAZEPAM 1MG,TABLET; ORAL,3,Prescription,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-14,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017794,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017794%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
PRE1980AUDIT-1977-34,1977,NDA017851,NDA,1977-11-22,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),NOVARTIS,Lioresal,BACLOFEN 20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,2,Discontinued,first-in-payloads,first-in-payloads (1965-1979 screen),PRE1980-1977-15,PROBE_PENDING,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=017851,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA017851%22,Payload-verified (probe layer pending),"Row of the complete 1977-1979 original-application audit (v20): every ORIG/AP row of the committed dual-run payloads; facts verbatim from the payload; no ticker, indication or applicant lineage asserted."
