company_name,ticker,drug_name,recent_clinical_trial_result,fda_decision,fda_decision_date,fda_decision_type,stock_pricing_before,stock_pricing_after,pct_change_on_decision,stock_price_t1,pct_change_t1,stock_pricing_summary,company_success_rate_summary,company_score,company_score_grade,company_success_rate_pct,total_drugs_in_profile,approved_drugs,phase3_programs,paused_or_hold,advanced_to_next_phase,review_pathway,indication,fda_source_url,secondary_source_url,verification_status,us_investable_class,notes
"Amphastar Pharmaceuticals, Inc.",AMPH,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2026-02-26 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2026-02-26,Complete Response Letter (Rejection),27.97,26.49,-5.29,20.23,-27.67,Before: 27.97 on 2026-02-25 -> After: 26.49 on 2026-02-26 (-5.29%); T+1: 20.23 (-27.67%),"Score: 28.7 Grade: E Success Rate: 33.3% - Profile: 1 total, 4 approved, 1 Phase3, 0 paused, 0 advanced",28.7,E,33.3,1,4,1,0,0,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Amphastar Pharmaceuticals, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761403,Verified - openFDA CRL transparency API,US-LISTED,"Decision engine analysis row: Amphastar Pharmaceuticals, Inc. See FDA letter Complete Response Letter (Rejection) 2026-02-26. Trial result: See FDA CRL letter - indication in application. Stock: Before: 27.97 on 2026-02-25 -> After: 26.49 on 2026-02-26 (-5.29%); T+1: 20.23 (-27.67%). Score: Score: 28.7 Grade: E Success Rate: 33.3% - Profile: 1 total, 4 approved, 1 Phase3, 0 paused, 0 advan. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Amphastar Pharmaceuticals, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761403"
"Immedica Pharma AB (private, Sweden)",NO_TICKER,Loargys (pegzilarginase-nbln),Arginase 1 deficiency,Approval (Accelerated) on 2026-02-23 for Loargys (pegzilarginase-nbln) (Arginase 1 deficiency) - Pathway: Priority; Accelerated,2026-02-23,Approval (Accelerated),,,,,,Before: N/A on N/A -> After: N/A on 2026-02-23 (N/A%); T+1: N/A (N/A%),"Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",,,,,,,,,Priority; Accelerated,Arginase 1 deficiency,https://www.onyxnewsroom.com/immedica-pharmas-loargys-adds-an-enzyme-replacement-entrant-for-ultra-rare-arg1-d-related-hyperargininemia/,https://www.immedica.com/en/press/us-fda-has-granted-accelerated-approval-loargysr-pegzilarginase-nbln-treatment,Verified - no public ticker,PRIVATE / NO EQUITY,"Decision engine analysis row: Immedica Pharma AB (private, Sweden) Loargys (pegzilarginase-nbln) Approval (Accelerated) 2026-02-23. Trial result: Arginase 1 deficiency. Stock: Before: N/A on N/A -> After: N/A on 2026-02-23 (N/A%); T+1: N/A (N/A%). Score: Score: N/A Grade: N/A Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 a. Sources: https://www.onyxnewsroom.com/immedica-pharmas-loargys-adds-an-enzyme-replacement-entrant-for-ultra-rare-arg1-d-related-hyperargininemia/ + https://www.immedica.com/en/press/us-fda-has-granted-accelerated-approval-loargysr-pegzilarginase-nbln-treatment"
Vanda Pharmaceuticals,VNDA,Bysanti (milsaperidone),Schizophrenia; bipolar I mania,Approval on 2026-02-20 for Bysanti (milsaperidone) (Schizophrenia; bipolar I mania) - Pathway: Standard,2026-02-20,Approval,6.09,5.76,-5.42,,,Before: 6.09 on 2026-02-13 -> After: 5.76 on 2026-02-20 (-5.42%); T+1: N/A (N/A%),"Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advanced",59.1,C,37.5,8,3,3,1,2,Standard,Schizophrenia; bipolar I mania,https://laafon.com/fda-novel-drug/bysanti-fda-approval-treatment-for-schizophrenia-bipolar-i/,https://www.investing.com/news/company-news/fda-approves-vandas-bysanti-for-bipolar-disorder-schizophrenia-93CH-4517356,Verified,US-LISTED,"Decision engine analysis row: Vanda Pharmaceuticals Bysanti (milsaperidone) Approval 2026-02-20. Trial result: Schizophrenia; bipolar I mania. Stock: Before: 6.09 on 2026-02-13 -> After: 5.76 on 2026-02-20 (-5.42%); T+1: N/A (N/A%). Score: Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advan. Sources: https://laafon.com/fda-novel-drug/bysanti-fda-approval-treatment-for-schizophrenia-bipolar-i/ + https://www.investing.com/news/company-news/fda-approves-vandas-bysanti-for-bipolar-disorder-schizophrenia-93CH-4517356"
"Disc Medicine, Inc.",IRON,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2026-02-13 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2026-02-13,Complete Response Letter (Rejection),71.65,55.95,-21.91,65.57,-8.49,Before: 71.65 on 2026-02-12 -> After: 55.95 on 2026-02-13 (-21.91%); T+1: 65.57 (-8.49%),"Score: 7.2 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",7.2,E,,,,,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Disc Medicine, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220707,Verified - openFDA CRL transparency API,,"Decision engine analysis row: Disc Medicine, Inc. See FDA letter Complete Response Letter (Rejection) 2026-02-13. Trial result: See FDA CRL letter - indication in application. Stock: Before: 71.65 on 2026-02-12 -> After: 55.95 on 2026-02-13 (-21.91%); T+1: 65.57 (-8.49%). Score: Score: 7.2 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 adv. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Disc Medicine, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220707"
"Aurobindo Pharma (parent, India-listed) / Acrotech Biopharma (private US subsidiary)",AUROPHARMA.NS,Adquey (difamilast),Mild-to-moderate atopic dermatitis,Approval on 2026-02-12 for Adquey (difamilast) (Mild-to-moderate atopic dermatitis) - Pathway: Standard,2026-02-12,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2026-02-12 (N/A%); T+1: N/A (N/A%),"Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",41.5,D,100.0,1,1,0,0,0,Standard,Mild-to-moderate atopic dermatitis,https://www.pharmaindiamagazine.com/acrotech-biopharma-inc-announces-fda-approval-of-adquey-ointment/,https://scanx.trade/stock-market-news/stocks/aurobindo-pharma-s-subsidiary-acrotech-receives-fda-approval-for-adquey-ointment-for-atopic-dermatitis-treatment/32536601,"Verified - FLAGGED (letter-date discrepancy, resolved 2026-09-12)",NON-US LISTING ONLY,"Decision engine analysis row: Aurobindo Pharma (parent, India-listed) / Acrotech Biopharma (private US subsidiary) Adquey (difamilast) Approval 2026-02-12. Trial result: Mild-to-moderate atopic dermatitis. Stock: Before: N/A on N/A -> After: N/A on 2026-02-12 (N/A%); T+1: N/A (N/A%). Score: Score: 41.5 Grade: D Success Rate: 100.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://www.pharmaindiamagazine.com/acrotech-biopharma-inc-announces-fda-approval-of-adquey-ointment/ + https://scanx.trade/stock-market-news/stocks/aurobindo-pharma-s-subsidiary-acrotech-receives-fda-approval-for-adquey-ointment-for-atopic-dermatitis-treatment/32536601"
REGENXBIO,RGNX,Clemidsogene lanparvovec (RGX-121),Mucopolysaccharidosis type II (Hunter syndrome),Complete Response Letter (Rejection) on 2026-02-07 for Clemidsogene lanparvovec (RGX-121) (Mucopolysaccharidosis type II (Hunter syndrome)) - Pathway: Not stated,2026-02-07,Complete Response Letter (Rejection),10.78,10.26,-4.82,10.33,-4.17,Before: 10.78 on 2026-01-31 -> After: 10.26 on 2026-02-07 (-4.82%); T+1: 10.33 (-4.17%),"Score: 12.2 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",12.2,E,,,,,,,,Mucopolysaccharidosis type II (Hunter syndrome),https://mpssociety.org/en/news/rgx-121-crl2026/,https://www.neurologylive.com/view/regenxbio-mps-ii-gene-therapy-rgx-121-crl,Verified - FLAGGED IRREGULARITY,,"Decision engine analysis row: REGENXBIO Clemidsogene lanparvovec (RGX-121) Complete Response Letter (Rejection) 2026-02-07. Trial result: Mucopolysaccharidosis type II (Hunter syndrome). Stock: Before: 10.78 on 2026-01-31 -> After: 10.26 on 2026-02-07 (-4.82%); T+1: 10.33 (-4.17%). Score: Score: 12.2 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 ad. Sources: https://mpssociety.org/en/news/rgx-121-crl2026/ + https://www.neurologylive.com/view/regenxbio-mps-ii-gene-therapy-rgx-121-crl"
Aquestive Therapeutics Inc.,AQST,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2026-01-30 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2026-01-30,Complete Response Letter (Rejection),3.16,2.95,-6.65,4.1,29.75,Before: 3.16 on 2026-01-29 -> After: 2.95 on 2026-01-30 (-6.65%); T+1: 4.1 (29.75%),"Score: 40.5 Grade: D Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",40.5,D,,,,,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Aquestive Therapeutics Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219870,Verified - openFDA CRL transparency API,,"Decision engine analysis row: Aquestive Therapeutics Inc. See FDA letter Complete Response Letter (Rejection) 2026-01-30. Trial result: See FDA CRL letter - indication in application. Stock: Before: 3.16 on 2026-01-29 -> After: 2.95 on 2026-01-30 (-6.65%); T+1: 4.1 (29.75%). Score: Score: 40.5 Grade: D Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 ad. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Aquestive Therapeutics Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219870"
Corcept Therapeutics,CORT,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2026-01-28 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2026-01-28,Complete Response Letter (Rejection),46.22,45.85,-0.8,44.61,-3.48,Before: 46.22 on 2026-01-27 -> After: 45.85 on 2026-01-28 (-0.8%); T+1: 44.61 (-3.48%),"Score: 24.2 Grade: E Success Rate: 16.666666666666664% - Profile: 6 total, 1 approved, 0 Phase3, 0 paused, 2 advanced",24.2,E,16.666666666666664,6,1,0,0,2,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Corcept Therapeutics""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219398,Verified - openFDA CRL transparency API,US-LISTED,"Decision engine analysis row: Corcept Therapeutics See FDA letter Complete Response Letter (Rejection) 2026-01-28. Trial result: See FDA CRL letter - indication in application. Stock: Before: 46.22 on 2026-01-27 -> After: 45.85 on 2026-01-28 (-0.8%); T+1: 44.61 (-3.48%). Score: Score: 24.2 Grade: E Success Rate: 16.666666666666664% - Profile: 6 total, 1 approved, 0 Phase3, 0 p. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Corcept Therapeutics"" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219398"
"Sentynl Therapeutics (wholly owned by Zydus Lifesciences Ltd, India)",ZYDUSLIFE.NS,Zycubo (copper histidinate),Menkes disease,Approval on 2026-01-12 for Zycubo (copper histidinate) (Menkes disease) - Pathway: Priority,2026-01-12,Approval,,,,,,Before: N/A on N/A -> After: N/A on 2026-01-12 (N/A%); T+1: N/A (N/A%),"Score: 36.3 Grade: D Success Rate: 50.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",36.3,D,50.0,1,1,0,0,0,Priority,Menkes disease,https://globalgenes.org/raredaily/fda-approves-sentynls-therapy-for-menkes-disease/,https://www.sec.gov/Archives/edgar/data/1429260/000110465926003121/fbio-20260113xex99d1.htm,"Verified - FLAGGED (owner change + letter-date discrepancy, resolved 2026-09-12)",NON-US LISTING ONLY,"Decision engine analysis row: Sentynl Therapeutics (wholly owned by Zydus Lifesciences Ltd, India) Zycubo (copper histidinate) Approval 2026-01-12. Trial result: Menkes disease. Stock: Before: N/A on N/A -> After: N/A on 2026-01-12 (N/A%); T+1: N/A (N/A%). Score: Score: 36.3 Grade: D Success Rate: 50.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advan. Sources: https://globalgenes.org/raredaily/fda-approves-sentynls-therapy-for-menkes-disease/ + https://www.sec.gov/Archives/edgar/data/1429260/000110465926003121/fbio-20260113xex99d1.htm"
Pierre Fabre Pharmaceuticals Inc.,,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2026-01-09 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2026-01-09,Complete Response Letter (Rejection),,,,,,Before: N/A on N/A -> After: N/A on 2026-01-09 (N/A%); T+1: N/A (N/A%),"Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",10.8,E,,,,,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Pierre Fabre Pharmaceuticals Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125745,Verified - FLAGGED (sponsor/equity not yet resolved),,"Decision engine analysis row: Pierre Fabre Pharmaceuticals Inc. See FDA letter Complete Response Letter (Rejection) 2026-01-09. Trial result: See FDA CRL letter - indication in application. Stock: Before: N/A on N/A -> After: N/A on 2026-01-09 (N/A%); T+1: N/A (N/A%). Score: Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 ad. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Pierre Fabre Pharmaceuticals Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=125745"
Outlook Therapeutics,OTLK,ONS-5010 / Lytenava (bevacizumab-vikg),Wet age-related macular degeneration,Complete Response Letter (Rejection) on 2025-12-31 for ONS-5010 / Lytenava (bevacizumab-vikg) (Wet age-related macular degeneration) - Pathway: Not stated,2025-12-31,Complete Response Letter (Rejection),1.83,1.58,-63.93,0.66,-63.93,Before: 1.83 on 2025-12-24 -> After: 1.58 on 2025-12-31 (-63.93%); T+1: 0.66 (-63.93%),"Score: 26.5 Grade: E Success Rate: 0.0% - Profile: 1 total, 0 approved, 1 Phase3, 0 paused, 1 advanced",26.5,E,0.0,1,0,1,0,1,,Wet age-related macular degeneration,https://www.stocktitan.net/news/OTLK/outlook-therapeutics-provides-regulatory-update-on-u-s-food-and-drug-lx7gajngv7vk.html,https://www.ophthalmologytimes.com/view/outlook-therapeutics-receives-crl-for-resubmitted-ons-5010-bla,Verified - RESOLVED (approved 2026-07-24),US-LISTED,"Decision engine analysis row: Outlook Therapeutics ONS-5010 / Lytenava (bevacizumab-vikg) Complete Response Letter (Rejection) 2025-12-31. Trial result: Wet age-related macular degeneration. Stock: Before: 1.83 on 2025-12-24 -> After: 1.58 on 2025-12-31 (-63.93%); T+1: 0.66 (-63.93%). Score: Score: 26.5 Grade: E Success Rate: 0.0% - Profile: 1 total, 0 approved, 1 Phase3, 0 paused, 1 advanc. Sources: https://www.stocktitan.net/news/OTLK/outlook-therapeutics-provides-regulatory-update-on-u-s-food-and-drug-lx7gajngv7vk.html + https://www.ophthalmologytimes.com/view/outlook-therapeutics-receives-crl-for-resubmitted-ons-5010-bla"
Vanda Pharmaceuticals Inc.,VNDA,Nereus (tradipitant),Vomiting associated with motion,Approval on 2025-12-30 for Nereus (tradipitant) (Vomiting associated with motion) - Pathway: Standard,2025-12-30,Approval,7.199999809265137,7.03000020980835,-2.36,8.819999694824219,22.50,Before: 7.199999809265137 on 2025-12-29 -> After: 7.03000020980835 on 2025-12-30 (-2.36%); T+1: 8.819999694824219 (22.50%),"Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advanced",59.1,C,37.5,8,3,3,1,2,Standard,Vomiting associated with motion,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified - see note,US-LISTED,"Decision engine analysis row: Vanda Pharmaceuticals Inc. Nereus (tradipitant) Approval 2025-12-30. Trial result: Vomiting associated with motion. Stock: Before: 7.199999809265137 on 2025-12-29 -> After: 7.03000020980835 on 2025-12-30 (-2.36%); T+1: 8.81. Score: Score: 59.1 Grade: C Success Rate: 37.5% - Profile: 8 total, 3 approved, 3 Phase3, 1 paused, 2 advan. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025 + https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025"
"Dr. Reddy’s Laboratories, Inc.",RDY,Dr,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2025-12-30 for Dr (See FDA CRL letter - indication in application) - Pathway: Not stated,2025-12-30,Complete Response Letter (Rejection),14.11,14.06,-0.35,14.04,-0.50,Before: 14.11 on 2025-12-29 -> After: 14.06 on 2025-12-30 (-0.35%); T+1: 14.04 (-0.50%),"Score: 37.0 Grade: D Success Rate: 0.0% - Profile: 12 total, 12 approved, 0 Phase3, 0 paused, 0 advanced",37.0,D,0.0,12,12,0,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Dr. Reddy’s Laboratories, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761471,Verified - openFDA CRL transparency API,,"Decision engine analysis row: Dr. Reddy’s Laboratories, Inc. Dr Complete Response Letter (Rejection) 2025-12-30. Trial result: See FDA CRL letter - indication in application. Stock: Before: 14.11 on 2025-12-29 -> After: 14.06 on 2025-12-30 (-0.35%); T+1: 14.04 (-0.50%). Score: Score: 37.0 Grade: D Success Rate: 0.0% - Profile: 12 total, 12 approved, 0 Phase3, 0 paused, 0 adva. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Dr. Reddy’s Laboratories, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761471"
"Outlook Therapeutics, Inc.",OTLK,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2025-12-30 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2025-12-30,Complete Response Letter (Rejection),1.98,1.865,-5.81,1.58,-20.20,Before: 1.98 on 2025-12-29 -> After: 1.865 on 2025-12-30 (-5.81%); T+1: 1.58 (-20.20%),"Score: 26.5 Grade: E Success Rate: 0.0% - Profile: 1 total, 0 approved, 1 Phase3, 0 paused, 1 advanced",26.5,E,0.0,1,0,1,0,1,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Outlook Therapeutics, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761320,Verified - openFDA CRL transparency API,US-LISTED,"Decision engine analysis row: Outlook Therapeutics, Inc. See FDA letter Complete Response Letter (Rejection) 2025-12-30. Trial result: See FDA CRL letter - indication in application. Stock: Before: 1.98 on 2025-12-29 -> After: 1.865 on 2025-12-30 (-5.81%); T+1: 1.58 (-20.20%). Score: Score: 26.5 Grade: E Success Rate: 0.0% - Profile: 1 total, 0 approved, 1 Phase3, 0 paused, 1 advanc. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Outlook Therapeutics, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761320"
Omeros Corporation,OMER,Yartemlea (narsoplimab-wuug),Hematopoietic stem cell transplant-associated TMA,Approval on 2025-12-23 for Yartemlea (narsoplimab-wuug) (Hematopoietic stem cell transplant-associated TMA) - Pathway: Priority,2025-12-23,Approval,8.77,9.51,8.44,,,Before: 8.77 on 2025-12-16 -> After: 9.51 on 2025-12-23 (8.44%); T+1: N/A (N/A%),"Score: 34.5 Grade: E Success Rate: 50.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advanced",34.5,E,50.0,1,1,0,0,0,Priority,Hematopoietic stem cell transplant-associated TMA,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761152Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,US-LISTED,"Decision engine analysis row: Omeros Corporation Yartemlea (narsoplimab-wuug) Approval 2025-12-23. Trial result: Hematopoietic stem cell transplant-associated TMA. Stock: Before: 8.77 on 2025-12-16 -> After: 9.51 on 2025-12-23 (8.44%); T+1: N/A (N/A%). Score: Score: 34.5 Grade: E Success Rate: 50.0% - Profile: 1 total, 1 approved, 0 Phase3, 0 paused, 0 advan. Sources: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761152Orig1s000lbl.pdf + https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025"
Sanofi,SNY,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2025-12-23 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2025-12-23,Complete Response Letter (Rejection),48.03,48.32,0.6,48.36,0.69,Before: 48.03 on 2025-12-22 -> After: 48.32 on 2025-12-23 (0.6%); T+1: 48.36 (0.69%),"Score: 62.5 Grade: C Success Rate: 92.3% - Profile: 18 total, 69 approved, 16 Phase3, 0 paused, 0 advanced",62.5,C,92.3,18,69,16,0,0,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""Genzyme Corporation""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219624,Verified - openFDA CRL transparency API,US-LISTED (ADR),"Decision engine analysis row: Sanofi See FDA letter Complete Response Letter (Rejection) 2025-12-23. Trial result: See FDA CRL letter - indication in application. Stock: Before: 48.03 on 2025-12-22 -> After: 48.32 on 2025-12-23 (0.6%); T+1: 48.36 (0.69%). Score: Score: 62.5 Grade: C Success Rate: 92.3% - Profile: 18 total, 69 approved, 16 Phase3, 0 paused, 0 ad. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""Genzyme Corporation"" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219624"
"MedicaSafe, Inc.",,See FDA letter,See FDA CRL letter - indication in application,Complete Response Letter (Rejection) on 2025-12-22 for See FDA letter (See FDA CRL letter - indication in application) - Pathway: Not stated,2025-12-22,Complete Response Letter (Rejection),,,,,,Before: N/A on N/A -> After: N/A on 2025-12-22 (N/A%); T+1: N/A (N/A%),"Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 advanced",10.8,E,,,,,,,,See FDA CRL letter - indication in application,"https://api.fda.gov/transparency/crl.json?search=company_name:""MedicaSafe, Inc.""",https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220184,Verified - FLAGGED (sponsor/equity not yet resolved),,"Decision engine analysis row: MedicaSafe, Inc. See FDA letter Complete Response Letter (Rejection) 2025-12-22. Trial result: See FDA CRL letter - indication in application. Stock: Before: N/A on N/A -> After: N/A on 2025-12-22 (N/A%); T+1: N/A (N/A%). Score: Score: 10.8 Grade: E Success Rate: N/A% - Profile: N/A total, N/A approved, 0 Phase3, 0 paused, 0 ad. Sources: https://api.fda.gov/transparency/crl.json?search=company_name:""MedicaSafe, Inc."" + https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220184"
Cytokinetics Incorporated,CYTK,Myqorzo (aficamten),Symptomatic obstructive hypertrophic cardiomyopathy,Approval on 2025-12-19 for Myqorzo (aficamten) (Symptomatic obstructive hypertrophic cardiomyopathy) - Pathway: Standard,2025-12-19,Approval,63.35,62.2,-1.82,,,Before: 63.35 on 2025-12-12 -> After: 62.2 on 2025-12-19 (-1.82%); T+1: N/A (N/A%),"Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 2 Phase3, 0 paused, 0 advanced",29.9,E,100.0,1,1,2,0,0,Standard,Symptomatic obstructive hypertrophic cardiomyopathy,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219083s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,Verified,US-LISTED,"Decision engine analysis row: Cytokinetics Incorporated Myqorzo (aficamten) Approval 2025-12-19. Trial result: Symptomatic obstructive hypertrophic cardiomyopathy. Stock: Before: 63.35 on 2025-12-12 -> After: 62.2 on 2025-12-19 (-1.82%); T+1: N/A (N/A%). Score: Score: 29.9 Grade: E Success Rate: 100.0% - Profile: 1 total, 1 approved, 2 Phase3, 0 paused, 0 adva. Sources: https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219083s000lbl.pdf + https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025"
GSK plc,GSK,Exdensur (depemokimab-ulaa),Severe eosinophilic asthma (add-on),Approval on 2025-12-16 for Exdensur (depemokimab-ulaa) (Severe eosinophilic asthma (add-on)) - Pathway: Standard,2025-12-16,Approval,47.27,49.24,4.17,,,Before: 47.27 on 2025-12-09 -> After: 49.24 on 2025-12-16 (4.17%); T+1: N/A (N/A%),"Score: 60.2 Grade: C Success Rate: 94.7% - Profile: 33 total, 124 approved, 2 Phase3, 0 paused, 0 advanced",60.2,C,94.7,33,124,2,0,0,Standard,Severe eosinophilic asthma (add-on),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://www.fda.gov/drugs/drug-trials-snapshots/drug-trials-snapshots-exdensur,Verified,US-LISTED,"Decision engine analysis row: GSK plc Exdensur (depemokimab-ulaa) Approval 2025-12-16. Trial result: Severe eosinophilic asthma (add-on). Stock: Before: 47.27 on 2025-12-09 -> After: 49.24 on 2025-12-16 (4.17%); T+1: N/A (N/A%). Score: Score: 60.2 Grade: C Success Rate: 94.7% - Profile: 33 total, 124 approved, 2 Phase3, 0 paused, 0 ad. Sources: https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025 + https://www.fda.gov/drugs/drug-trials-snapshots/drug-trials-snapshots-exdensur"
