company_name,ticker,us_investable_class,total_efficacy_supplements,distinct_drugs_expanded,priority_review_count,priority_review_share_pct,orphan_supplement_count,first_expansion_date,last_expansion_date,expansions_last_5y,expansion_velocity_per_yr,novel_approvals_tracked,breadth_ratio_suppl_per_novel,rows_flagged_for_review,evidence_basis,verification_status
Bayer AG,BAYRY,US-LISTED (ADR),93,39,26,28.0,11,2000-07-21,2026-09-09,11,2.2,16,5.81,5,"93 approved FDA efficacy supplements across 39 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BAYRY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 5 row(s) flagged for review
Viatris Inc,VTRS,US-LISTED,88,26,14,15.9,1,2000-07-12,2024-12-23,8,1.6,3,29.33,3,"88 approved FDA efficacy supplements across 26 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=VTRS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 3 row(s) flagged for review
Takeda Pharmaceutical Company Limited,TAK,US-LISTED (ADR),87,30,24,27.6,18,2000-11-30,2025-11-21,11,2.2,10,8.7,1,"87 approved FDA efficacy supplements across 30 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=TAK)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Organon & Co.,OGN,US-LISTED,82,32,9,11.0,0,2000-03-03,2026-01-16,2,0.4,0,,6,"82 approved FDA efficacy supplements across 32 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=OGN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 6 row(s) flagged for review
GlaxoSmithKline plc,GSK,US-LISTED,77,36,23,29.9,9,2000-04-14,2026-03-09,16,3.2,33,2.33,3,"77 approved FDA efficacy supplements across 36 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=GSK)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 3 row(s) flagged for review
Amgen Inc.,AMGN,US-LISTED,76,19,23,30.3,30,2002-07-19,2025-11-19,26,5.2,13,5.85,3,"76 approved FDA efficacy supplements across 19 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AMGN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 3 row(s) flagged for review
Novo Nordisk A/S,NVO,US-LISTED (ADR),63,17,5,7.9,1,2001-12-21,2026-03-19,17,3.4,9,7.0,0,"63 approved FDA efficacy supplements across 17 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=NVO)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Regeneron Pharmaceuticals, Inc.",REGN,US-LISTED,48,6,21,43.8,10,2012-09-21,2026-04-22,25,5.0,11,4.36,0,"48 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=REGN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Astellas Pharma Inc.,ALPMY,US-LISTED (ADR),44,18,24,54.5,7,2000-01-28,2026-07-24,17,3.4,4,11.0,0,"44 approved FDA efficacy supplements across 18 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ALPMY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Vertex Pharmaceuticals,VRTX,US-LISTED,34,9,30,88.2,31,2013-10-28,2026-03-27,11,2.2,7,4.86,0,"34 approved FDA efficacy supplements across 9 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=VRTX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Daiichi Sankyo Company, Limited",DSNKY,US-LISTED (ADR),28,7,11,39.3,10,2000-02-10,2026-05-22,17,3.4,4,7.0,1,"28 approved FDA efficacy supplements across 7 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=DSNKY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Teva Pharmaceutical Industries Ltd,TEVA,US-LISTED (ADR),24,19,6,25.0,2,2000-01-28,2025-10-10,3,0.6,6,4.0,0,"24 approved FDA efficacy supplements across 19 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=TEVA)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Bausch Health Companies Inc.,BHC,US-LISTED,24,20,5,20.8,0,2000-08-01,2020-04-26,0,0.0,5,4.8,0,"24 approved FDA efficacy supplements across 20 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BHC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Pharmacyclics Inc. (acquired by AbbVie 2015),PCYC,FORMERLY US-LISTED (DELISTED/ACQUIRED),24,2,19,79.2,24,2014-07-28,2023-05-18,8,1.6,1,24.0,24,"24 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=PCYC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 24 row(s) flagged for review
Baxter International Inc.,BAX,US-LISTED,22,14,2,9.1,0,2000-04-12,2024-05-31,4,0.8,1,22.0,1,"22 approved FDA efficacy supplements across 14 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BAX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Biogen Inc.,BIIB,US-LISTED,22,9,1,4.5,6,2002-11-12,2026-03-27,5,1.0,8,2.75,0,"22 approved FDA efficacy supplements across 9 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BIIB)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Eisai Co., Ltd.",ESALY,US-LISTED (ADR),21,10,12,57.1,8,2006-10-13,2026-07-13,10,2.0,3,7.0,0,"21 approved FDA efficacy supplements across 10 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ESALY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Cubist Pharmaceuticals (acquired by Merck 2015),CBST,FORMERLY US-LISTED (DELISTED/ACQUIRED),17,6,7,41.2,1,2006-05-25,2026-05-12,5,1.0,3,5.67,17,"17 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=CBST)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 17 row(s) flagged for review
Incyte Corporation,INCY,US-LISTED,15,4,7,46.7,12,2013-06-12,2026-05-18,9,1.8,4,3.75,0,"15 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=INCY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
BeOne Medicines (formerly BeiGene),ONC,US-LISTED,15,2,2,13.3,14,2021-08-31,2026-08-25,13,2.6,3,5.0,0,"15 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ONC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Kenvue Inc.,KVUE,US-LISTED,14,10,0,0.0,0,2000-02-25,2018-10-17,0,0.0,0,,0,"14 approved FDA efficacy supplements across 10 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=KVUE)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Jazz Pharmaceuticals plc,JAZZ,US-LISTED,14,7,8,57.1,12,2005-11-18,2026-08-25,6,1.2,4,3.5,0,"14 approved FDA efficacy supplements across 7 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=JAZZ)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
BioMarin Pharmaceutical Inc.,BMRN,US-LISTED,14,6,2,14.3,11,2009-05-20,2026-02-27,3,0.6,6,2.33,0,"14 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BMRN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Alexion Pharmaceuticals Inc. (acquired by AstraZeneca 2021),ALXN,FORMERLY US-LISTED (DELISTED/ACQUIRED),13,4,6,46.2,12,2011-09-23,2025-02-28,5,1.0,4,3.25,13,"13 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ALXN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 13 row(s) flagged for review
Array BioPharma Inc.,ARRY,US-LISTED,13,2,2,15.4,11,2019-01-23,2026-02-24,9,1.8,2,6.5,0,"13 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ARRY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
ANI Pharmaceuticals Inc,ANIP,US-LISTED,12,5,4,33.3,0,2000-09-01,2017-01-25,0,0.0,0,,0,"12 approved FDA efficacy supplements across 5 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ANIP)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Haleon plc,HLN,US-LISTED (ADR),11,9,0,0.0,0,2000-01-12,2020-02-14,0,0.0,0,,1,"11 approved FDA efficacy supplements across 9 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=HLN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Fresenius SE & Co. KGaA,FSNUY,US-LISTED (ADR),9,9,1,11.1,0,2000-11-02,2025-07-16,3,0.6,0,,1,"9 approved FDA efficacy supplements across 9 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=FSNUY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Alcon Inc.,ALC,US-LISTED,8,6,2,25.0,0,2000-03-20,2020-07-13,0,0.0,5,1.6,0,"8 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ALC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Bausch + Lomb Corporation,BLCO,US-LISTED,8,6,1,12.5,0,2001-08-22,2018-07-20,0,0.0,2,4.0,0,"8 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BLCO)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Seattle Genetics (now Pfizer; acquired 2024),SGEN,US-LISTED,8,1,6,75.0,7,2011-08-19,2025-02-11,3,0.6,3,2.67,1,"8 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SGEN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
"Otsuka Pharmaceutical Co., Ltd. (with Lundbeck)",OTSKY,US-LISTED (ADR),8,4,5,62.5,5,2013-10-26,2026-05-13,2,0.4,2,4.0,0,"8 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=OTSKY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Exelixis, Inc.",EXEL,US-LISTED,8,2,3,37.5,4,2016-05-20,2025-09-10,4,0.8,1,8.0,0,"8 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=EXEL)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
United Therapeutics Corporation,UTHR,US-LISTED,7,3,1,14.3,5,2004-11-24,2021-03-31,0,0.0,2,3.5,1,"7 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=UTHR)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
GE HealthCare Technologies Inc.,GEHC,US-LISTED,7,6,2,28.6,0,2012-08-17,2025-06-23,3,0.6,2,3.5,0,"7 approved FDA efficacy supplements across 6 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=GEHC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Catalyst Pharmaceuticals,CPRX,US-LISTED,7,3,3,42.9,2,2015-06-19,2024-05-30,2,0.4,2,3.5,0,"7 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=CPRX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Acadia Pharmaceuticals,ACAD,US-LISTED,7,3,3,42.9,2,2018-06-28,2026-04-27,6,1.2,2,3.5,0,"7 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ACAD)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Immunomedics, Inc.",IMMU,US-LISTED,7,1,5,71.4,0,2021-04-07,2026-06-24,4,0.8,1,7.0,0,"7 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=IMMU)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Horizon Therapeutics Ireland DAC,HZNP,US-LISTED,6,4,4,66.7,4,2000-02-10,2022-07-07,1,0.2,1,6.0,1,"6 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=HZNP)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 1 row(s) flagged for review
Indivior PLC,INDV,US-LISTED,6,3,1,16.7,1,2014-04-28,2025-02-21,2,0.4,0,,0,"6 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=INDV)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Supernus Pharmaceuticals, Inc.",SUPN,US-LISTED,6,4,0,0.0,1,2016-08-18,2022-04-29,1,0.2,1,6.0,0,"6 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SUPN)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Melinta Therapeutics, Inc.",MLNT,US-LISTED,5,3,3,60.0,0,2001-02-05,2019-10-24,0,0.0,1,5.0,0,"5 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=MLNT)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Amneal Pharmaceuticals, Inc.",AMRX,US-LISTED,5,3,0,0.0,0,2004-05-28,2015-06-12,0,0.0,0,,0,"5 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AMRX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Spectrum Pharmaceuticals,SPPI,US-LISTED,5,2,1,20.0,3,2004-10-22,2016-07-29,0,0.0,2,2.5,0,"5 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=SPPI)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
VIVUS Inc.,VVUS,US-LISTED,5,2,0,0.0,0,2014-09-17,2024-09-13,3,0.6,1,5.0,0,"5 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=VVUS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Ultragenyx Pharmaceutical (US)/Kyowa Kirin,RARE,US-LISTED,5,2,2,40.0,5,2019-09-27,2026-04-23,1,0.2,3,1.67,0,"5 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RARE)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Galderma Group AG,GALDY,US-LISTED (ADR),4,4,0,0.0,0,2008-06-26,2020-07-17,0,0.0,0,,0,"4 approved FDA efficacy supplements across 4 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=GALDY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Radius Health, Inc.",RDUS,US-LISTED,4,1,0,0.0,0,2018-10-17,2022-12-19,3,0.6,1,4.0,0,"4 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RDUS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Advanced Accelerator Applications (AAA; acquired by Novartis 2018),AAAP,FORMERLY US-LISTED (DELISTED/ACQUIRED),4,1,1,25.0,3,2020-05-28,2024-04-23,2,0.4,2,2.0,4,"4 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=AAAP)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 4 row(s) flagged for review
Abbott Laboratories,ABT,US-LISTED,3,1,0,0.0,0,2001-02-16,2005-12-08,0,0.0,3,1.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ABT)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Alkermes plc,ALKS,US-LISTED,3,3,1,33.3,1,2010-10-12,2024-10-16,1,0.2,2,1.5,0,"3 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ALKS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Lantheus Holdings, Inc.",LNTH,US-LISTED,3,2,0,0.0,0,2011-10-24,2025-06-23,2,0.4,3,1.0,0,"3 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=LNTH)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Vanda Pharmaceuticals Inc.,VNDA,US-LISTED,3,2,1,33.3,1,2016-05-26,2024-04-02,1,0.2,5,0.6,0,"3 approved FDA efficacy supplements across 2 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=VNDA)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Karyopharm Therapeutics Inc.,KPTI,US-LISTED,3,1,1,33.3,2,2020-06-22,2026-04-23,1,0.2,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=KPTI)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Blueprint Medicines Corporation,BPMC,US-LISTED,3,1,3,100.0,3,2021-06-16,2023-05-22,1,0.2,2,1.5,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=BPMC)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Rhythm Pharmaceuticals, Inc.",RYTM,US-LISTED,3,1,3,100.0,3,2022-06-16,2026-03-19,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=RYTM)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Alnylam Pharmaceuticals, Inc.",ALNY,US-LISTED,3,3,1,33.3,3,2022-10-06,2025-03-20,3,0.6,4,0.75,0,"3 approved FDA efficacy supplements across 3 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=ALNY)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Durata Therapeutics (acquired by Actavis/Allergan 2014),DRTX,FORMERLY US-LISTED (DELISTED/ACQUIRED),3,1,0,0.0,0,2022-11-22,2022-11-22,3,0.6,1,3.0,3,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=DRTX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records - 3 row(s) flagged for review
Coherus BioSciences (now Coherus Oncology) with partner Junshi Biosciences,CHRS,US-LISTED,3,1,0,0.0,0,2022-11-28,2023-12-22,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=CHRS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Apellis Pharmaceuticals, Inc.",APLS,US-LISTED,3,1,1,33.3,3,2023-02-08,2026-08-20,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=APLS)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
"Mirum Pharmaceuticals, Inc.",MIRM,US-LISTED,3,1,1,33.3,3,2023-03-13,2024-07-24,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=MIRM)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Genmab,GMAB,US-LISTED (ADR),3,1,2,66.7,3,2024-06-26,2026-03-27,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=GMAB)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
Travere Therapeutics,TVTX,US-LISTED,3,1,1,33.3,3,2024-09-05,2026-04-13,3,0.6,1,3.0,0,"3 approved FDA efficacy supplements across 1 application(s), 2000-2026, each row carrying its FDA approval-letter or Drugs@FDA link in data/fda_supplement_decisions.csv (filter ticker=TVTX)",Verified - counted from openFDA Drugs@FDA efficacy-supplement records
