decision_id,decision_date,drug_brand,drug_generic,legacy_sponsor_verbatim,lineage_recorded_in_master,master_ticker,master_exchange,us_investable_class,application_number,status,action_for_reviewer,sec_edgar_company_search,drugsatfda_link,fda_year_enumeration,priority
D1376,1997-01-29,Rezulin,troglitazone,Parke-Davis (Warner-Lambert Co. division; Pfizer Jun-2000),Warner-Lambert Co. division; Pfizer Jun-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020720,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Parke-Davis&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020720,https://www.fda.gov/media/177921/download?attachment,high
D1379,1997-03-14,Agrylin,anagrelide hydrochloride,Roberts Pharmaceutical Corp. (acquired by Shire 1999),acquired by Shire 1999,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020333,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Roberts%20Pharmaceutical%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020333,https://www.fda.gov/media/177921/download?attachment,high
D1380,1997-03-14,Viracept,nelfinavir mesylate,Agouron Pharmaceuticals (acquired by Pfizer 1999),acquired by Pfizer 1999,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020779,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Agouron%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020779,https://www.fda.gov/media/177921/download?attachment,high
D1381,1997-03-28,Quadramet,samarium Sm 153 lexidronam,Cytogen Corp. (delisted; assets wound down post-2000),delisted; assets wound down post-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020570,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Cytogen%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020570,https://www.fda.gov/media/177921/download?attachment,high
D1382,1997-04-04,Rescriptor,delavirdine mesylate,The Upjohn Co. (merged into Pharmacia & Upjohn Nov-1995),merged into Pharmacia & Upjohn Nov-1995,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020705,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Upjohn%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020705,https://www.fda.gov/media/177921/download?attachment,high
D1390,1997-07-01,Mirapex,pramipexole dihydrochloride,The Upjohn Co. (merged into Pharmacia & Upjohn Nov-1995),merged into Pharmacia & Upjohn Nov-1995,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020667,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=The%20Upjohn%20Co.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020667,https://www.fda.gov/media/177921/download?attachment,high
D1394,1997-09-12,Genesa,arbutamine hydrochloride,Gensia Inc. (Gensia Sicor; Teva 2003),Gensia Sicor; Teva 2003,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020420,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Gensia%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020420,https://www.fda.gov/media/177921/download?attachment,high
D1396,1997-09-23,Corlopam,fenoldopam mesylate,Neurex Corp. (delisted; assets to Elan 1998),delisted; assets to Elan 1998,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),019922,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Neurex%20Corp.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=019922,https://www.fda.gov/media/177921/download?attachment,high
D1409,1997-12-04,Omnicef,cefdinir,Parke-Davis (Warner-Lambert Co. division; Pfizer Jun-2000),Warner-Lambert Co. division; Pfizer Jun-2000,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),050739,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Parke-Davis&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050739,https://www.fda.gov/media/177921/download?attachment,high
D1017,1998-09-17,Sustiva,efavirenz,DuPont Pharmaceuticals (DuPont Merck JV until mid-1998; acquired by BMS 2001),DuPont Merck JV until mid-1998; acquired by BMS 2001,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020972,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=DuPont%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020972,see data/fda_year_source_register.csv row 1998,high
D652,2000-07-14,Innohep,Tinzaparin Sodium,DuPont Pharmaceuticals (acquired by BMS 2001),acquired by BMS 2001,,,FORMERLY US-LISTED (DELISTED/ACQUIRED),020484,REVIEW (recoverable),"verify the decision-date ticker + delisting year from the period 10-K/20-F, then normalise the exchange field to 'formerly <VENUE>:<TICKER>, delisted <YYYY>'",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=DuPont%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020484,see data/fda_year_source_register.csv row 2000,high
D1318,1996-02-09,Myoview,technetium Tc-99m tetrofosmin,Medi-Physics Inc. (Amersham International plc unit; GE Healthcare 2004),Amersham International plc unit; GE Healthcare 2004,,,NON-US LISTING ONLY,020372,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Medi-Physics%20Inc.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020372,https://www.fda.gov/media/177921/download?attachment,medium
D1321,1996-03-22,Visipaque,iodixanol,Nycomed (private),private,,,NON-US LISTING ONLY,020351,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Nycomed&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020351,https://www.fda.gov/media/177921/download?attachment,medium
D1322,1996-04-26,Mavik,trandolapril,Knoll Pharmaceuticals (BASF AG unit; Abbott Mar-2001),BASF AG unit; Abbott Mar-2001,,,NON-US LISTING ONLY,020528,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Knoll%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020528,https://www.fda.gov/media/177921/download?attachment,medium
D1334,1996-06-14,Remeron,mirtazapine,Organon BioSciences (Akzo Nobel; human Rx to Schering-Plough 2007),Akzo Nobel; human Rx to Schering-Plough 2007,,,NON-US LISTING ONLY,020415,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Organon%20BioSciences&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020415,https://www.fda.gov/media/177921/download?attachment,medium
D1341,1996-07-25,Allegra,fexofenadine hydrochloride,Roussel Uclaf (Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi),Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi,,,NON-US LISTING ONLY,020625,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Roussel%20Uclaf&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020625,https://www.fda.gov/media/177921/download?attachment,medium
D1344,1996-08-26,Ivy Block,bentoquatam,Enviroderm,,,N/A - sponsor resolution pending,NOT US-INVESTABLE (UNVERIFIED),020532,REVIEW (unresolved),resolve issuer via EDGAR/Wayback; blank beats guessed,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Enviroderm&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020532,https://www.fda.gov/media/177921/download?attachment,medium
D1348,1996-09-17,Meretek UBT,13 C Urea,Meretek,,,N/A - sponsor resolution pending,NOT US-INVESTABLE (UNVERIFIED),020586,REVIEW (unresolved),resolve issuer via EDGAR/Wayback; blank beats guessed,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Meretek&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020586,https://www.fda.gov/media/177921/download?attachment,medium
D1349,1996-09-19,Nilandron,nilutamide,Roussel Uclaf (Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi),Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi,,,NON-US LISTING ONLY,020169,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Roussel%20Uclaf&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020169,https://www.fda.gov/media/177921/download?attachment,medium
D1358,1996-10-30,Retavase,reteplase,Boehringer Mannheim GmbH (Roche group; merged into Roche 1998),Roche group; merged into Roche 1998,,,NON-US LISTING ONLY,103632,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Boehringer%20Mannheim%20GmbH&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103632,https://www.fda.gov/media/177921/download?attachment,medium
D1370,1996-12-19,Zagam,sparfloxacin,Rorer Group (Rhone-Poulenc Rorer 1990; Aventis 1999; Sanofi),Rhone-Poulenc Rorer 1990; Aventis 1999; Sanofi,,,NON-US LISTING ONLY,020677,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Rorer%20Group&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020677,https://www.fda.gov/media/177921/download?attachment,medium
D1372,1996-12-23,Diovan,valsartan,Ciba-Geigy Ltd. (Basel; Novartis from Mar-1996),Basel; Novartis from Mar-1996,,,NON-US LISTING ONLY,020665,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Ciba-Geigy%20Ltd.&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020665,https://www.fda.gov/media/177921/download?attachment,medium
D1374,1996-12-24,Orgaran,danaparoid sodium,Organon BioSciences (Akzo Nobel; human Rx to Schering-Plough 2007),Akzo Nobel; human Rx to Schering-Plough 2007,,,NON-US LISTING ONLY,020430,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Organon%20BioSciences&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020430,https://www.fda.gov/media/177921/download?attachment,medium
D1393,1997-09-11,Anzemet,dolasetron mesylate,Roussel Uclaf (Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi),Hoechst Roussel / Hoechst Marion Roussel; Aventis; Sanofi,,,NON-US LISTING ONLY,020623,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Roussel%20Uclaf&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020623,https://www.fda.gov/media/177921/download?attachment,medium
D1403,1997-11-22,Meridia,sibutramine hydrochloride,Knoll Pharmaceuticals (BASF AG unit; Abbott Mar-2001),BASF AG unit; Abbott Mar-2001,,,NON-US LISTING ONLY,020632,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Knoll%20Pharmaceuticals&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020632,https://www.fda.gov/media/177921/download?attachment,medium
D1407,1997-11-26,Teslascan,mangafodipir trisodium,Nycomed (private),private,,,NON-US LISTING ONLY,020652,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Nycomed&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020652,https://www.fda.gov/media/177921/download?attachment,medium
D994,1998-03-06,Refludan,lepirudin,Hoechst Marion Roussel (Hoechst AG; Aventis Dec-1999; Sanofi 2004),Hoechst AG; Aventis Dec-1999; Sanofi 2004,,,NON-US LISTING ONLY,020807,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Hoechst%20Marion%20Roussel&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020807,see data/fda_year_source_register.csv row 1998,medium
D1008,1998-06-22,Priftin,rifapentine,Hoechst Marion Roussel (Hoechst AG; Aventis Dec-1999; Sanofi 2004),Hoechst AG; Aventis Dec-1999; Sanofi 2004,,,NON-US LISTING ONLY,021024,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Hoechst%20Marion%20Roussel&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021024,see data/fda_year_source_register.csv row 1998,medium
D967,1999-07-29,Antagon,ganirelix acetate,Organon BioSciences (Akzo Nobel; human Rx to Schering-Plough 2007),Akzo Nobel; human Rx to Schering-Plough 2007,,,NON-US LISTING ONLY,021057,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Organon%20BioSciences&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021057,see data/fda_year_source_register.csv row 1999,medium
D971,1999-08-18,Raplon,rapacuronium bromide,Organon BioSciences (Akzo Nobel; human Rx to Schering-Plough 2007),Akzo Nobel; human Rx to Schering-Plough 2007,,,NON-US LISTING ONLY,020984,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Organon%20BioSciences&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020984,see data/fda_year_source_register.csv row 1999,medium
D975,1999-09-21,Synercid IV,quinupristin; dalfopristin,Rhone-Poulenc Rorer (Aventis lineage),Aventis lineage,,,NON-US LISTING ONLY,050747,REVIEW (foreign listing),verify the primary non-US venue or the absence of any US line from the period annual report,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Rhone-Poulenc%20Rorer&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=050747,see data/fda_year_source_register.csv row 1999,medium
D1323,1996-04-30,Buphenyl,sodium phenylbutyrate,Ucyclyd Pharma (private),private,,N/A - privately held,PRIVATE / NO EQUITY,020573,NO-EQUITY (documented),none - master documents private/government/non-profit issuer,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Ucyclyd%20Pharma&type=10-K&dateb=20010101&owner=include&count=40,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020573,https://www.fda.gov/media/177921/download?attachment,n/a
