year,payload_orig_ap_count,manifest_raw_records,nme_type1_rows,nme_type14_rows,nme_rows_total,nme_counted_once,blank_class_rows,unknown_class_rows,priority_reviews,standard_reviews,official_fda_nme_count,official_ndas_approved,delta_nme_rows_vs_official,official_source_url,raw_payload,query_url,source_type,coverage_status,probe_status,notes
1939,7,7,0,0,0,0,3,4,0,1,,,n/a (no official per-year figure),https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1939.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19390101%20TO%2019391231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1939 (NDA+BLA; the API returned 7 raw records, 7 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 7 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 3; UNKNOWN class: 4. All 7 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches). Official series: 1938-40 published combined (1782 NDAs, 2752 received; NMEs 14 qualified '1940 only') - no separate 1939/1940 figure exists in the official source."
1940,3,3,0,0,0,0,0,1,0,2,14 (1940 only),1782 (1938-40),n/a (no official per-year figure),https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1940.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19400101%20TO%2019401231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1940 (NDA+BLA; the API returned 3 raw records, 3 unique application+date decisions after the extractor's de-duplication). 0 Type 1/1-4 (NME-comparable) of 3 rows; counted-once NME statistic: 0 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 1. All 3 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches). Official series: 1938-40 published combined (1782 NDAs, 2752 received; NMEs 14 qualified '1940 only') - no separate 1939/1940 figure exists in the official source."
1951,18,20,7,0,7,7,2,1,5,10,10,256,-3,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1951.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19510101%20TO%2019511231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1951 (NDA+BLA; the API returned 20 raw records, 18 unique application+date decisions after the extractor's de-duplication). 7 Type 1/1-4 (NME-comparable) of 18 rows; counted-once NME statistic: 7 (re-screening/sibling rows flagged, never corrected). Blank class: 2; UNKNOWN class: 1. All 18 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1952,18,21,4,1,5,4,1,1,5,11,14,194,-9,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1952.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19520101%20TO%2019521231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1952 (NDA+BLA; the API returned 21 raw records, 18 unique application+date decisions after the extractor's de-duplication). 5 Type 1/1-4 (NME-comparable) of 18 rows; counted-once NME statistic: 4 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 1. All 18 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1953,35,37,15,0,15,15,2,2,13,18,19,454,-4,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1953.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19530101%20TO%2019531231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1953 (NDA+BLA; the API returned 37 raw records, 35 unique application+date decisions after the extractor's de-duplication). 15 Type 1/1-4 (NME-comparable) of 35 rows; counted-once NME statistic: 15 (re-screening/sibling rows flagged, never corrected). Blank class: 2; UNKNOWN class: 2. All 35 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1954,26,35,12,0,12,12,1,1,10,14,25,226,-13,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1954.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19540101%20TO%2019541231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1954 (NDA+BLA; the API returned 35 raw records, 26 unique application+date decisions after the extractor's de-duplication). 12 Type 1/1-4 (NME-comparable) of 26 rows; counted-once NME statistic: 12 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 1. All 26 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1955,31,37,9,0,9,8,1,1,6,23,19,343,-10,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1955.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19550101%20TO%2019551231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1955 (NDA+BLA; the API returned 37 raw records, 31 unique application+date decisions after the extractor's de-duplication). 9 Type 1/1-4 (NME-comparable) of 31 rows; counted-once NME statistic: 8 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 1. All 31 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1956,23,27,10,0,10,10,0,1,5,17,19,346,-9,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1956.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19560101%20TO%2019561231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1956 (NDA+BLA; the API returned 27 raw records, 23 unique application+date decisions after the extractor's de-duplication). 10 Type 1/1-4 (NME-comparable) of 23 rows; counted-once NME statistic: 10 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 1. All 23 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1957,45,49,18,0,18,17,1,4,11,30,16,334,2,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1957.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19570101%20TO%2019571231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1957 (NDA+BLA; the API returned 49 raw records, 45 unique application+date decisions after the extractor's de-duplication). 18 Type 1/1-4 (NME-comparable) of 45 rows; counted-once NME statistic: 17 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 4. All 45 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1958,26,33,8,0,8,8,1,1,5,19,20,280,-12,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1958.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19580101%20TO%2019581231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1958 (NDA+BLA; the API returned 33 raw records, 26 unique application+date decisions after the extractor's de-duplication). 8 Type 1/1-4 (NME-comparable) of 26 rows; counted-once NME statistic: 8 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 1. All 26 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1959,49,53,20,0,20,20,1,0,10,38,26,225,-6,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1959.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19590101%20TO%2019591231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1959 (NDA+BLA; the API returned 53 raw records, 49 unique application+date decisions after the extractor's de-duplication). 20 Type 1/1-4 (NME-comparable) of 49 rows; counted-once NME statistic: 20 (re-screening/sibling rows flagged, never corrected). Blank class: 1; UNKNOWN class: 0. All 49 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1960,45,52,15,0,15,14,2,0,10,33,21,222,-6,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1960.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19600101%20TO%2019601231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1960 (NDA+BLA; the API returned 52 raw records, 45 unique application+date decisions after the extractor's de-duplication). 15 Type 1/1-4 (NME-comparable) of 45 rows; counted-once NME statistic: 14 (re-screening/sibling rows flagged, never corrected). Blank class: 2; UNKNOWN class: 0. All 45 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
1961,33,47,12,1,13,13,0,0,7,26,23,155,-10,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present,data/raw/openfda_orig_decisions_1939_1964/decisions_1961.json,"https://api.fda.gov/drug/drugsfda.json?search=submissions.submission_type:""ORIG""%20AND%20submissions.submission_status:""AP""%20AND%20submissions.submission_status_date:[19610101%20TO%2019611231]&limit=1000&skip=0",openFDA Drugs@FDA ORIG/AP (NDA+BLA; same extraction as 1965-2026 blocks),Complete for the committed payload; Drugs@FDA pre-1965 coverage is itself incomplete (official caveat),pending (job queued: fetch_jobs/pre1965_row_probes_1939_1964.json),"openFDA Drugs@FDA ORIG/AP enumeration 1961 (NDA+BLA; the API returned 47 raw records, 33 unique application+date decisions after the extractor's de-duplication). 13 Type 1/1-4 (NME-comparable) of 33 rows; counted-once NME statistic: 13 (re-screening/sibling rows flagged, never corrected). Blank class: 0; UNKNOWN class: 0. All 33 application numbers verified present in the full official Drugs@FDA database with matching type and holder (0 mismatches)."
