crl_row_id,master_crl_id,master_link_status,curated_candidate_ids,duplicate_letter_same_app_same_date,raw_file_name,company_name_verbatim,application_number_verbatim,application_number_normalised,application_kind,letter_date,letter_year,letter_type_verbatim,fda_approval_status_verbatim,later_original_approval_actions_observed,first_later_original_action_date,days_letter_to_first_later_original_action,later_any_approval_actions_observed,first_later_any_action_date,later_original_action_sources,later_any_action_types,conflict_flag,fda_application_url,replay_query_url,dataset_last_updated,evidence_source_files,verification_status,notes
CR-BLA761401-20260410,CR-BLA761401-20260410,JOINED,,FALSE,CRL_BLA761401_20260410.pdf,Telix Pharmaceuticals (US) Inc.,BLA 761401,BLA761401,BLA,2026-04-10,2026,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761401,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761401_20260410.pdf%22+AND+letter_date%3A%2204%2F10%2F2026%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA212849-20220218,CR-NDA212849-20220218,JOINED,,FALSE,212849_2024_Orig1s000OtherActionLtrs.pdf,"Shandong Luye Pharmaceutical Co., Ltd.",NDA 212849,NDA212849,NDA,2022-02-18,2022,COMPLETE RESPONSE,Approved,1,2023-01-13,329,1,2023-01-13,openfda_orig_decisions_2011_2026,2023-01-13 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA212849,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22212849_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2202%2F18%2F2022%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA215818-20260227,,CURATED_CANDIDATE_NOT_JOINED,C006|C007,FALSE,CRL_NDA215818_20260227.pdf,"Fresenius Kabi USA, LLC",NDA 215818,NDA215818,NDA,2026-02-27,2026,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA215818,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_NDA215818_20260227.pdf%22+AND+letter_date%3A%2202%2F27%2F2026%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Curated master candidate(s) C006|C007 share this letter date but the link is not unambiguous: more than one curated row on this date corresponds to the company. Flagged for human review, never resolved by preference."
CR-NDA213895-20200320,CR-NDA213895-20200320,JOINED,,FALSE,213895_2022_Orig1s000OtherActionLtrs.pdf,"Xellia Pharmaceuticals, ApS",NDA 213895,NDA213895,NDA,2020-03-20,2020,COMPLETE RESPONSE,Approved,1,2021-08-26,524,1,2021-08-26,openfda_orig_decisions_2011_2026,2021-08-26 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA213895,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22213895_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2203%2F20%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761215-20211217,,CURATED_CANDIDATE_NOT_JOINED,C037,FALSE,Pages from 761215Orig2s000.pdf,Eli Lilly and Company,BLA 761215/Original 2|BLA 761215,BLA761215,BLA,2021-12-17,2021,COMPLETE RESPONSE,Approved,2,2022-11-16,334,2,2022-11-16,openfda_orig_decisions_2011_2026,2022-11-16 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761215,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22Pages%20from%20761215Orig2s000.pdf%22+AND+letter_date%3A%2212%2F17%2F2021%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Curated master candidate(s) C037 share this letter date but the link is not unambiguous: the single candidate row is claimed by a same-day sibling letter from the same company, so the pairing is not unique. Flagged for human review, never resolved by preference."
CR-NDA215064-20220226,CR-NDA215064-20220226,JOINED,,FALSE,215064_2024_Orig1s000OtherActionLtrs.pdf,Amryt Pharmaceuticals DAC,NDA 215064,NDA215064,NDA,2022-02-26,2022,COMPLETE RESPONSE,Approved,1,2023-12-18,660,1,2023-12-18,openfda_orig_decisions_2011_2026,2023-12-18 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA215064,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22215064_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2202%2F26%2F2022%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA214952-20210805,CR-NDA214952-20210805,JOINED,,FALSE,214952_2024_Orig1s000OtherActionLtrs.pdf,LLC,NDA 214952,NDA214952,NDA,2021-08-05,2021,COMPLETE RESPONSE,Approved,1,2023-04-28,631,1,2023-04-28,openfda_orig_decisions_2011_2026,2023-04-28 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA214952,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22214952_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2208%2F05%2F2021%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA204311-20230113,,CURATED_CANDIDATE_NOT_JOINED,C032,FALSE,204311_2024_Orig1s000OtherActionLtrs.pdf,"Mylan Pharmaceuticals Inc., a Viatris Company",NDA 204311,NDA204311,NDA,2023-01-13,2023,COMPLETE RESPONSE,Approved,1,2023-12-22,343,1,2023-12-22,openfda_orig_decisions_2011_2026,2023-12-22 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA204311,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22204311_2024_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2201%2F13%2F2023%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Curated master candidate(s) C032 share this letter date but the link is not unambiguous: the candidate curated row's company name does not correspond to the name FDA publishes on the letter (parent/subsidiary or acquirer attribution). Flagged for human review, never resolved by preference."
CR-NDA208276-20170602,C051,JOINED_CURATED_DATE_COMPANY,C051,FALSE,208276_2018_Orig1s000OtherActionLtrs.pdf,United Therapeutics Corporation,NDA 208276,NDA208276,NDA,2017-06-02,2017,COMPLETE RESPONSE,Approved,1,2018-07-30,423,1,2018-07-30,openfda_orig_decisions_2011_2026,2018-07-30 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA208276,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22208276_2018_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2206%2F02%2F2017%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference. Linked to curated master row C051 on letter date plus corresponding company name, because the curated rows in data/fda_crl_master.csv publish no application number and cannot be joined on one. The link is date+name evidence; both verbatim names stay visible in the tables."
CR-BLA761066-20180323,CR-BLA761066-20180323,JOINED,,FALSE,761066_2019_Orig1s000OtherActionLtrs.pdf,"Samsung Bioepis Co., Ltd.",BLA 761066,BLA761066,BLA,2018-03-23,2018,COMPLETE RESPONSE,Approved,1,2019-04-25,398,3,2019-04-25,openfda_orig_decisions_2011_2026,2019-04-25 ORIG; 2024-05-03 SUPPL,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761066,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22761066_2019_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2203%2F23%2F2018%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA210063-20171026,CR-NDA210063-20171026,JOINED,,FALSE,210063_2019_Orig1s000OtherActionLtrs.pdf,"Teva Pharmaceuticals USA, Inc.",NDA 210063,NDA210063,NDA,2017-10-26,2017,COMPLETE RESPONSE,Approved,1,2019-08-19,662,1,2019-08-19,openfda_orig_decisions_2011_2026,2019-08-19 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA210063,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22210063_2019_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2210%2F26%2F2017%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-BLA761357-20240326,CR-BLA761357-20240326,JOINED,,FALSE,CRL_BLA761357_20240326.pdf,Gan & Lee Pharmaceuticals,BLA 761357,BLA761357,BLA,2024-03-26,2024,COMPLETE RESPONSE,Unapproved,0,,,0,,,,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=BLA761357,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22CRL_BLA761357_20240326.pdf%22+AND+letter_date%3A%2203%2F26%2F2024%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
CR-NDA212854-20201113,CR-NDA212854-20201113,JOINED,,FALSE,212854_2022_Orig1s000OtherActionLtrs.pdf,Adamis Pharmaceuticals Corporation,NDA 212854,NDA212854,NDA,2020-11-13,2020,COMPLETE RESPONSE,Approved,1,2021-10-15,336,1,2021-10-15,openfda_orig_decisions_2011_2026,2021-10-15 ORIG,,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=NDA212854,https://api.fda.gov/transparency/crl.json?search=file_name%3A%22212854_2022_Orig1s000OtherActionLtrs.pdf%22+AND+letter_date%3A%2211%2F13%2F2020%22,2026-08-13,data/raw/probe/crl_page1.json|data/raw/openfda_approvals_2000_2010/*.json|data/raw/openfda_orig_decisions_2011_2026/decisions_*.json|data/raw/openfda_efficacy_supplements/suppl_*.json,Verified (verbatim FDA CRL record; approval actions observed in committed FDA payloads),"v23 2026-09-20: FDA's own approval_status field is published verbatim and is not reinterpreted. 'Observed' means an approval action with a later status date exists for the same application number inside the committed payload coverage; absence of an observed action is NOT evidence that the application failed. conflict_flag=NONE; the flag is raised for human review, never resolved by preference."
