year,total_nmes_approved,official_fda_nme_count,nme_comparable_rows,official_series_delta,verified_decisions_tracked,priority_reviews,standard_reviews,unpublished_priority_reviews,orphan_drug_act_status,statutory_framework,landmark_approvals,historical_significance,primary_source_basis
1949,2,38,2,-36,2,1,2,10,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"METUBINE IODIDE, MUSTARGEN","The committed Drugs@FDA extract enumerates 2 Type 1/1-4 original approvals among 13 ORIG/AP applications for 1949. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 38 NMEs, 360 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1949.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 13/13"
1950,7,32,7,-25,7,7,7,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"BENTYL, PRONESTYL, CORTONE, AZULFIDINE EN-TABS, TAPAZOLE, ACTHAR, LEVOPHED","The committed Drugs@FDA extract enumerates 7 Type 1/1-4 original approvals among 16 ORIG/AP applications for 1950. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 32 NMEs, 233 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1950.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 16/16"
1951,7,10,7,-3,7,5,10,3,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"NEOTHYLLINE, BENEMID, TENSILON, PHENURONE, BANTHINE, TELEPAQUE, ANTABUSE","The committed Drugs@FDA extract enumerates 7 Type 1/1-4 original approvals among 18 ORIG/AP applications for 1951. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 10 NMEs, 256 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1951.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 18/18"
1952,5,14,5,-9,5,5,11,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"REGITINE, LEUCOVORIN CALCIUM, ANECTINE, RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN, BENOQUIN","The committed Drugs@FDA extract enumerates 5 Type 1/1-4 original approvals among 18 ORIG/AP applications for 1952. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 14 NMEs, 194 NDAs approved. FLAG (re-screening screen): NDA008592 (Type 1, NOREPINEPHRINE BITARTRATE) appears after NDA007513 (1950-07-13, same ingredient); flagged for review.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1952.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 18/18"
1953,15,19,15,-4,15,13,18,4,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"APRESOLINE, DARAPRIM, DIBENZYLINE, FURADANTIN, PRO-BANTHINE, PAMINE FORTE, OPHTHAINE, CALCIUM DISODIUM VERSENATE (+7 more)","The committed Drugs@FDA extract enumerates 15 Type 1/1-4 original approvals among 35 ORIG/AP applications for 1953. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 19 NMEs, 454 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1953.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 35/35"
1954,12,25,12,-13,12,10,14,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"COGENTIN, MYSOLINE, LIPIODOL, ARFONAD, COUMADIN, MYLERAN, SURITAL, PATHILON (+4 more)","The committed Drugs@FDA extract enumerates 12 Type 1/1-4 original approvals among 26 ORIG/AP applications for 1954. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 25 NMEs, 226 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1954.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 26/26"
1955,9,19,9,-10,9,6,23,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"NOLUDAR, METICORTEN, NESACAINE-MPF, VALMID, MESTINON, PLAQUENIL, DELTA-CORTEF, EQUANIL (+1 more)","The committed Drugs@FDA extract enumerates 9 Type 1/1-4 original approvals among 31 ORIG/AP applications for 1955. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 19 NMEs, 343 NDAs approved. FLAG (re-screening screen): NDA010028 (Type 1, MEPROBAMATE) appears after NDA009698 (1955-04-28, same ingredient, same year); sibling pair, flagged for review, counted once in the counted-once statistic.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1955.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 31/31"
1956,10,19,10,-9,10,5,17,1,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"INVERSINE, ATARAX, SPARINE, LORFAN, MYTELASE, CYTOMEL, MAGNACORT, HALOTESTIN (+2 more)","The committed Drugs@FDA extract enumerates 10 Type 1/1-4 original approvals among 23 ORIG/AP applications for 1956. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 19 NMEs, 346 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1956.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 23/23"
1957,18,16,18,2,18,11,30,4,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"CELONTIN, TRAL, TRILAFON, LEUKERAN, MIRADON, DORIDEN, ESTRADURIN, HARMONYL (+10 more)","The committed Drugs@FDA extract enumerates 18 Type 1/1-4 original approvals among 45 ORIG/AP applications for 1957. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 16 NMEs, 334 NDAs approved. FLAG (re-screening screen): NDA009149 (Type 1, CHLORPROMAZINE HYDROCHLORIDE) appears after NDA011120 (1957-09-18, same ingredient) inside the 1939-1964 payload universe; the payloads do not carry the earlier chlorpromazine original (Drugs@FDA pre-1965 coverage is incomplete), so both rows are kept and the pair is flagged for review, never auto-corrected.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1957.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 45/45"
1958,8,20,8,-12,8,5,19,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"TESSALON, FLUOTHANE, KAYEXALATE, CERUMENEX, KEVEYIS, DIURIL, DIABINESE, DECADRON","The committed Drugs@FDA extract enumerates 8 Type 1/1-4 original approvals among 26 ORIG/AP applications for 1958. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 20 NMEs, 280 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1958.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 26/26"
1959,20,26,20,-6,20,10,38,1,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"IC-GREEN, ESIDRIX, THIOTEPA, SOMA, STELAZINE, PRESAMINE, IONAMIN, ANTURANE (+12 more)","The committed Drugs@FDA extract enumerates 20 Type 1/1-4 original approvals among 49 ORIG/AP applications for 1959. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 26 NMEs, 225 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1959.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 49/49"
1960,15,21,15,-6,15,10,33,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"ALDACTONE, MYDRIACYL, LIBRIUM, NAQUIVAL, HYGROTON, TRANCOPAL, BREVITAL SODIUM, PHOSPHOLINE IODIDE (+7 more)","The committed Drugs@FDA extract enumerates 15 Type 1/1-4 original approvals among 45 ORIG/AP applications for 1960. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 21 NMEs, 222 NDAs approved. FLAG (re-screening screen): NDA012265 (Type 1, RESERPINE) appears after NDA009296 (1954-04-01, same ingredient); flagged for review, never auto-corrected.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1960.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 45/45"
1961,13,23,13,-10,13,7,26,0,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Pre-1962 federal NDA framework under the 1938 FD&C Act: safety ('safe for use as labeled') was required; proof of effectiveness was NOT a legal requirement for new-drug approval. (1962 Kefauver-Harris amendments added the effectiveness requirement.),"PARNATE, ENOVID, TINDAL, ELAVIL, CELESTONE, HALDRONE, NARDIL, TORECAN (+5 more)","The committed Drugs@FDA extract enumerates 13 Type 1/1-4 original approvals among 33 ORIG/AP applications for 1961. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 23 NMEs, 155 NDAs approved. Historical context (not a decision row): the thalidomide NDA application (filed September 1960, Richardson-Merrell) was under FDA review all year and was NEVER approved - the company withdrew the pending application in 1962 after the European birth-defect disaster; the refusal is credited to FDA reviewer Frances Oldham Kelsey. Recorded here for context only; thalidomide has no approval row in this table.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1961.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 33/33"
1962,11,16,11,-5,11,11,16,2,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,"Regime changed during 1962: the Kefauver-Harris (Drug Efficacy) Amendments were enacted 1962-09-22, adding the proof-of-effectiveness requirement to the 1938 safety-only standard. In this payload: 24 of 29 original approvals predate the enactment (reviewed under the 1938 standard), 5 postdate it.","WINSTROL, SANSERT, MELLARIL, FLUOROURACIL, PENTHRANE, TARACTAN, ORAGRAFIN SODIUM, SKELAXIN (+3 more)","The committed Drugs@FDA extract enumerates 11 Type 1/1-4 original approvals among 29 ORIG/AP applications for 1962. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 16 NMEs, 109 NDAs approved. Kefauver-Harris (Drug Efficacy) Amendments enacted 1962-09-22 (prompted in part by the thalidomide tragedy): new drugs now required proof of BOTH safety and effectiveness. Same-year sibling pair flagged: NDA012486/NDA012487 (CHLORPROTHIXENE, two applications, molecule counted once in the counted-once statistic).","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1962.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 29/29"
1963,8,13,8,-5,8,5,16,4,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Post-Kefauver-Harris: the 1962 amendments required substantial evidence of both safety and effectiveness for new drugs; the DESI program (begun 1962) was simultaneously re-studying pre-1962 approvals for efficacy.,"SYNALAR, HYDROMOX, HERPLEX, ONCOVIN, FLAGYL, ANHYDRON, MUCOMYST, VALIUM","The committed Drugs@FDA extract enumerates 8 Type 1/1-4 original approvals among 25 ORIG/AP applications for 1963. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 13 NMEs, 67 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1963.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 25/25"
1964,10,15,10,-5,10,11,17,10,The Orphan Drug Act had not yet been enacted (1983); no orphan-law framework applied to these approvals.,Post-Kefauver-Harris: the 1962 amendments required substantial evidence of both safety and effectiveness for new drugs; the DESI program (begun 1962) was simultaneously re-studying pre-1962 approvals for efficacy.,"ALKERAN, NEGGRAM, PROTOPAM CHLORIDE, MAXIBOLIN, AMICAR, TRISORALEN, DYRENIUM, AVENTYL HYDROCHLORIDE (+2 more)","The committed Drugs@FDA extract enumerates 10 Type 1/1-4 original approvals among 38 ORIG/AP applications for 1964. Application-level enumeration from the official payload, not a reconstructed contemporaneous statistic. Official FDA series (committed data/fda_official_year_series.csv, source FDA summary-nda-approvals-receipts-1938-present): 15 NMEs, 83 NDAs approved.","openFDA Drugs@FDA ORIG/AP payload data/raw/openfda_orig_decisions_1939_1964/decisions_1964.json (SHA-256 verified vs 2026-09-19 runner manifest); full official Drugs@FDA database cross-check (Applications_all_types.txt, 29,336 apps); official counts from data/fda_official_year_series.csv; live probes: 38/38"
