company_name,ticker,drug_name,decision_type,decision_date,indication,review_pathway,stock_price_before,stock_price_after,pct_change,price_t1,pct_change_t1,price_data_status,company_success_rate_summary,company_score,company_score_grade,company_score_confidence,us_investable_class,fda_source_url,secondary_source_url,flags,verification_status
Takeda Pharmaceutical Company,TAK,Orzeyful (oveporexton),Approval,2026-08-05,Narcolepsy type 1,Priority,17.75,16.56,-6.7,,,Verified,10/10 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),49.4,D,Moderate,US-LISTED,https://www.takeda.com/newsroom/newsreleases/2026/orzeyful-approved-narcolepsy/,https://www.psychiatrictimes.com/view/fda-approves-oveporexton-for-narcolepsy-type-1-first-drug-to-treat-full-range-of-nt1-symptoms,,Verified
Otsuka Pharmaceutical (parent Otsuka Holdings),4578.T,Simtriyo (centanafadine),Approval,2026-07-24,Attention-deficit hyperactivity disorder,Standard,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),67.6,B,Moderate,NON-US LISTING ONLY,https://www.psychiatrictimes.com/view/fda-approves-centanafadine-for-adhd-in-children-adolescents-and-adults,https://www.delveinsight.com/blog/simtriyo-approval-for-adhd,,Verified - foreign parent listing only
"Outlook Therapeutics, Inc.",OTLK,Lytenava (bevacizumab-vikg),Approval,2026-07-24,Neovascular (wet) age-related macular degeneration,,,,,,,Not yet matched to price snapshot,0/1 tracked programs approved; 1 advancing; 0 paused/on hold; 3 CRL(s),21.8,E,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761320,IRREGULARITY,Verified - FLAGGED IRREGULARITY (resolved)
"Nuvalent, Inc.",NUVL,Jideytro (zidesamtinib),Approval,2026-07-22,Locally advanced or metastatic ROS1-positive NSCLC after a ROS1 kinase inhibitor,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220185,,Verified
"Merck & Co., Inc.",MRK,Lipfendra (enlicitide decanoate),Approval,2026-07-15,Reduce low-density lipoprotein cholesterol,,,,,,,Not yet matched to price snapshot,8/8 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.6,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220848,,Verified
Celcuity Inc.,CELC,Revtorpyk (gedatolisib),Approval,2026-07-14,HR+/HER2- locally advanced or metastatic breast cancer without a PIK3CA mutation (with fulvestrant),,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219908,,Verified
"Vera Therapeutics, Inc.",VERA,Trutakna (atacicept-vymj),Approval,2026-07-07,Reduce proteinuria in adults with primary IgA nephropathy at risk for disease progression,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761486,,Verified
"Viridian Therapeutics, Inc.",VRDN,Lumvoa (veligrotug-vvze),Approval,2026-06-26,Thyroid eye disease,,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761530,,Verified
GSK plc (marketer) / Spero Therapeutics (originator),SPRO,Utebzi (tebipenem pivoxil),Approval,2026-06-17,Complicated urinary tract infections,Standard,2.54,,,,,Verified - partial,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),41.5,D,Low,US-LISTED,https://www.healio.com/news/primary-care/20260617/fda-approves-oral-utebzi-for-complicated-utis,https://us.gsk.com/en-us/media/press-releases/utebzi-tebipenem-pivoxil-approved-in-the-us-for-adults-with-complicated-urinary-tract-infections-cutis/,,Verified
Bayer AG,BAYRY,Ambelvist (gadoquatrane),Approval,2026-06-12,"Detect and visualize lesions with abnormal vascularity, in conjunction with MRI",,,,,,,Not yet matched to price snapshot,15/15 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),87.9,A,Moderate,US-LISTED (ADR),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219627,,Verified
Haisco Pharmaceutical Group,002653.SZ,Cypsedo (cipepofol),Approval,2026-05-31,General anesthesia induction (adults),Standard,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),41.5,D,Low,NON-US LISTING ONLY,https://chemxpert.com/all-news/haiscos-cipepofol-becomes-the-first-china-originated-innovative-intravenous-anesthetic-approved-by-the-us-fda,https://filingreader.com/news-wire/shenzhen/2026-06-01/haisco-pharmaceutical-drug-cipepofol-wins-us-fda-approval,,Verified - foreign listing only
"Shionogi & Co., Ltd.",SGIOF,Xocova (ensitrelvir),Approval,2026-05-29,Post-exposure prophylaxis of COVID-19 following contact with an individual with COVID-19,,,,,,,Not yet matched to price snapshot,2/2 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.0,B,Low,US-LISTED (ADR),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220442,,Verified
Wockhardt Limited,WOCKPHARMA.NS,Zaynich (cefepime and zidebactam),Approval,2026-05-29,"Complicated urinary tract infections, including pyelonephritis",,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,NON-US LISTING ONLY,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220787,,Verified - foreign listing only
AbbVie Inc.,ABBV,Decnupaz (pivekimab sunirine-pvzy),Approval,2026-05-27,Blastic plasmacytoid dendritic cell neoplasm in adults,,,,,,,Not yet matched to price snapshot,10/11 tracked programs approved; 0 advancing; 0 paused/on hold; 1 CRL(s),51.3,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761460,,Verified
"Gilead Sciences, Inc.",GILD,Hepcludex (bulevirtide-gmod),Approval,2026-05-22,Chronic hepatitis delta virus infection in adults without cirrhosis or with compensated cirrhosis,,,,,,,Not yet matched to price snapshot,16/16 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),66.6,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761468,,Verified
AstraZeneca plc,AZN,Baxfendy (baxdrostat),Approval,2026-05-15,"Hypertension, in combination with other antihypertensive drugs",,,,,,,Not yet matched to price snapshot,25/25 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),87.3,A,Moderate,US-LISTED (ADR),https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219878,,Verified
BeOne Medicines (formerly BeiGene),ONC,Beqalzi (sonrotoclax),Approval (Accelerated),2026-05-13,Relapsed/refractory mantle cell lymphoma,Priority/Accelerated,313.32,315.07,0.56,,,Verified,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),58.8,C,Moderate,US-LISTED,https://checkrare.com/accelerated-approval-granted-to-beqalzi-sonrotoclax-for-mantle-cell-lymphoma/,https://www.curetoday.com/view/fda-approves-beqalzi-for-relapsed-mantle-cell-lymphoma,,Verified
"Rigel Pharmaceuticals, Inc. (current holder) / Arvinas, Inc. + Pfizer (applicant at approval)",RIGL,Veppanu (vepdegestrant),Approval,2026-05-01,"ER+/HER2-, ESR1-mutated advanced or metastatic breast cancer after >=1 line of endocrine therapy",,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),54.1,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=219835,IRREGULARITY,Verified - FLAGGED IRREGULARITY (ownership change)
Grace Therapeutics,GRCE,GTx-104 (IV nimodipine),Complete Response Letter (Rejection),2026-04-23,Aneurysmal subarachnoid hemorrhage,,4.49,4.31,-4.01,2.35,-47.66,Verified,0/1 tracked programs approved; 0 advancing; 0 paused/on hold; 1 CRL(s),7.2,E,Low,,https://www.neurologylive.com/view/fda-action-update-april-2026-acceptance-clearance-crl,https://www.rttnews.com/3662437/fda-complete-response-letter-crl-explained-what-it-means-for-biotech-stocks.aspx,,Verified
AbbVie,ABBV,Trenibotulinumtoxin E,Complete Response Letter (Rejection),2026-04-23,Aesthetic indication (glabellar lines),,,,,,,Not yet matched to price snapshot,10/11 tracked programs approved; 0 advancing; 0 paused/on hold; 1 CRL(s),51.3,C,Moderate,US-LISTED,https://www.rttnews.com/3662437/fda-complete-response-letter-crl-explained-what-it-means-for-biotech-stocks.aspx,https://crl.help/,,Verified - lower confidence on category
"Merck & Co., Inc.",MRK,Idvynso (doravirine and islatravir),Approval,2026-04-20,HIV-1 infection as a complete regimen in virologically suppressed adults,,,,,,,Not yet matched to price snapshot,8/8 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),72.6,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=216964,,Verified
Eli Lilly and Company,LLY,Foundayo (orforglipron),Approval,2026-04-01,Reduce excess body weight and maintain weight reduction in adults with obesity or overweight with >=1 weight-related comorbidity,,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220934,,Verified
Novo Nordisk A/S,NVO,Awiqli (insulin icodec-abae),Approval,2026-03-26,Improve glycemic control in adults with type 2 diabetes mellitus,,,,,,,Not yet matched to price snapshot,9/9 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),69.4,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=761326,,Verified
Corcept Therapeutics Incorporated,CORT,Lifyorli (relacorilant),Approval,2026-03-25,"Platinum-resistant epithelial ovarian, fallopian tube or primary peritoneal cancer after 1-3 prior systemic regimens incl. bevacizumab",,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),53.9,C,Low,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220641,,Verified
Denali Therapeutics,DNLI,Avlayah (tividenofusp alfa-eknm),Approval (Accelerated),2026-03-24,Neurologic manifestations of Hunter syndrome (MPS II),Priority/Accelerated,20.71,21.09,1.83,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),55.8,C,Low,US-LISTED,https://practicalneurology.com/news/fda-approves-avlayah-for-neurologic-manifestations-of-hunter-syndrome/2486410/,https://www.hhs.gov/press-room/wtas-fda-approves-drug-treat-neurologic-manifestations-hunter-syndrome.html,,Verified
Johnson & Johnson (Janssen Biotech),JNJ,Icotyde (icotrokinra),Approval,2026-03-17,Moderate-to-severe plaque psoriasis in patients 12+ weighing at least 40 kg,,,,,,,Not yet matched to price snapshot,28/28 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),69.5,B,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220149,,Verified
Intercept Pharmaceuticals / Alfasigma S.p.A. (current holder) / GSK plc (applicant at approval),GSK,Lynavoy (linerixibat),Approval,2026-03-17,Cholestatic pruritus associated with primary biliary cholangitis,,,,,,,Not yet matched to price snapshot,29/29 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2026,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=220295,IRREGULARITY,Verified - FLAGGED IRREGULARITY (ownership change + date conflict)
Aldeyra Therapeutics,ALDX,Reproxalap,Complete Response Letter (Rejection),2026-03-17,Dry eye disease,,5.01,1.24,-75.25,1.42,-71.66,Verified,0/4 tracked programs approved; 1 advancing; 0 paused/on hold; 3 CRL(s),18.1,E,Low,,https://www.ainvest.com/news/aldeyra-legal-catalyst-outrun-1-81-price-floor-crl-fallout-priced-2603/,https://www.streetwisereports.com/article/2026/05/05/biotech-downgraded-to-neutral-after-second-fda-crl-for-reproxalap-in-dry-eye-disease.html,IRREGULARITY,Verified - FLAGGED IRREGULARITY
Ascendis Pharma,ASND,Yuviwel (navepegritide),Approval (Accelerated),2026-02-27,Achondroplasia (linear growth),Priority/Accelerated,,,,,,Not yet matched to price snapshot,3/3 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),61.0,C,Moderate,US-LISTED,https://www.contemporarypediatrics.com/view/fda-issues-historic-approval-for-navepegritide-in-achondroplasia,https://finance.yahoo.com/news/ascendis-pharma-maps-2026-u-025442951.html,,Verified
"Immedica Pharma AB (private, Sweden)",NO_TICKER,Loargys (pegzilarginase-nbln),Approval (Accelerated),2026-02-23,Arginase 1 deficiency,Priority/Accelerated,,,,,,No public ticker,Not yet built - scorecard pending,,,Not scored - no verified FDA decisions tracked,PRIVATE / NO EQUITY,https://www.onyxnewsroom.com/immedica-pharmas-loargys-adds-an-enzyme-replacement-entrant-for-ultra-rare-arg1-d-related-hyperargininemia/,https://www.immedica.com/en/press/us-fda-has-granted-accelerated-approval-loargysr-pegzilarginase-nbln-treatment,,Verified - no public ticker
Vanda Pharmaceuticals,VNDA,Bysanti (milsaperidone),Approval,2026-02-20,Schizophrenia; bipolar I mania,Standard,6.09,5.76,-5.42,,,Verified,5/5 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),49.7,D,Moderate,US-LISTED,https://laafon.com/fda-novel-drug/bysanti-fda-approval-treatment-for-schizophrenia-bipolar-i/,https://www.investing.com/news/company-news/fda-approves-vandas-bysanti-for-bipolar-disorder-schizophrenia-93CH-4517356,,Verified
"Aurobindo Pharma (parent, India-listed) / Acrotech Biopharma (private US subsidiary)",AUROPHARMA.NS,Adquey (difamilast),Approval,2026-02-12,Mild-to-moderate atopic dermatitis,Standard,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),41.5,D,Low,NON-US LISTING ONLY,https://www.pharmaindiamagazine.com/acrotech-biopharma-inc-announces-fda-approval-of-adquey-ointment/,https://scanx.trade/stock-market-news/stocks/aurobindo-pharma-s-subsidiary-acrotech-receives-fda-approval-for-adquey-ointment-for-atopic-dermatitis-treatment/32536601,IRREGULARITY,"Verified - FLAGGED (letter-date discrepancy, resolved 2026-09-12)"
REGENXBIO,RGNX,Clemidsogene lanparvovec (RGX-121),Complete Response Letter (Rejection),2026-02-07,Mucopolysaccharidosis type II (Hunter syndrome),,10.78,10.26,-4.82,10.33,-4.17,Verified,0/4 tracked programs approved; 2 advancing; 2 paused/on hold; 1 CRL(s),12.2,E,Low,,https://mpssociety.org/en/news/rgx-121-crl2026/,https://www.neurologylive.com/view/regenxbio-mps-ii-gene-therapy-rgx-121-crl,IRREGULARITY,Verified - FLAGGED IRREGULARITY
"Sentynl Therapeutics (wholly owned by Zydus Lifesciences Ltd, India)",ZYDUSLIFE.NS,Zycubo (copper histidinate),Approval,2026-01-12,Menkes disease,Priority,,,,,,Not yet matched to price snapshot,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),64.5,C,Low,NON-US LISTING ONLY,https://globalgenes.org/raredaily/fda-approves-sentynls-therapy-for-menkes-disease/,https://www.sec.gov/Archives/edgar/data/1429260/000110465926003121/fbio-20260113xex99d1.htm,IRREGULARITY,"Verified - FLAGGED (owner change + letter-date discrepancy, resolved 2026-09-12)"
Outlook Therapeutics,OTLK,ONS-5010 / Lytenava (bevacizumab-vikg),Complete Response Letter (Rejection),2025-12-31,Wet age-related macular degeneration,,1.83,1.58,-63.93,0.66,-63.93,Verified,0/1 tracked programs approved; 1 advancing; 0 paused/on hold; 3 CRL(s),21.8,E,Low,US-LISTED,https://www.stocktitan.net/news/OTLK/outlook-therapeutics-provides-regulatory-update-on-u-s-food-and-drug-lx7gajngv7vk.html,https://www.ophthalmologytimes.com/view/outlook-therapeutics-receives-crl-for-resubmitted-ons-5010-bla,,Verified - RESOLVED (approved 2026-07-24)
Vanda Pharmaceuticals Inc.,VNDA,Nereus (tradipitant),Approval,2025-12-30,Vomiting associated with motion,,,,,,,Not yet matched to price snapshot,5/5 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),49.7,D,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,Verified - see note
Omeros Corporation,OMER,Yartemlea (narsoplimab-wuug),Approval,2025-12-23,Hematopoietic stem cell transplant-associated TMA,Standard,8.77,9.51,8.44,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),50.4,C,Low,US-LISTED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761152Orig1s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,Verified
Cytokinetics Incorporated,CYTK,Myqorzo (aficamten),Approval,2025-12-19,Symptomatic obstructive hypertrophic cardiomyopathy,Standard,63.35,62.2,-1.82,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),29.9,E,Low,US-LISTED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219083s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,Verified
GSK plc,GSK,Exdensur (depemokimab-ulaa),Approval,2025-12-16,Severe eosinophilic asthma (add-on),Standard,47.27,49.24,4.17,,,Verified,29/29 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),63.7,C,Moderate,US-LISTED,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://www.fda.gov/drugs/drug-trials-snapshots/drug-trials-snapshots-exdensur,,Verified
Innoviva Specialty Therapeutics (Innoviva Inc.),INVA,Nuzolvence (zoliflodacin),Approval,2025-12-12,Uncomplicated urogenital gonorrhea,Standard,20.62,20.63,0.05,20.14,-2.33,Verified,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),46.1,D,Moderate,US-LISTED,https://investor.inva.com/news-releases/news-release-details/us-fda-approves-nuzolvencer-zoliflodacin-first-class-single-dose,https://gardp.org/portfolio/zoliflodacin/,,Verified
LIB Therapeutics (private),NO_TICKER,Lerochol (lerodalcibep-liga),Approval,2025-12-12,Hypercholesterolemia (incl. HeFH),Standard,,,,,,No public ticker,Not yet built - scorecard pending,,,Not scored - no verified FDA decisions tracked,PRIVATE / NO EQUITY,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,https://www.drugs.com/pro/lerochol.html,,Verified - no public ticker
Milestone Pharmaceuticals,MIST,Cardamyst (etripamil),Approval,2025-12-12,Paroxysmal supraventricular tachycardia,Standard,2.68,2.95,10.07,,,Verified,1/1 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),51.1,C,Low,US-LISTED,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/218571s000lbl.pdf,https://www.nasdaq.com/articles/fda-approves-milestone-pharma-cardamyst-first-self-administered-treatment-psvt,,Verified
Otsuka Holdings (parent) / Visterra (private US subsidiary),4578.T,Voyxact (sibeprenlimab-szsi),Approval,2025-11-25,IgA nephropathy (proteinuria reduction),Priority,,,,,,Not yet matched to price snapshot,4/4 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),67.6,B,Moderate,NON-US LISTING ONLY,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219434s000lbl.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,Verified - foreign parent listing only
Bayer AG,BAYRY,Hyrnuo (sevabertinib),Approval (Accelerated),2025-11-19,HER2-mutated non-squamous NSCLC,Priority/Accelerated,,,,,,Not yet matched to price snapshot,15/15 tracked programs approved; 0 advancing; 0 paused/on hold; 0 CRL(s),87.9,A,Moderate,US-LISTED (ADR),https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/219972s000lblCorrected.pdf,https://www.fda.gov/drugs/novel-drug-approvals-fda/novel-drug-approvals-2025,,Verified
