row_id,year,application_number,application_kind,decision_date,submission_class_code,submission_class_code_description,review_priority,nme_comparable,classification_group,sponsor_name_drugsatfda_holder,full_db_holder_match,first_product_brand,first_product_ingredients,first_product_form_route,n_products,first_product_marketing_status,ingredient_first_appearance,ingredient_screen,tracked_in,live_probe_status,drugsatfda_url,openfda_url,verification_status,notes
PRE1965AUDIT-1941-01,1941,NDA003444,NDA,1941-01-11,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),ESJAY PHARMA,MATCH,DRISDOL,"ERGOCALCIFEROL 50,000 IU",CAPSULE; ORAL,1,Prescription,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=003444,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003444%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1941-02,1941,NDA003977,NDA,1941-06-12,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),PARKEDALE,MATCH,THEELIN,ESTRONE 2MG/ML,INJECTABLE; INJECTION,3,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=003977,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003977%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1941-03,1941,NDA003718,NDA,1941-07-15,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),ROCHE,MATCH,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE 5MG/ML,INJECTABLE; INJECTION,4,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=003718,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA003718%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1941-04,1941,NDA004054,NDA,1941-08-11,,,,FALSE,NOT PUBLISHED (blank class),LEDERLE,MATCH,SULFADIAZINE,SULFADIAZINE 500MG,TABLET; ORAL,2,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=004054,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004054%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1941-05,1941,NDA004122,NDA,1941-08-26,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,LILLY,MATCH,SULFADIAZINE,SULFADIAZINE 500MG,TABLET; ORAL,1,Discontinued,1941-08-11 on NDA004054,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=004122,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004122%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1942-01,1942,NDA004570,NDA,1942-02-05,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),PHARMACIA AND UPJOHN,MATCH,HEPARIN SODIUM,"HEPARIN SODIUM 10,000 UNITS/ML",INJECTABLE; INJECTION,3,Discontinued,1939-02-09 on NDA000552,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=004570,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004570%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1942-02,1942,NDA004782,NDA,1942-05-08,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),WYETH PHARMS,MATCH,PREMARIN,"ESTROGENS, CONJUGATED 2.5MG",TABLET; ORAL,6,Discontinued,first-in-payloads (1939-1964 universe),"first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing)",PRE1965-1942-02 (data/pre1965_fda_decisions.csv),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=004782,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA004782%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1942-03,1942,NDA005010,NDA,1942-11-10,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),QUAGEN,MATCH,DEMEROL,MEPERIDINE HYDROCHLORIDE 100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TABLET; ORAL,7,Discontinued,first-in-payloads (1939-1964 universe),"first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing)",PRE1965-1942-03 (data/pre1965_fda_decisions.csv),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005010,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005010%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1942-04,1942,NDA021171,NDA,1942-11-10,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),HOSPIRA,MATCH,DEMEROL,MEPERIDINE HYDROCHLORIDE 75MG/ML,INJECTABLE; INJECTION,4,Prescription,1942-11-10 on NDA005010,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021171,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA021171%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1942-05,1942,NDA005151,NDA,1942-12-09,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),NOVARTIS,MATCH,PERCORTEN,DESOXYCORTICOSTERONE ACETATE 125MG,PELLET; IMPLANTATION,1,Discontinued,1939-08-17 on NDA001104,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005151,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005151%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1943-01,1943,NDA005213,NDA,1943-03-23,TYPE 1,Type 1 - New Molecular Entity,STANDARD,TRUE,NME (Type 1),GENUS,MATCH,HYCODAN,HOMATROPINE METHYLBROMIDE 1.5MG/5ML; HYDROCODONE BITARTRATE 5MG/5ML,SYRUP; ORAL,2,Prescription,first-in-payloads (1939-1964 universe),"first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing)",PRE1965-1943-01 (data/pre1965_fda_decisions.csv),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005213,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005213%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1943-02,1943,NDA005264,NDA,1943-05-04,TYPE 5,Type 5 - New Formulation or New Manufacturer,STANDARD,FALSE,Type 5 - New Formulation or New Manufacturer,HOSPIRA,MATCH,HEPARIN LOCK FLUSH,HEPARIN SODIUM 100 UNITS/ML,INJECTABLE; INJECTION,8,Discontinued,1939-02-09 on NDA000552,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005264,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005264%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1943-03,1943,NDA005292,NDA,1943-06-25,,,,FALSE,NOT PUBLISHED (blank class),SCHERING,MATCH,ESTINYL,ETHINYL ESTRADIOL 0.5MG,TABLET; ORAL,3,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005292,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005292%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1943-04,1943,NDA005378,NDA,1943-12-31,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),AJENAT PHARMS,MATCH,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE 15MG,"TABLET, EXTENDED RELEASE; ORAL",4,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005378,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005378%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1944-01,1944,NDA005490,NDA,1944-04-13,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),ORGANON USA INC,MATCH,LYNORAL,ETHINYL ESTRADIOL 0.05MG,TABLET; ORAL,2,Discontinued,1943-06-25 on NDA005292,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005490,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005490%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1944-02,1944,NDA005521,NDA,1944-05-19,,,,FALSE,NOT PUBLISHED (blank class),LILLY,MATCH,HEPARIN SODIUM,"HEPARIN SODIUM 1,000 UNITS/ML",INJECTABLE; INJECTION,3,Discontinued,1939-02-09 on NDA000552,non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005521,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005521%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1944-03,1944,NDA005545,NDA,1944-07-31,,,,FALSE,NOT PUBLISHED (blank class),ABBVIE,MATCH,DICUMAROL,DICUMAROL 50MG,TABLET; ORAL,3,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005545,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005545%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1944-04,1944,NDA005619,NDA,1944-12-30,UNKNOWN,,UNKNOWN,FALSE,NOT PUBLISHED (blank class),MERCK,MATCH,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM 20%,INJECTABLE; INJECTION,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005619,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005619%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1945-01,1945,NDA005657,NDA,1945-02-20,TYPE 1,Type 1 - New Molecular Entity,PRIORITY,TRUE,NME (Type 1),BRISTOL MYERS SQUIBB,MATCH,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE 3MG/ML,INJECTABLE; INJECTION,1,Discontinued,first-in-payloads (1939-1964 universe),"first appearance in the 1939-1964 payload universe (Drugs@FDA coverage before 1965 is incomplete: re-approval screen, not proof of first marketing)",PRE1965-1945-01 (data/pre1965_fda_decisions.csv),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005657,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005657%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1945-02,1945,NDA005794,NDA,1945-09-12,,,,FALSE,NOT PUBLISHED (blank class),ORTHO MCNEIL PHARM,MATCH,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE 3.7%; SULFACETAMIDE 2.86%; SULFATHIAZOLE) 3.42%,CREAM; VAGINAL,2,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005794,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005794%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
PRE1965AUDIT-1945-03,1945,NDA005795,NDA,1945-10-04,TYPE 3,Type 3 - New Dosage Form,STANDARD,FALSE,Type 3 - New Dosage Form,SHIRE,MATCH,FURACIN,NITROFURAZONE 0.2%,OINTMENT; TOPICAL,1,Discontinued,first-in-payloads (1939-1964 universe),non-NME row: earlier appearances permitted by construction; see ingredient_first_appearance,none (not a Type 1/1-4 original approval),MATCH,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=005795,https://api.fda.gov/drug/drugsfda.json?search=application_number:%22NDA005795%22,Verified (live probe match),"Row of the complete 1939-1964 original-application audit (v26 (2026-09-21)): every ORIG/AP row of the committed SHA-verified openFDA payload; facts verbatim from the payload; application type and holder cross-checked against the full official Drugs@FDA database (Applications_all_types.txt, 29,336 applications); no ticker, indication or applicant lineage asserted."
