audit_year,decision_id,drug_brand,drug_generic,company_name,master_decision_date,application_number,l1_year_table,l1_table_date,l1_table_class,l2_compilation_match,l2_compilation_date,l2_review_designation,l2_accelerated_approval,l3_openfda_match,l3_orig_date,l3_sponsor,l3_brand,l3_submission_class,l3_review_priority,date_agreement,verdict,live_check,review_flag,source_year_table_or_compilation,source_drugsatfda,source_openfda
2000,D645,Lantus,Insulin Glargine,Sanofi-Aventis (now Sanofi),2000-04-20,N021081,MATCH,2000-04-20,S,application_number,2000-04-20,Standard,No,MATCH,2000-04-20,SANOFI AVENTIS US,LANTUS SOLOSTAR,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021081,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021081
2000,D646,Exelon,Rivastigmine Tartrate,Novartis AG,2000-04-21,N020823,MATCH,2000-04-21,S,application_number,2000-04-21,Standard,No,MATCH,2000-04-21,NOVARTIS,EXELON,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020823,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020823
2000,D647,Mylotarg,Gemtuzumab Ozogamicin,Wyeth (acquired by Pfizer 2009),2000-05-17,N021174,MATCH,2000-05-17,"P, O",application_number,2000-05-17,Priority,Yes,NOT_IN_OPENFDA,,,,,,ALL_AGREE,VERIFIED_TABLE_AND_COMPILATION,ABSENT (2026-09-18T02:00:00Z; https://api.fda.gov/drug/drugsfda.json?search=application_number:NDA021174),NOT_IN_OPENFDA_PAYLOAD (live check by application number and brand both return no record; FDA year table + Compilation remain the sources),https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021174,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021174
2000,D648,Welchol,Colesevelam Hydrochloride,Daiichi Sankyo Co. (Japan),2000-05-26,N021176,MATCH,2000-05-26,S,application_number,2000-05-26,Standard,No,MATCH,2000-05-26,COSETTE,WELCHOL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021176,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021176
2000,D1419,TNKase,tenecteplase,Genentech (acquired by Roche 2009),2000-06-02,N103909,"NO_MATCH_BY_APPL (Compilation-only row, documented)",,,application_number,2000-06-02,Standard,No,MATCH,2000-06-02,GENENTECH,TNKASE,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_COMPILATION_AND_OPENFDA,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103909,https://api.fda.gov/drug/drugsfda.json?search=application_number:N103909
2000,D649,NovoLog,Insulin Aspart Recombinant,Novo Nordisk A/S,2000-06-07,N020986,MATCH,2000-06-07,S,application_number,2000-06-07,Standard,No,MATCH,2000-06-07,NOVO NORDISK INC,NOVOLOG PENFILL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020986,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020986
2000,D650,Trelstar Depot,Triptorelin Pamoate,"Debiopharm Group (private, Switzerland)",2000-06-15,N020715,MATCH,2000-06-15,S,application_number,2000-06-15,Standard,No,MATCH,2000-06-15,VERITY,TRELSTAR,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020715,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020715
2000,D651,Acova,Argatroban,Texas Biotechnology (renamed Encysive; Pfizer 2008),2000-06-30,N020883,MATCH,2000-06-30,S,application_number,2000-06-30,Standard,No,MATCH,2000-06-30,SANDOZ,ARGATROBAN,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020883,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020883
2000,D652,Innohep,Tinzaparin Sodium,DuPont Pharmaceuticals (acquired by BMS 2001),2000-07-14,N020484,MATCH,2000-07-14,S,application_number,2000-07-14,Standard,No,MATCH,2000-07-14,LEO PHARMA AS,INNOHEP,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020484,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020484
2000,D653,Colazal,Balsalazide Disodium),Salix Pharmaceuticals (Valeant/Bausch lineage),2000-07-18,N020610,MATCH,2000-07-18,S,application_number,2000-07-18,Standard,No,MATCH,2000-07-18,VALEANT PHARMS INTL,COLAZAL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020610,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020610
2000,D654,Abreva,Docosanol,GlaxoSmithKline Consumer Healthcare (GSK; Haleon 2022),2000-07-25,N020941,MATCH,2000-07-25,S,application_number,2000-07-25,Standard,No,MATCH,2000-07-25,HALEON US HOLDINGS,ABREVA,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020941,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020941
2000,D655,Rescula,Unoprostone Isopropyl,CIBA Vision (Novartis/Alcon ophthalmics),2000-08-03,N021214,MATCH,2000-08-03,P,application_number,2000-08-03,Priority,No,MATCH,2000-08-03,SUCAMPO PHARMA LLC,RESCULA,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021214,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021214
2000,D656,Cetrotide,Cetrorelix Acetate,Serono (acquired by Merck KGaA 2007),2000-08-11,N021197,MATCH,2000-08-11,S,application_number,2000-08-11,Standard,No,MATCH,2000-08-11,EMD SERONO INC,CETROTIDE,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021197,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021197
2000,D657,Kaletra,Lopinavir; Ritonavir,Abbott Laboratories,2000-09-15,N021226,MATCH,2000-09-15,P,application_number,2000-09-15,Priority,Yes,MATCH,2000-09-15,ABBVIE,KALETRA,TYPE 1/4,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021226,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021226
2000,D658,Trisenox,Arsenic Trioxide,Cell Therapeutics / CTI BioPharma (acquired by Sobi 2023),2000-09-25,N021248,MATCH,2000-09-25,"P, O",application_number,2000-09-25,Priority,No,MATCH,2000-09-25,CEPHALON,TRISENOX,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021248,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021248
2000,D659,Mifeprex,Mifepristone,The Population Council (non-profit),2000-09-28,N020687,MATCH,2000-09-28,P,application_number,2000-09-28,Priority,No,MATCH,2000-09-28,DANCO LABS LLC,MIFEPREX,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020687,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020687
2000,D1420,Myobloc,botulinum toxin type B,Elan Corp. (acquired by Perrigo 2013),2000-12-08,N103846,"NO_MATCH_BY_APPL (Compilation-only row, documented)",,,application_number,2000-12-08,Standard,No,MATCH,2000-12-08,ELAN PHARM,MYOBLOC,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_COMPILATION_AND_OPENFDA,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103846,https://api.fda.gov/drug/drugsfda.json?search=application_number:N103846
2000,D660,Angiomax,Bivalirudin,The Medicines Company (acquired by Novartis 2020),2000-12-15,N020873,MATCH,2000-12-15,S,application_number,2000-12-15,Standard,No,MATCH,2000-12-15,SANDOZ,ANGIOMAX,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020873,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020873
2000,D661,Starlix,Nateglinide,Novartis AG,2000-12-22,N021204,MATCH,2000-12-22,S,application_number,2000-12-22,Standard,No,MATCH,2000-12-22,NOVARTIS,STARLIX,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174610/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081685.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021204,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021204
1999,D954,Pletal,cilostazol,Otsuka Holdings (Japan),1999-01-15,N020863,MATCH,1999-01-15,S,application_number,1999-01-15,Standard,No,MATCH,1999-01-15,OTSUKA,PLETAL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020863,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020863
1999,D955,Panretin,alitretinoin,Ligand Pharmaceuticals,1999-02-02,N020886,MATCH,1999-02-02,"P,O",application_number,1999-02-02,Priority,No,MATCH,1999-02-02,ADVANZ PHARMA,PANRETIN,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020886,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020886
1999,D956,Ontak,denileukin diftitox,Seragen (acquired by Ligand 1998),1999-02-05,N103767,NO_MATCH (documented Compilation-only import; not on the archived year table),,,application_number,1999-02-05,Priority,Yes,MATCH,1999-02-05,EISAI INC,ONTAK,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_COMPILATION_AND_OPENFDA,,"COMPILATION_ONLY_IMPORT (year-table omission, documented at import)",https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103767,https://api.fda.gov/drug/drugsfda.json?search=application_number:N103767
1999,D957,Ferrlecit,sodium ferric gluconate complex,R&D Laboratories Inc (private),1999-02-18,N020955,MATCH,1999-02-18,P,application_number,1999-02-18,Priority,No,MATCH,1999-02-18,SANOFI AVENTIS US,FERRLECIT,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020955,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020955
1999,D958,Wellferon,interferon alfa-n1,GlaxoSmithKline plc,1999-03-25,N103760,NO_MATCH (documented Compilation-only import; not on the archived year table),,,application_number,1999-03-25,Standard,No,NOT_IN_OPENFDA,,,,,,ALL_AGREE,VERIFIED_COMPILATION_ONLY,ABSENT (2026-09-18T02:00:00Z; https://api.fda.gov/drug/drugsfda.json?search=application_number:NDA103760),"COMPILATION_ONLY_IMPORT (year-table omission, documented at import); NOT_IN_OPENFDA_PAYLOAD (live check by application number and brand both return no record; FDA year table + Compilation remain the sources)",https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=103760,https://api.fda.gov/drug/drugsfda.json?search=application_number:N103760
1999,D959,Agenerase,amprenavir,GlaxoSmithKline plc,1999-04-15,N021007,MATCH,1999-04-15,P,application_number,1999-04-15,Priority,Yes,MATCH,1999-04-15,GLAXOSMITHKLINE,AGENERASE,TYPE 1,,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021007,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021007
1999,D960,Xenical,orlistat,Roche Holding AG (Genentech parent),1999-04-23,N020766,MATCH,1999-04-23,P,application_number,1999-04-23,Priority,No,MATCH,1999-04-23,CHEPLAPHARM,XENICAL,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020766,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020766
1999,D961,Vioxx,rofecoxib,"Merck & Co., Inc.",1999-05-20,N021042,MATCH,1999-05-20,P,application_number,1999-05-20,Priority,No,MATCH,1999-05-20,MERCK,VIOXX,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021042,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021042
1999,D962,Avandia,rosiglitazone maleate,GlaxoSmithKline plc,1999-05-25,N021071,MATCH,1999-05-25,P,application_number,1999-05-25,Priority,No,MATCH,1999-05-25,WOODWARD,AVANDIA,TYPE 1,PRIORITY,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=021071,https://api.fda.gov/drug/drugsfda.json?search=application_number:N021071
1999,D963,Hectorol,doxercalciferol,Bone Care International (acquired by Genzyme 2005),1999-06-09,N020862,MATCH,1999-06-09,S,application_number,1999-06-09,Standard,No,MATCH,1999-06-09,SANOFI,HECTOROL,TYPE 1,STANDARD,ALL_AGREE,VERIFIED_ALL_LAYERS,,,https://web.archive.org/web/20090709174613/http://www.fda.gov/Drugs/DevelopmentApprovalProcess/HowDrugsareDevelopedandApproved/DrugandBiologicApprovalReports/NMEDrugandNewBiologicApprovals/ucm081686.htm,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&varApplNo=020862,https://api.fda.gov/drug/drugsfda.json?search=application_number:N020862
