year,official_nmes_approved,official_ndas_approved,project_pre1985_rows,project_master_rows,project_novel_rows,project_type1_rows,nme_comparable_rows,pre1985_non_nme_boundary_rows,compilation_rows,delta_project_vs_official,delta_nme_comparable_vs_official,delta_compilation_vs_official,verdict,evidence_note,project_source_tables,source_urls
1990,23,64,0,24,24,,24,,24,1,1,1,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 1. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1991,30,63,0,32,32,,32,,32,2,2,2,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 2. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1992,26,91,0,29,29,,29,,29,3,3,3,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 3. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1993,25,70,0,27,27,,27,,27,2,2,2,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 2. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1994,22,62,0,23,23,,23,,23,1,1,1,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 1. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1995,28,82,0,30,30,,30,,30,2,2,2,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 2. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1996,53,131,0,59,59,,59,,59,6,6,6,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 6. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1997,39,121,0,43,43,,43,,43,4,4,4,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 4. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1998,30,90,0,36,36,,36,,36,6,6,6,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 6. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
1999,35,83,0,37,37,,37,,37,2,2,2,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 2. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2000,27,98,0,29,29,,29,,29,2,2,2,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 2. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2001,24,66,0,29,29,,29,,29,5,5,5,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 5. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2002,17,78,0,23,23,,23,,23,6,6,6,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 6. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2003,21,72,0,27,27,,27,,27,6,6,6,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 6. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2004,36,119,0,36,36,,36,,36,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2005,20,80,0,20,20,,20,,20,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2006,22,101,0,22,22,,22,,22,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2007,18,78,0,18,18,,18,,18,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2008,24,89,0,24,24,,24,,25,0,0,1,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2009,26,90,0,26,26,,26,,26,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2010,21,93,0,21,21,,21,,21,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2011,30,99,0,30,30,,30,,30,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2012,39,100,0,39,39,,39,,39,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2013,29,102,0,27,27,,27,,27,-2,-2,-2,PROJECT_SHORT_FLAGGED,"FDA's official NME count exceeds the project's NME-comparable rows by 2 - a sized, flagged coverage gap. See pre1985_nme_gap_analysis.csv for the pre-1985 years and the 1988/2013 notes below. SPECIFIC FINDING: the CDER Compilation itself carries 27 rows for 2013 against FDA's official NME count of 29 - the only two years in 1985-2022 where the Compilation is SHORT of the official series. The missing application(s) are not identified in either public dataset; the 1989 CDER statistical typescript (pp. 152-199) or the relevant annual report is required to name them.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2014,41,115,0,42,42,,42,,41,1,1,0,PROJECT_EXCEEDS_OFFICIAL,NME-comparable project rows exceed the official NME count by 1. official NME column excludes biologics before the 2004 CDER transfer; the Compilation (the project's 1985-1997 spine) counts Type 1/1-4 NMEs plus new biologics by design,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2015,45,127,0,45,45,,45,,45,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2016,22,102,0,22,22,,22,,22,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2017,46,149,0,46,46,,46,,46,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2018,59,151,0,59,59,,59,,59,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2019,48,125,0,48,48,,48,,48,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2020,53,130,0,53,53,,53,,53,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2021,50,125,0,50,50,,50,,50,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2022,37,118,0,37,37,,37,,37,0,0,0,MATCH,NME-comparable project rows equal FDA's official NME count for this year.,fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2023,,,0,55,55,,55,,55,,,,AWAITING_OFFICIAL_SERIES,"FDA's history tabulation is captured through 2022; no official NME count is published for 2023 on that page, so this year is not reconciled here.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2024,,,0,50,50,,50,,50,,,,AWAITING_OFFICIAL_SERIES,"FDA's history tabulation is captured through 2022; no official NME count is published for 2024 on that page, so this year is not reconciled here.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2025,,,0,46,46,,46,,46,,,,AWAITING_OFFICIAL_SERIES,"FDA's history tabulation is captured through 2022; no official NME count is published for 2025 on that page, so this year is not reconciled here.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
2026,,,0,40,40,,40,,,,,,AWAITING_OFFICIAL_SERIES,"FDA's history tabulation is captured through 2022; no official NME count is published for 2026 on that page, so this year is not reconciled here.",fda_decisions_master.csv,https://www.fda.gov/about-fda/histories-fda-regulated-products/summary-nda-approvals-receipts-1938-present|https://www.fda.gov/drugs/drug-approvals-and-databases/compilation-cder-new-molecular-entity-nme-drug-and-new-biologic-approvals
