ApplNo	ProductNo	Form	Strength	ReferenceDrug	DrugName	ActiveIngredient	ReferenceStandard
005213	001	TABLET;ORAL	1.5MG;5MG	1	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	0
005213	002	SYRUP;ORAL	1.5MG/5ML;5MG/5ML	1	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	0
005264	004	INJECTABLE;INJECTION	1,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	006	INJECTABLE;INJECTION	5,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	007	INJECTABLE;INJECTION	10,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	008	INJECTABLE;INJECTION	20,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	009	INJECTABLE;INJECTION	40,000 UNITS/ML	0	PANHEPRIN	HEPARIN SODIUM	0
005264	010	INJECTABLE;INJECTION	100 UNITS/ML	0	HEPARIN LOCK FLUSH	HEPARIN SODIUM	0
005264	013	INJECTABLE;INJECTION	2,000 UNITS/ML	0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
005264	014	INJECTABLE;INJECTION	2,500 UNITS/ML	0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	0
005292	001	TABLET;ORAL	0.02MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005292	002	TABLET;ORAL	0.05MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005292	003	TABLET;ORAL	0.5MG	0	ESTINYL	ETHINYL ESTRADIOL	0
005378	002	TABLET;ORAL	5MG	1	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	1
005378	003	TABLET, EXTENDED RELEASE;ORAL	10MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005378	004	TABLET, EXTENDED RELEASE;ORAL	5MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005378	005	TABLET, EXTENDED RELEASE;ORAL	15MG	0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	0
005490	002	TABLET;ORAL	0.05MG	0	LYNORAL	ETHINYL ESTRADIOL	0
005490	003	TABLET;ORAL	0.01MG	0	LYNORAL	ETHINYL ESTRADIOL	0
005521	001	INJECTABLE;INJECTION	1,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005521	002	INJECTABLE;INJECTION	10,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005521	004	INJECTABLE;INJECTION	20,000 UNITS/ML	0	HEPARIN SODIUM	HEPARIN SODIUM	0
005545	003	TABLET;ORAL	25MG	0	DICUMAROL	DICUMAROL	0
005545	004	TABLET;ORAL	50MG	0	DICUMAROL	DICUMAROL	0
005545	005	TABLET;ORAL	100MG	0	DICUMAROL	DICUMAROL	0
005619	001	INJECTABLE;INJECTION	20%	0	AMINOHIPPURATE SODIUM	AMINOHIPPURATE SODIUM	0
005657	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
005794	001	CREAM;VAGINAL	3.7%;2.86%;3.42%	0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	0
005794	002	TABLET;VAGINAL	184MG;143.75MG;172.5MG	0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	0
005795	001	OINTMENT;TOPICAL	0.2%	0	FURACIN	NITROFURAZONE	0
005845	001	CAPSULE;ORAL	50MG	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005845	004	ELIXIR;ORAL	12.5MG/5ML	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005845	007	CAPSULE;ORAL	25MG	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
005856	002	SOLUTION;ORAL	200MG/5ML	0	TRIDIONE	TRIMETHADIONE	0
005856	005	CAPSULE;ORAL	300MG	0	TRIDIONE	TRIMETHADIONE	0
005856	009	TABLET;ORAL	150MG	1	TRIDIONE	TRIMETHADIONE	0
005897	004	TABLET;ORAL	1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	FOLVITE	FOLIC ACID	0
005897	008	INJECTABLE;INJECTION	5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	FOLVITE	FOLIC ACID	0
005914	002	TABLET;ORAL	50MG	0	PBZ	TRIPELENNAMINE HYDROCHLORIDE	0
005914	004	ELIXIR;ORAL	EQ 25MG HYDROCHLORIDE/5ML	0	PBZ	TRIPELENNAMINE CITRATE	0
005929	001	INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	D.H.E. 45	DIHYDROERGOTAMINE MESYLATE	0
005939	001	INJECTABLE;INJECTION	10%	1	BAL	DIMERCAPROL	1
005963	001	SOLUTION/DROPS;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005963	002	OINTMENT;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005963	003	SOLUTION/DROPS;OPHTHALMIC	30% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	SODIUM SULAMYD	SULFACETAMIDE SODIUM	0
005970	004	INJECTABLE;INJECTION	1% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	SOTRADECOL	SODIUM TETRADECYL SULFATE	0
005970	005	INJECTABLE;INJECTION	3% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	SOTRADECOL	SODIUM TETRADECYL SULFATE	0
006002	001	TABLET;ORAL	500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	ARALEN	CHLOROQUINE PHOSPHATE	0
006002	002	INJECTABLE;INJECTION	EQ 40MG BASE/ML	0	ARALEN HYDROCHLORIDE	CHLOROQUINE HYDROCHLORIDE	0
006008	001	TABLET;ORAL	100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	MESANTOIN	MEPHENYTOIN	0
006012	003	CAPSULE;ORAL	182MG;0.33MG	0	FOLVRON	FERROUS SULFATE; FOLIC ACID	0
006035	003	TABLET;ORAL	0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	METHERGINE	METHYLERGONOVINE MALEATE	0
006035	004	INJECTABLE;INJECTION	0.2MG/ML	1	METHERGINE	METHYLERGONOVINE MALEATE	0
006071	003	INJECTABLE;INJECTION	50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML	0	BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E	0
006095	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
006110	005	CREAM;VAGINAL	0.01%	0	DIENESTROL	DIENESTROL	0
006134	002	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006134	004	SYRUP;ORAL	10MG/30ML	0	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006134	010	TABLET;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006135	003	TABLET;ORAL	1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	FOLIC ACID	FOLIC ACID	0
006146	001	INJECTABLE;INJECTION	10MG/ML	0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
006146	002	INJECTABLE;INJECTION	50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	0
006170	003	INJECTABLE;INJECTION	5%	0	HYPROTIGEN 5%	PROTEIN HYDROLYSATE	0
006188	001	TABLET;ORAL	50MG	1	PROPYLTHIOURACIL	PROPYLTHIOURACIL	1
006213	001	TABLET;ORAL	50MG	0	PROPYLTHIOURACIL	PROPYLTHIOURACIL	0
006325	001	INJECTABLE;INJECTION	3MG/ML	0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	0
006328	001	TABLET;RECTAL, SUBLINGUAL	10MG	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006328	002	TABLET;RECTAL, SUBLINGUAL	15MG	0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	0
006333	008	ELIXIR;ORAL	EQ 165MG BASE/15ML	0	SYNOPHYLATE	THEOPHYLLINE SODIUM GLYCINATE	0
006383	002	POWDER;FOR RX COMPOUNDING	50GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006383	003	POWDER;FOR RX COMPOUNDING	100GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006383	004	POWDER;FOR RX COMPOUNDING	500GM/BOT	0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	0
006403	005	INJECTABLE;INJECTION	25MG/ML	0	PRISCOLINE	TOLAZOLINE HYDROCHLORIDE	0
006412	014	TABLET;ORAL	25MG	0	DECAPRYN	DOXYLAMINE SUCCINATE	0
006412	015	TABLET;ORAL	12.5MG	0	DECAPRYN	DOXYLAMINE SUCCINATE	0
006459	001	TABLET;ORAL	50MG	0	HETRAZAN	DIETHYLCARBAMAZINE CITRATE	0
006488	002	INJECTABLE;INJECTION	2%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	003	INJECTABLE;INJECTION	0.01MG/ML;2%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	0
006488	004	INJECTABLE;INJECTION	0.01MG/ML;1%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	005	INJECTABLE;INJECTION	0.02MG/ML;2%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	007	INJECTABLE;INJECTION	1%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	008	INJECTABLE;INJECTION	0.5%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	010	INJECTABLE;INJECTION	1.5%	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	1
006488	012	INJECTABLE;INJECTION	0.005MG/ML;0.5%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	017	INJECTABLE;INJECTION	0.005MG/ML;1.5%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	018	INJECTABLE;INJECTION	0.005MG/ML;1%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006488	019	INJECTABLE;INJECTION	0.005MG/ML;2%	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	1
006525	001	TABLET;ORAL	500MG	0	GANTRISIN	SULFISOXAZOLE	0
006536	001	INJECTABLE;INJECTION	5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	002	TABLET;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	003	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	004	TABLET;ORAL	25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006536	005	TABLET;ORAL	50MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	URECHOLINE	BETHANECHOL CHLORIDE	0
006620	001	TABLET;ORAL	100MG;1MG	0	CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE	0
006632	003	INJECTABLE;INJECTION	2MG/ML	0	METUBINE IODIDE	METOCURINE IODIDE	0
006695	001	INJECTABLE;INJECTION	10MG/VIAL	1	MUSTARGEN	MECHLORETHAMINE HYDROCHLORIDE	0
006772	001	INJECTABLE;INJECTION	20MG/ML	0	VASOXYL	METHOXAMINE HYDROCHLORIDE	0
006772	002	INJECTABLE;INJECTION	10MG/ML	0	VASOXYL	METHOXAMINE HYDROCHLORIDE	0
006773	003	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	005	TABLET;ORAL	2MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	009	ELIXIR;ORAL	2MG/5ML	0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006773	010	CAPSULE, EXTENDED RELEASE;ORAL	5MG	0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	0
006799	002	INJECTABLE;INJECTION	0.1MG/ML	0	RUBRAMIN PC	CYANOCOBALAMIN	0
006799	004	INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	RUBRAMIN PC	CYANOCOBALAMIN	0
006799	010	INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	RUBRAMIN PC	CYANOCOBALAMIN	0
006800	001	CAPSULE;ORAL	300MG	0	PARADIONE	PARAMETHADIONE	0
006800	002	SOLUTION;ORAL	300MG/ML	0	PARADIONE	PARAMETHADIONE	0
006800	003	CAPSULE;ORAL	150MG	0	PARADIONE	PARAMETHADIONE	0
006823	001	INJECTABLE;INJECTION	EQ 50,000 UNITS BASE/ML	1	AQUASOL A	VITAMIN A PALMITATE	1
006882	001	EMULSION;TOPICAL	3%	0	PHISOHEX	HEXACHLOROPHENE	0
006920	002	TABLET;ORAL	167MG;167MG;167MG	0	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	0
006920	003	SUSPENSION;ORAL	167MG/5ML;167MG/5ML;167MG/5ML	0	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	0
006921	002	TABLET;ORAL	4MG	0	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	0
006921	006	SYRUP;ORAL	2MG/5ML	0	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	0
006927	001	CREAM;TOPICAL	10%	1	EURAX	CROTAMITON	1
007012	002	INJECTABLE;INJECTION	1MG/ML	0	VI-TWEL	CYANOCOBALAMIN	0
007073	001	TABLET;ORAL	500MG	1	AZULFIDINE	SULFASALAZINE	1
007073	002	TABLET, DELAYED RELEASE;ORAL	500MG	1	AZULFIDINE EN-TABS	SULFASALAZINE	1
007085	002	INJECTABLE;INJECTION	1MG/ML	0	CYANOCOBALAMIN	CYANOCOBALAMIN	0
007110	002	INJECTABLE;INJECTION	25MG/ML	0	CORTONE	CORTISONE ACETATE	0
007110	003	INJECTABLE;INJECTION	50MG/ML	0	CORTONE	CORTISONE ACETATE	0
007320	002	TABLET;ORAL	500MG	0	TEEBACIN	AMINOSALICYLATE SODIUM	0
007335	001	CAPSULE;ORAL	250MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE	0
007335	002	INJECTABLE;INJECTION	100MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE	0
007335	003	CAPSULE;ORAL	500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE	0
007335	004	CAPSULE;ORAL	375MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE	0
007335	005	INJECTABLE;INJECTION	500MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PRONESTYL	PROCAINAMIDE HYDROCHLORIDE	0
007337	005	TABLET;ORAL	325MG;2.25MG;0.19MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	PERCODAN-DEMI	ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE	0
007337	006	TABLET;ORAL	325MG;4.5MG;0.38MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	PERCODAN	ASPIRIN; OXYCODONE HYDROCHLORIDE; OXYCODONE TEREPHTHALATE	0
007337	007	TABLET;ORAL	325MG;4.8355MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PERCODAN	ASPIRIN; OXYCODONE HYDROCHLORIDE	0
007390	001	TABLET;ORAL	50MG	0	BANTHINE	METHANTHELINE BROMIDE	0
007392	002	INJECTABLE;INJECTION	50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	0	SECONAL SODIUM	SECOBARBITAL SODIUM	0
007409	001	TABLET;ORAL	20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	BENTYL	DICYCLOMINE HYDROCHLORIDE	0
007409	003	CAPSULE;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	BENTYL	DICYCLOMINE HYDROCHLORIDE	0
007504	002	INJECTABLE;INJECTION	25 UNITS/VIAL	0	ACTHAR	CORTICOTROPIN	0
007504	003	INJECTABLE;INJECTION	40 UNITS/VIAL	0	ACTHAR	CORTICOTROPIN	0
007513	001	INJECTABLE;INJECTION	EQ 1MG BASE/ML	1	LEVOPHED	NOREPINEPHRINE BITARTRATE	1
007517	002	TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	TAPAZOLE	METHIMAZOLE	0
007517	004	TABLET;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	TAPAZOLE	METHIMAZOLE	0
007529	002	INJECTABLE;INJECTION	80MG/ML	1	QUINIDINE GLUCONATE	QUINIDINE GLUCONATE	0
007600	003	INJECTABLE;INJECTION	1GM/VIAL	0	SURITAL	THIAMYLAL SODIUM	0
007600	005	INJECTABLE;INJECTION	5GM/VIAL	0	SURITAL	THIAMYLAL SODIUM	0
007600	009	INJECTABLE;INJECTION	10GM/VIAL	0	SURITAL	THIAMYLAL SODIUM	0
007638	001	TABLET, EXTENDED RELEASE;ORAL	8MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	0
007638	002	TABLET, EXTENDED RELEASE;ORAL	12MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	0
007707	001	TABLET;ORAL	500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	PHENURONE	PHENACEMIDE	0
007750	003	TABLET;ORAL	25MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	CORTONE	CORTISONE ACETATE	0
007794	001	TABLET;ORAL	200MG	0	NEOTHYLLINE	DYPHYLLINE	0
007794	002	TABLET;ORAL	400MG	0	NEOTHYLLINE	DYPHYLLINE	0
007794	003	ELIXIR;ORAL	160MG/15ML	0	NEOTHYLLINE	DYPHYLLINE	0
007883	002	TABLET;ORAL	500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	ANTABUSE	DISULFIRAM	0
007883	003	TABLET;ORAL	250MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	ANTABUSE	DISULFIRAM	0
007898	004	TABLET;ORAL	500MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**	1	BENEMID	PROBENECID	0
